week,week_by_week_ranking,date,year,week_number,ordinal,decade
"Jan 17, 2022",59,2022-01-17,2022,3,59th,2020s
"Jan 10, 2022",47,2022-01-10,2022,2,47th,2020s
"Jan 3, 2022",41,2022-01-03,2022,1,41st,2020s
"Dec 27, 2021",41,2021-12-27,2021,52,41st,2020s
"Dec 20, 2021",41,2021-12-20,2021,51,41st,2020s
"Dec 13, 2021",41,2021-12-13,2021,50,41st,2020s
"Dec 6, 2021",41,2021-12-06,2021,49,41st,2020s
"Nov 29, 2021",41,2021-11-29,2021,48,41st,2020s
"Nov 22, 2021",41,2021-11-22,2021,47,41st,2020s
"Nov 15, 2021",41,2021-11-15,2021,46,41st,2020s
"Nov 8, 2021",41,2021-11-08,2021,45,41st,2020s
"Nov 1, 2021",41,2021-11-01,2021,44,41st,2020s
"Oct 25, 2021",41,2021-10-25,2021,43,41st,2020s
"Oct 18, 2021",41,2021-10-18,2021,42,41st,2020s
"Oct 4, 2021",41,2021-10-04,2021,40,41st,2020s
"Sep 27, 2021",40,2021-09-27,2021,39,40th,2020s
"Sep 20, 2021",40,2021-09-20,2021,38,40th,2020s
"Sep 13, 2021",41,2021-09-13,2021,37,41st,2020s
"Aug 30, 2021",22,2021-08-30,2021,35,22nd,2020s
"Aug 23, 2021",22,2021-08-23,2021,34,22nd,2020s
"Aug 16, 2021",21,2021-08-16,2021,33,21st,2020s
"Aug 9, 2021",20,2021-08-09,2021,32,20th,2020s
"Aug 2, 2021",16,2021-08-02,2021,31,16th,2020s
"Jul 26, 2021",16,2021-07-26,2021,30,16th,2020s
"Jul 19, 2021",16,2021-07-19,2021,29,16th,2020s
"Jul 12, 2021",16,2021-07-12,2021,28,16th,2020s
"Jun 28, 2021",8,2021-06-28,2021,26,8th,2020s
"Jun 21, 2021",8,2021-06-21,2021,25,8th,2020s
"Jun 14, 2021",8,2021-06-14,2021,24,8th,2020s
"May 31, 2021",8,2021-05-31,2021,22,8th,2020s
"May 24, 2021",8,2021-05-24,2021,21,8th,2020s
"May 17, 2021",8,2021-05-17,2021,20,8th,2020s
"May 10, 2021",8,2021-05-10,2021,19,8th,2020s
"Apr 26, 2021",8,2021-04-26,2021,17,8th,2020s
"Apr 19, 2021",8,2021-04-19,2021,16,8th,2020s
"Apr 12, 2021",8,2021-04-12,2021,15,8th,2020s
"Apr 5, 2021",8,2021-04-05,2021,14,8th,2020s
"Mar 22, 2021",7,2021-03-22,2021,12,7th,2020s
"Mar 15, 2021",7,2021-03-15,2021,11,7th,2020s
"Mar 8, 2021",7,2021-03-08,2021,10,7th,2020s
"Mar 1, 2021",7,2021-03-01,2021,9,7th,2020s
"Feb 22, 2021",7,2021-02-22,2021,8,7th,2020s
"Feb 8, 2021",11,2021-02-08,2021,6,11th,2020s
"Feb 1, 2021",11,2021-02-01,2021,5,11th,2020s
"Jan 25, 2021",11,2021-01-25,2021,4,11th,2020s
"Jan 18, 2021",11,2021-01-18,2021,3,11th,2020s
"Jan 11, 2021",11,2021-01-11,2021,2,11th,2020s
"Jan 4, 2021",11,2021-01-04,2021,1,11th,2020s
"Dec 28, 2020",11,2020-12-28,2020,53,11th,2020s
"Dec 21, 2020",11,2020-12-21,2020,52,11th,2020s
"Dec 14, 2020",11,2020-12-14,2020,51,11th,2020s
"Dec 7, 2020",11,2020-12-07,2020,50,11th,2020s
"Nov 30, 2020",11,2020-11-30,2020,49,11th,2020s
"Nov 23, 2020",11,2020-11-23,2020,48,11th,2020s
"Nov 16, 2020",11,2020-11-16,2020,47,11th,2020s
"Nov 9, 2020",10,2020-11-09,2020,46,10th,2020s
"Nov 2, 2020",10,2020-11-02,2020,45,10th,2020s
"Oct 26, 2020",10,2020-10-26,2020,44,10th,2020s
"Oct 19, 2020",10,2020-10-19,2020,43,10th,2020s
"Oct 12, 2020",10,2020-10-12,2020,42,10th,2020s
"Sep 28, 2020",9,2020-09-28,2020,40,9th,2020s
"Sep 21, 2020",9,2020-09-21,2020,39,9th,2020s
"Sep 14, 2020",9,2020-09-14,2020,38,9th,2020s
"Aug 31, 2020",8,2020-08-31,2020,36,8th,2020s
"Aug 17, 2020",9,2020-08-17,2020,34,9th,2020s
"Aug 10, 2020",9,2020-08-10,2020,33,9th,2020s
"Mar 16, 2020",9,2020-03-16,2020,12,9th,2020s
"Mar 9, 2020",9,2020-03-09,2020,11,9th,2020s
"Mar 2, 2020",9,2020-03-02,2020,10,9th,2020s
"Feb 24, 2020",8,2020-02-24,2020,9,8th,2020s
"Feb 17, 2020",9,2020-02-17,2020,8,9th,2020s
"Feb 10, 2020",9,2020-02-10,2020,7,9th,2020s
"Feb 3, 2020",9,2020-02-03,2020,6,9th,2020s
"Jan 20, 2020",9,2020-01-20,2020,4,9th,2020s
"Jan 13, 2020",9,2020-01-13,2020,3,9th,2020s
"Jan 6, 2020",10,2020-01-06,2020,2,10th,2020s
"Dec 30, 2019",10,2019-12-30,2019,1,10th,2010s
"Dec 23, 2019",10,2019-12-23,2019,52,10th,2010s
"Dec 16, 2019",10,2019-12-16,2019,51,10th,2010s
"Dec 9, 2019",10,2019-12-09,2019,50,10th,2010s
"Dec 2, 2019",10,2019-12-02,2019,49,10th,2010s
"Nov 25, 2019",10,2019-11-25,2019,48,10th,2010s
"Nov 18, 2019",10,2019-11-18,2019,47,10th,2010s
"Nov 11, 2019",10,2019-11-11,2019,46,10th,2010s
"Nov 4, 2019",10,2019-11-04,2019,45,10th,2010s
"Oct 21, 2019",9,2019-10-21,2019,43,9th,2010s
"Oct 14, 2019",9,2019-10-14,2019,42,9th,2010s
"Oct 7, 2019",9,2019-10-07,2019,41,9th,2010s
"Sep 30, 2019",9,2019-09-30,2019,40,9th,2010s
"Sep 23, 2019",9,2019-09-23,2019,39,9th,2010s
"Sep 16, 2019",9,2019-09-16,2019,38,9th,2010s
"Sep 9, 2019",9,2019-09-09,2019,37,9th,2010s
"Aug 26, 2019",8,2019-08-26,2019,35,8th,2010s
"Aug 19, 2019",8,2019-08-19,2019,34,8th,2010s
"Aug 12, 2019",8,2019-08-12,2019,33,8th,2010s
"Aug 5, 2019",10,2019-08-05,2019,32,10th,2010s
"Jul 29, 2019",9,2019-07-29,2019,31,9th,2010s
"Jul 22, 2019",9,2019-07-22,2019,30,9th,2010s
"Jul 15, 2019",9,2019-07-15,2019,29,9th,2010s
"Jul 1, 2019",10,2019-07-01,2019,27,10th,2010s
"Jun 24, 2019",11,2019-06-24,2019,26,11th,2010s
"Jun 17, 2019",11,2019-06-17,2019,25,11th,2010s
"Jun 10, 2019",11,2019-06-10,2019,24,11th,2010s
"May 27, 2019",10,2019-05-27,2019,22,10th,2010s
"May 20, 2019",10,2019-05-20,2019,21,10th,2010s
"May 13, 2019",11,2019-05-13,2019,20,11th,2010s
"May 6, 2019",11,2019-05-06,2019,19,11th,2010s
"Apr 29, 2019",11,2019-04-29,2019,18,11th,2010s
"Apr 22, 2019",11,2019-04-22,2019,17,11th,2010s
"Apr 15, 2019",11,2019-04-15,2019,16,11th,2010s
"Apr 8, 2019",11,2019-04-08,2019,15,11th,2010s
"Apr 1, 2019",11,2019-04-01,2019,14,11th,2010s
"Mar 18, 2019",10,2019-03-18,2019,12,10th,2010s
"Mar 4, 2019",10,2019-03-04,2019,10,10th,2010s
"Feb 25, 2019",10,2019-02-25,2019,9,10th,2010s
"Feb 18, 2019",10,2019-02-18,2019,8,10th,2010s
"Feb 11, 2019",11,2019-02-11,2019,7,11th,2010s
"Feb 4, 2019",11,2019-02-04,2019,6,11th,2010s
"Jan 28, 2019",11,2019-01-28,2019,5,11th,2010s
"Jan 14, 2019",16,2019-01-14,2019,3,16th,2010s
"Jan 7, 2019",16,2019-01-07,2019,2,16th,2010s
"Dec 31, 2018",16,2018-12-31,2018,1,16th,2010s
"Dec 24, 2018",16,2018-12-24,2018,52,16th,2010s
"Dec 17, 2018",16,2018-12-17,2018,51,16th,2010s
"Dec 10, 2018",16,2018-12-10,2018,50,16th,2010s
"Dec 3, 2018",16,2018-12-03,2018,49,16th,2010s
"Nov 26, 2018",16,2018-11-26,2018,48,16th,2010s
"Nov 19, 2018",16,2018-11-19,2018,47,16th,2010s
"Nov 12, 2018",16,2018-11-12,2018,46,16th,2010s
"Nov 5, 2018",16,2018-11-05,2018,45,16th,2010s
"Oct 29, 2018",15,2018-10-29,2018,44,15th,2010s
"Oct 22, 2018",15,2018-10-22,2018,43,15th,2010s
"Oct 15, 2018",17,2018-10-15,2018,42,17th,2010s
"Oct 8, 2018",17,2018-10-08,2018,41,17th,2010s
"Oct 1, 2018",17,2018-10-01,2018,40,17th,2010s
"Sep 24, 2018",16,2018-09-24,2018,39,16th,2010s
"Sep 17, 2018",16,2018-09-17,2018,38,16th,2010s
"Sep 10, 2018",16,2018-09-10,2018,37,16th,2010s
"Aug 27, 2018",26,2018-08-27,2018,35,26th,2010s
"Aug 20, 2018",26,2018-08-20,2018,34,26th,2010s
"Aug 13, 2018",27,2018-08-13,2018,33,27th,2010s
"Aug 6, 2018",26,2018-08-06,2018,32,26th,2010s
"Jul 30, 2018",26,2018-07-30,2018,31,26th,2010s
"Jul 23, 2018",27,2018-07-23,2018,30,27th,2010s
"Jul 16, 2018",28,2018-07-16,2018,29,28th,2010s
"Jan 15, 2018",22,2018-01-15,2018,3,22nd,2010s
"Jan 8, 2018",23,2018-01-08,2018,2,23rd,2010s
"Jan 1, 2018",22,2018-01-01,2018,1,22nd,2010s
"Dec 25, 2017",22,2017-12-25,2017,52,22nd,2010s
"Dec 18, 2017",22,2017-12-18,2017,51,22nd,2010s
"Dec 11, 2017",22,2017-12-11,2017,50,22nd,2010s
"Dec 4, 2017",22,2017-12-04,2017,49,22nd,2010s
"Nov 27, 2017",22,2017-11-27,2017,48,22nd,2010s
"Nov 20, 2017",22,2017-11-20,2017,47,22nd,2010s
"Nov 13, 2017",22,2017-11-13,2017,46,22nd,2010s
"Nov 6, 2017",22,2017-11-06,2017,45,22nd,2010s
"Oct 30, 2017",21,2017-10-30,2017,44,21st,2010s
"Oct 23, 2017",21,2017-10-23,2017,43,21st,2010s
"Oct 16, 2017",24,2017-10-16,2017,42,24th,2010s
"Oct 9, 2017",24,2017-10-09,2017,41,24th,2010s
"Oct 2, 2017",24,2017-10-02,2017,40,24th,2010s
"Sep 25, 2017",23,2017-09-25,2017,39,23rd,2010s
"Sep 18, 2017",22,2017-09-18,2017,38,22nd,2010s
"Sep 11, 2017",22,2017-09-11,2017,37,22nd,2010s
"Aug 28, 2017",15,2017-08-28,2017,35,15th,2010s
"Aug 21, 2017",15,2017-08-21,2017,34,15th,2010s
"Aug 14, 2017",15,2017-08-14,2017,33,15th,2010s
"Aug 7, 2017",15,2017-08-07,2017,32,15th,2010s
"Jul 31, 2017",15,2017-07-31,2017,31,15th,2010s
"Jul 24, 2017",15,2017-07-24,2017,30,15th,2010s
"Jul 17, 2017",15,2017-07-17,2017,29,15th,2010s
"Jul 3, 2017",4,2017-07-03,2017,27,4th,2010s
"Jun 26, 2017",4,2017-06-26,2017,26,4th,2010s
"Jun 19, 2017",4,2017-06-19,2017,25,4th,2010s
"Jun 12, 2017",4,2017-06-12,2017,24,4th,2010s
"May 29, 2017",2,2017-05-29,2017,22,2nd,2010s
"May 22, 2017",2,2017-05-22,2017,21,2nd,2010s
"May 15, 2017",2,2017-05-15,2017,20,2nd,2010s
"May 8, 2017",1,2017-05-08,2017,19,1st,2010s
"May 1, 2017",1,2017-05-01,2017,18,1st,2010s
"Apr 24, 2017",1,2017-04-24,2017,17,1st,2010s
"Apr 17, 2017",2,2017-04-17,2017,16,2nd,2010s
"Apr 10, 2017",2,2017-04-10,2017,15,2nd,2010s
"Apr 3, 2017",2,2017-04-03,2017,14,2nd,2010s
"Mar 20, 2017",2,2017-03-20,2017,12,2nd,2010s
"Mar 6, 2017",1,2017-03-06,2017,10,1st,2010s
"Feb 27, 2017",1,2017-02-27,2017,9,1st,2010s
"Feb 20, 2017",1,2017-02-20,2017,8,1st,2010s
"Feb 13, 2017",1,2017-02-13,2017,7,1st,2010s
"Feb 6, 2017",1,2017-02-06,2017,6,1st,2010s
"Jan 30, 2017",1,2017-01-30,2017,5,1st,2010s
"Jan 16, 2017",2,2017-01-16,2017,3,2nd,2010s
"Jan 9, 2017",2,2017-01-09,2017,2,2nd,2010s
"Jan 2, 2017",2,2017-01-02,2017,1,2nd,2010s
"Dec 26, 2016",2,2016-12-26,2016,52,2nd,2010s
"Dec 19, 2016",2,2016-12-19,2016,51,2nd,2010s
"Dec 12, 2016",2,2016-12-12,2016,50,2nd,2010s
"Dec 5, 2016",2,2016-12-05,2016,49,2nd,2010s
