geoid,name,universe,universe_annotation,universe_moe,universe_moe_annotation,american indian area/alaska native area/hawaiian home land
6625,"Iliamna ANVSA, AK",63.0,,31.0,,6625
6705,"Kasaan ANVSA, AK",75.0,,29.0,,6705
7020,"Napaskiak ANVSA, AK",356.0,,57.0,,7020
7225,"Pilot Point ANVSA, AK",83.0,,44.0,,7225
0845,"Crow Reservation and Off-Reservation Trust Land, MT",7184.0,,327.0,,0845
2190,"Mesa Grande Reservation, CA",78.0,,27.0,,2190
7110,"Noorvik ANVSA, AK",597.0,,82.0,,7110
9240,"MOWA Choctaw Reservation (state), AL",81.0,,40.0,,9240
6685,"Kalskag ANVSA, AK",222.0,,34.0,,6685
8450,"Mechoopda TDSA, CA",3344.0,,341.0,,8450
6420,"Douglas ANVSA, AK",6134.0,,321.0,,6420
6990,"Naknek ANVSA, AK",464.0,,81.0,,6990
5161,"Nanakuli Hawaiian Home Land, HI",5141.0,,477.0,,5161
4560,"Washoe Ranches Trust Land, NV--CA",3096.0,,175.0,,4560
1490,"Hoopa Valley Reservation, CA",3573.0,,388.0,,1490
1530,"Houlton Maliseet Reservation and Off-Reservation Trust Land, ME",325.0,,102.0,,1530
5196,"Ponohawaii Hawaiian Home Land, HI",16.0,,17.0,,5196
1655,"Jamestown S'Klallam Reservation and Off-Reservation Trust Land, WA",9.0,,10.0,,1655
1995,"Los Coyotes Reservation, CA",105.0,,39.0,,1995
3625,"Sauk-Suiattle Reservation, WA",63.0,,31.0,,3625
5700,"Kickapoo OTSA, OK",20991.0,,668.0,,5700
6470,"Elim ANVSA, AK",303.0,,45.0,,6470
6500,"False Pass ANVSA, AK",78.0,,25.0,,6500
6865,"Levelock ANVSA, AK",76.0,,32.0,,6865
6875,"Lime Village ANVSA, AK",8.0,,7.0,,6875
5193,"Piihonua Hawaiian Home Land, HI",92.0,,53.0,,5193
6360,"Clarks Point ANVSA, AK",48.0,,26.0,,6360
6790,"Kobuk ANVSA, AK",143.0,,43.0,,6790
3565,"Santee Reservation, NE",1019.0,,72.0,,3565
5281,"Waimea Hawaiian Home Land, HI",0.0,,11.0,,5281
7095,"Nome ANVSA, AK",4014.0,,71.0,,7095
7725,"Venetie ANVSA, AK",134.0,,27.0,,7725
0620,"Chicken Ranch Rancheria and Off-Reservation Trust Land, CA",0.0,,12.0,,0620
5139,"Makaha Valley Hawaiian Home Land, HI",0.0,,11.0,,5139
0335,"Bois Forte Reservation and Off-Reservation Trust Land, MN",1383.0,,221.0,,0335
0555,"Cedarville Rancheria and Off-Reservation Trust Land, CA",28.0,,27.0,,0555
4015,"Stockbridge Munsee Community and Off-Reservation Trust Land, WI",765.0,,103.0,,4015
2925,"Port Madison Reservation, WA",7846.0,,276.0,,2925
3585,"Santo Domingo Pueblo, NM",3192.0,,341.0,,3585
7040,"New Koliganek ANVSA, AK",161.0,,38.0,,7040
4708,"Yavapai-Apache Nation Reservation, AZ",712.0,,226.0,,4708
1750,"Karuk Reservation and Off-Reservation Trust Land, CA",513.0,,124.0,,1750
1915,"Las Vegas Indian Colony, NV",126.0,,98.0,,1915
4315,"Tunica-Biloxi Reservation and Off-Reservation Trust Land, LA",141.0,,68.0,,4315
5136,"Lualualei Hawaiian Home Land, HI",34.0,,20.0,,5136
6535,"Georgetown ANVSA, AK",0.0,,9.0,,6535
6430,"Eagle ANVSA, AK",25.0,,12.0,,6430
7275,"Port Lions ANVSA, AK",190.0,,64.0,,7275
2445,"Nez Perce Reservation, ID",18770.0,,442.0,,2445
9230,"Mattaponi Reservation (state), VA",48.0,,24.0,,9230
7340,"St. George ANVSA, AK",78.0,,25.0,,7340
0115,"Aroostook Band of Micmac Trust Land, ME",250.0,,69.0,,0115
5069,"Kaohe-Olaa Hawaiian Home Land, HI",0.0,,11.0,,5069
3460,"San Pasqual Reservation, CA",843.0,,157.0,,3460
7065,"Nightmute ANVSA, AK",189.0,,34.0,,7065
2460,"Nisqually Reservation, WA",666.0,,144.0,,2460
9680,"Echota Cherokee (state) SDTSA, AL",56691.0,,1716.0,,9680
6545,"Goodnews Bay ANVSA, AK",192.0,,42.0,,6545
6975,"Mountain Village ANVSA, AK",828.0,,243.0,,6975
5046,"Kalamaula Hawaiian Home Land, HI",421.0,,137.0,,5046
0275,"Big Valley Rancheria, CA",195.0,,100.0,,0275
3195,"Robinson Rancheria and Off-Reservation Trust Land, CA",366.0,,148.0,,3195
5156,"Moloaa Hawaiian Home Land, HI",0.0,,11.0,,5156
7270,"Port Heiden ANVSA, AK",78.0,,34.0,,7270
4445,"Upper Sioux Community and Off-Reservation Trust Land, MN",132.0,,39.0,,4445
6620,"Igiugig ANVSA, AK",62.0,,22.0,,6620
1960,"Little River Reservation and Off-Reservation Trust Land, MI",107.0,,53.0,,1960
7305,"Red Devil ANVSA, AK",21.0,,15.0,,7305
3145,"Resighini Rancheria, CA",14.0,,11.0,,3145
3825,"Skokomish Reservation, WA",761.0,,135.0,,3825
5098,"Keahuolu Hawaiian Home Land, HI",0.0,,11.0,,5098
6735,"King Cove ANVSA, AK",1074.0,,168.0,,6735
6850,"Lake Minchumina ANVSA, AK",14.0,,11.0,,6850
6015,"Akhiok ANVSA, AK",57.0,,31.0,,6015
7125,"Nuiqsut ANVSA, AK",469.0,,171.0,,7125
0290,"Bishop Reservation, CA",1693.0,,170.0,,0290
0225,"Big Cypress Reservation, FL",571.0,,69.0,,0225
1775,"Kickapoo (TX) Reservation and Off-Reservation Trust Land, TX",430.0,,167.0,,1775
2985,"Prairie Island Indian Community and Off-Reservation Trust Land, MN",158.0,,59.0,,2985
4060,"Susanville Indian Rancheria and Off-Reservation Trust Land, CA",577.0,,139.0,,4060
4290,"Tulalip Reservation and Off-Reservation Trust Land, WA",9997.0,,407.0,,4290
1505,"Hopi Reservation and Off-Reservation Trust Land, AZ",9227.0,,613.0,,1505
1555,"Immokalee Reservation, FL",447.0,,165.0,,1555
3085,"Red Cliff Reservation and Off-Reservation Trust Land, WI",1282.0,,107.0,,3085
4755,"Ysleta del Sur Pueblo and Off-Reservation Trust Land, TX",1220.0,,234.0,,4755
1560,"Inaja and Cosmit Reservation, CA",0.0,,12.0,,1560
1125,"Fond du Lac Reservation and Off-Reservation Trust Land, MN--WI",3944.0,,259.0,,1125
3665,"Seminole (FL) Trust Land, FL",0.0,,13.0,,3665
7115,"Northway ANVSA, AK",262.0,,83.0,,7115
1365,"Grand Ronde Community, OR",518.0,,125.0,,1365
9880,"Star Muskogee Creek (state) SDTSA, AL",6190.0,,499.0,,9880
4140,"Taos Pueblo and Off-Reservation Trust Land, NM",5129.0,,551.0,,4140
9830,"Nanticoke Indian Tribe (state) SDTSA, DE",8546.0,,476.0,,9830
5179,"Papakolea Hawaiian Home Land, HI",1505.0,,344.0,,5179
5251,"Wailau Hawaiian Home Land, HI",0.0,,11.0,,5251
6250,"Buckland ANVSA, AK",608.0,,63.0,,6250
6415,"Dot Lake ANVSA, AK",38.0,,23.0,,6415
2505,"Northwestern Shoshone Reservation, UT",0.0,,11.0,,2505
0680,"Pueblo de Cochiti, NM",1661.0,,142.0,,0680
9350,"Schaghticoke Reservation (state), CT",11.0,,21.0,,9350
7375,"St. Michael ANVSA, AK",468.0,,57.0,,7375
6305,"Chignik Lake ANVSA, AK",51.0,,19.0,,6305
7580,"Tetlin ANVSA, AK",144.0,,55.0,,7580
0095,"Alturas Indian Rancheria, CA",0.0,,12.0,,0095
6190,"Beaver ANVSA, AK",46.0,,23.0,,6190
7435,"Seldovia ANVSA, AK",400.0,,60.0,,7435
3930,"South Fork Reservation and Off-Reservation Trust Land, NV",57.0,,24.0,,3930
6700,"Karluk ANVSA, AK",44.0,,31.0,,6700
0415,"Cabazon Reservation, CA",725.0,,274.0,,0415
5116,"Keoniki Hawaiian Home Land, HI",0.0,,11.0,,5116
6030,"Akutan ANVSA, AK",755.0,,255.0,,6030
6755,"Kivalina ANVSA, AK",688.0,,84.0,,6755
2030,"Lower Brule Reservation and Off-Reservation Trust Land, SD",1631.0,,74.0,,2030
3000,"Puyallup Reservation and Off-Reservation Trust Land, WA",51407.0,,1100.0,,3000
7145,"Ohogamiut ANVSA, AK",0.0,,9.0,,7145
0855,"Crow Creek Reservation, SD",2164.0,,101.0,,0855
1515,"Hopland Rancheria, CA",281.0,,92.0,,1515
2490,"Northern Cheyenne Indian Reservation and Off-Reservation Trust Land, MT--SD",4931.0,,323.0,,2490
9635,"Coharie (state) SDTSA, NC",62167.0,,1865.0,,9635
5091,"Kawaihae Hawaiian Home Land, HI",587.0,,126.0,,5091
1840,"Laguna Pueblo and Off-Reservation Trust Land, NM",3924.0,,311.0,,1840
2550,"Omaha Reservation, NE--IA",4831.0,,152.0,,2550
3885,"Sokaogon Chippewa Community, WI",461.0,,76.0,,3885
6280,"Chenega ANVSA, AK",48.0,,37.0,,6280
6575,"Healy Lake ANVSA, AK",4.0,,6.0,,6575
2580,"Ontonagon Reservation, MI",0.0,,10.0,,2580
4770,"Zia Pueblo and Off-Reservation Trust Land, NM",934.0,,120.0,,4770
5188,"Pearl City Hawaiian Home Land, HI",63.0,,27.0,,5188
6680,"Kaktovik ANVSA, AK",178.0,,60.0,,6680
1005,"Elko Colony, NV",1194.0,,174.0,,1005
4455,"Upper Skagit Reservation and Off-Reservation Trust Land, WA",266.0,,98.0,,4455
6365,"Copper Center ANVSA, AK",419.0,,121.0,,6365
8300,"Ione Band of Miwok TDSA, CA",6.0,,9.0,,8300
2205,"Mescalero Reservation, NM",3730.0,,313.0,,2205
5955,"Kiowa-Comanche-Apache-Ft Sill Apache/Caddo-Wichita-Delaware joint-use OTSA, OK",11840.0,,299.0,,5955
5770,"Ottawa OTSA, OK",5965.0,,278.0,,5770
3205,"Rocky Boy's Reservation and Off-Reservation Trust Land, MT",3634.0,,203.0,,3205
5271,"Waimanalo Hawaiian Home Land, HI",3061.0,,253.0,,5271
9975,"Wassamasaw SDTSA, SC",2188.0,,290.0,,9975
6740,"King Salmon ANVSA, AK",179.0,,35.0,,6740
0820,"Cowlitz Reservation, WA",0.0,,12.0,,0820
5199,"Pulehunui Hawaiian Home Land, HI",0.0,,11.0,,5199
0775,"Coquille Reservation, OR",453.0,,138.0,,0775
1690,"Jena Band of Choctaw Reservation, LA",0.0,,12.0,,1690
9967,"Waccamaw SDTSA, SC",9.0,,6.0,,9967
4000,"Stillaguamish Reservation and Off-Reservation Trust Land, WA",11.0,,15.0,,4000
6340,"Chulloonawick ANVSA, AK",0.0,,9.0,,6340
7470,"Shungnak ANVSA, AK",288.0,,44.0,,7470
1150,"Fort Belknap Reservation and Off-Reservation Trust Land, MT",3187.0,,146.0,,1150
6035,"Alakanuk ANVSA, AK",837.0,,78.0,,6035
6490,"Evansville ANVSA, AK",77.0,,137.0,,6490
6315,"Chilkoot ANVSA, AK",453.0,,120.0,,6315
7220,"Petersburg ANVSA, AK",2448.0,,253.0,,7220
2075,"Lytton Rancheria, CA",0.0,,12.0,,2075
3940,"Spokane Reservation and Off-Reservation Trust Land, WA",2187.0,,234.0,,3940
3955,"Squaxin Island Reservation and Off-Reservation Trust Land, WA",524.0,,155.0,,3955
0795,"Coushatta Reservation and Off-Reservation Trust Land, LA",113.0,,63.0,,0795
1685,"Jemez Pueblo, NM",2049.0,,197.0,,1685
9963,"Upper South Carolina Pee Dee SDTSA, SC",1363.0,,194.0,,9963
2910,"Port Gamble Reservation and Off-Reservation Trust Land, WA",622.0,,93.0,,2910
3680,"Shakopee Mdewakanton Sioux Community and Off-Reservation Trust Land, MN",954.0,,172.0,,3680
0525,"Catawba Reservation, SC",1247.0,,225.0,,0525
1100,"Flandreau Reservation, SD",509.0,,115.0,,1100
5101,"Kealakehe Hawaiian Home Land, HI",1043.0,,200.0,,5101
1575,"Indian Township Reservation, ME",753.0,,107.0,,1575
5560,"Cheyenne-Arapaho OTSA, OK",187338.0,,1207.0,,5560
6350,"Circle ANVSA, AK",74.0,,28.0,,6350
6890,"Lower Kalskag ANVSA, AK",283.0,,43.0,,6890
9844,"Pee Dee SDTSA, SC",3210.0,,366.0,,9844
3130,"Reno-Sparks Indian Colony and Off-Reservation Trust Land, NV",1047.0,,161.0,,3130
9510,"Adais Caddo (state) SDTSA, LA",2269.0,,274.0,,9510
9960,"United Houma Nation (state) SDTSA, LA",203711.0,,1480.0,,9960
5033,"Hoolehua-Palaaau Hawaiian Home Land, HI",1191.0,,172.0,,5033
0770,"Coos, Lower Umpqua, and Siuslaw Reservation and Off-Reservation Trust Land, OR",100.0,,53.0,,0770
1075,"Fallon Paiute-Shoshone Reservation and Off-Reservation Trust Land, NV",745.0,,108.0,,1075
9875,"Santee SDTSA, SC",560.0,,125.0,,9875
6040,"Alatna ANVSA, AK",4.0,,5.0,,6040
7640,"Tuntutuliak ANVSA, AK",566.0,,65.0,,7640
8750,"Samish TDSA, WA",38296.0,,229.0,,8750
0510,"Carson Colony, NV",275.0,,89.0,,0510
1475,"Hollywood Reservation, FL",989.0,,217.0,,1475
2535,"Oil Springs Reservation, NY",2.0,,3.0,,2535
1625,"Isleta Pueblo, NM",3809.0,,385.0,,1625
2100,"Manchester-Point Arena Rancheria, CA",365.0,,117.0,,2100
5043,"Kakaina-Kumuhau Hawaiian Home Land, HI",165.0,,111.0,,5043
5256,"Wailua Hawaiian Home Land, HI",0.0,,11.0,,5256
2685,"Paskenta Rancheria, CA",0.0,,12.0,,2685
4785,"Zuni Reservation and Off-Reservation Trust Land, NM--AZ",9560.0,,621.0,,4785
5216,"Ualapue Hawaiian Home Land, HI",5.0,,6.0,,5216
6590,"Hoonah ANVSA, AK",800.0,,105.0,,6590
7263,"Port Alsworth ANVSA, AK",151.0,,62.0,,7263
1800,"Kootenai Reservation and Off-Reservation Trust Land, ID",67.0,,37.0,,1800
2015,"Lovelock Indian Colony, NV",53.0,,48.0,,2015
3280,"Sac and Fox/Meskwaki Settlement and Off-Reservation Trust Land, IA",1058.0,,126.0,,3280
4625,"Winnebago Reservation and Off-Reservation Trust Land, NE--IA",2983.0,,146.0,,4625
6100,"Angoon ANVSA, AK",523.0,,120.0,,6100
6845,"Kwinhagak ANVSA, AK",796.0,,203.0,,6845
7070,"Nikolai ANVSA, AK",114.0,,30.0,,7070
6080,"Anaktuvuk Pass ANVSA, AK",265.0,,88.0,,6080
7255,"Point Lay ANVSA, AK",251.0,,65.0,,7255
0975,"Duckwater Reservation, NV",299.0,,105.0,,0975
2255,"Middletown Rancheria, CA",0.0,,12.0,,2255
6730,"Kiana ANVSA, AK",299.0,,51.0,,6730
5690,"Kaw OTSA, OK",5834.0,,225.0,,5690
7230,"Pilot Station ANVSA, AK",576.0,,64.0,,7230
0760,"Colville Reservation and Off-Reservation Trust Land, WA",7228.0,,421.0,,0760
4235,"Tonto Apache Reservation and Off-Reservation Trust Land, AZ",140.0,,68.0,,4235
4665,"Woodfords Community, CA",284.0,,73.0,,4665
6445,"Egegik ANVSA, AK",83.0,,32.0,,6445
7690,"Unalakleet ANVSA, AK",702.0,,169.0,,7690
7605,"Togiak ANVSA, AK",705.0,,75.0,,7605
0440,"Campbell Ranch, NV",461.0,,172.0,,0440
7755,"Wrangell ANVSA, AK",1323.0,,134.0,,7755
2570,"Onondaga Nation Reservation, NY",134.0,,111.0,,2570
2820,"Pinoleville Rancheria, CA",223.0,,189.0,,2820
2315,"Moapa River Indian Reservation, NV",294.0,,71.0,,2315
7030,"Nenana ANVSA, AK",383.0,,62.0,,7030
0110,"Annette Island Reserve, AK",1635.0,,122.0,,0110
9800,"Lenape Indian Tribe of Delaware SDTSA, DE",667.0,,135.0,,9800
7495,"Sleetmute ANVSA, AK",83.0,,23.0,,7495
5044,"Kalaeloa Hawaiian Home Land, HI",17.0,,28.0,,5044
5146,"Makuu Hawaiian Home Land, HI",57.0,,25.0,,5146
6125,"Anvik ANVSA, AK",104.0,,25.0,,6125
6615,"Hydaburg ANVSA, AK",330.0,,59.0,,6615
1640,"Jackson Rancheria, CA",0.0,,12.0,,1640
5720,"Kiowa-Comanche-Apache-Fort Sill Apache OTSA, OK",192325.0,,679.0,,5720
3340,"Salt River Reservation, AZ",7386.0,,605.0,,3340
4740,"Yomba Reservation, NV",91.0,,34.0,,4740
5138,"Maili Hawaiian Home Land, HI",514.0,,397.0,,5138
5740,"Modoc OTSA, OK",253.0,,35.0,,5740
6175,"Barrow ANVSA, AK",4408.0,,123.0,,6175
6995,"Nanwalek ANVSA, AK",212.0,,64.0,,6995
6855,"Larsen Bay ANVSA, AK",52.0,,26.0,,6855
0215,"Big Bend Rancheria, CA",0.0,,12.0,,0215
0720,"Cold Springs Rancheria, CA",134.0,,62.0,,0720
0780,"Cortina Indian Rancheria, CA",31.0,,24.0,,0780
6720,"Kenaitze ANVSA, AK",35097.0,,676.0,,6720
0305,"Blackfeet Indian Reservation and Off-Reservation Trust Land, MT",10772.0,,233.0,,0305
6910,"Marshall ANVSA, AK",299.0,,48.0,,6910
2145,"Mashantucket Pequot Reservation, CT",216.0,,77.0,,2145
4405,"Umatilla Reservation and Off-Reservation Trust Land, OR",2937.0,,218.0,,4405
6710,"Kasigluk ANVSA, AK",574.0,,66.0,,6710
2990,"Pueblo of Pojoaque and Off-Reservation Trust Land, NM",3356.0,,157.0,,2990
5640,"Eastern Shawnee OTSA, OK",874.0,,60.0,,5640
0200,"Berry Creek Rancheria and Off-Reservation Trust Land, CA",259.0,,107.0,,0200
7135,"Nunapitchuk ANVSA, AK",869.0,,283.0,,7135
7425,"Scammon Bay ANVSA, AK",585.0,,70.0,,7425
7625,"Toksook Bay ANVSA, AK",506.0,,65.0,,7625
1460,"Hoh Indian Reservation and Off-Reservation Trust Land, WA",106.0,,40.0,,1460
0635,"Chitimacha Reservation, LA",601.0,,178.0,,0635
3370,"Sandia Pueblo, NM",5264.0,,371.0,,3370
7150,"Old Harbor ANVSA, AK",249.0,,71.0,,7150
1185,"Fort Hall Reservation and Off-Reservation Trust Land, ID",5894.0,,513.0,,1185
3925,"Southern Ute Reservation, CO",13379.0,,582.0,,3925
7465,"Shishmaref ANVSA, AK",525.0,,57.0,,7465
7390,"St. Paul ANVSA, AK",425.0,,84.0,,7390
7315,"Russian Mission ANVSA, AK",318.0,,60.0,,7315
5830,"Seminole OTSA, OK",23006.0,,169.0,,5830
0360,"Brighton Reservation, FL",661.0,,71.0,,0360
2240,"Miccosukee Reservation and Off-Reservation Trust Land, FL",6.0,,11.0,,2240
6630,"Inalik ANVSA, AK",94.0,,26.0,,6630
0560,"Celilo Village Trust Land, OR",61.0,,33.0,,0560
1135,"Forest County Potawatomi Community and Off-Reservation Trust Land, WI",704.0,,130.0,,1135
1850,"La Jolla Reservation, CA",538.0,,154.0,,1850
6325,"Chistochina ANVSA, AK",85.0,,55.0,,6325
4680,"XL Ranch Rancheria, CA",51.0,,35.0,,4680
2760,"Penobscot Reservation and Off-Reservation Trust Land, ME",756.0,,102.0,,2760
7415,"Savoonga ANVSA, AK",921.0,,81.0,,7415
0705,"Coeur d'Alene Reservation, ID",7805.0,,407.0,,0705
4345,"Turtle Mountain Reservation and Off-Reservation Trust Land, MT--ND--SD",9259.0,,214.0,,4345
0080,"Allegany Reservation, NY",6127.0,,180.0,,0080
7765,"Yakutat ANVSA, AK",665.0,,80.0,,7765
2270,"Mille Lacs Reservation and Off-Reservation Trust Land, MN",4425.0,,205.0,,2270
4390,"Uintah and Ouray Reservation and Off-Reservation Trust Land, UT",25857.0,,409.0,,4390
3095,"Redding Rancheria, CA",21.0,,23.0,,3095
3735,"Sherwood Valley Rancheria and Off-Reservation Trust Land, CA",107.0,,76.0,,3735
3855,"Smith River Reservation and Off-Reservation Trust Land, CA",129.0,,81.0,,3855
7440,"Shageluk ANVSA, AK",75.0,,22.0,,7440
5276,"Waimanu Hawaiian Home Land, HI",0.0,,11.0,,5276
1210,"Fort McDermitt Indian Reservation, NV--OR",336.0,,133.0,,1210
1700,"Jicarilla Apache Nation Reservation and Off-Reservation Trust Land, NM",3195.0,,337.0,,1700
9835,"Nanticoke Lenni Lenape (state) SDTSA, NJ",5932.0,,447.0,,9835
6495,"Eyak ANVSA, AK",257.0,,104.0,,6495
7430,"Selawik ANVSA, AK",839.0,,94.0,,7430
1250,"Fort Peck Indian Reservation and Off-Reservation Trust Land, MT",10319.0,,205.0,,1250
9550,"Cher-O-Creek SDTSA, AL",86566.0,,550.0,,9550
3010,"Pyramid Lake Paiute Reservation, NV",1499.0,,145.0,,3010
6945,"Mentasta Lake ANVSA, AK",184.0,,72.0,,6945
7665,"Ugashik ANVSA, AK",8.0,,8.0,,7665
5088,"Kaupea Hawaiian Home Land, HI",1482.0,,203.0,,5088
5890,"Wyandotte OTSA, OK",1687.0,,75.0,,5890
7265,"Port Graham ANVSA, AK",192.0,,46.0,,7265
3040,"Quinault Reservation, WA",1153.0,,149.0,,3040
2330,"Montgomery Creek Rancheria, CA",4.0,,7.0,,2330
3985,"Stewarts Point Rancheria and Off-Reservation Trust Land, CA",91.0,,48.0,,3985
3935,"Spirit Lake Reservation, ND",4455.0,,99.0,,3935
4095,"Table Bluff Reservation, CA",161.0,,94.0,,4095
4200,"Tohono O'odham Nation Reservation and Off-Reservation Trust Land, AZ",10761.0,,832.0,,4200
6105,"Aniak ANVSA, AK",525.0,,81.0,,6105
7260,"Portage Creek ANVSA, AK",0.0,,9.0,,7260
1065,"Ewiiaapaayp Reservation, CA",0.0,,12.0,,1065
4375,"Twenty-Nine Palms Reservation and Off-Reservation Trust Land, CA",7.0,,7.0,,4375
5915,"Creek/Seminole joint-use OTSA, OK",2065.0,,169.0,,5915
6670,"Kake ANVSA, AK",578.0,,82.0,,6670
7080,"Ninilchik ANVSA, AK",15103.0,,476.0,,7080
1170,"Fort Bidwell Reservation and Off-Reservation Trust Land, CA",119.0,,60.0,,1170
3185,"Roaring Creek Rancheria, CA",21.0,,25.0,,3185
4045,"Summit Lake Reservation and Off-Reservation Trust Land, NV",0.0,,12.0,,4045
6840,"Kwigillingok ANVSA, AK",379.0,,61.0,,6840
2635,"Pala Reservation, CA",1288.0,,256.0,,2635
