geoid,name,universe,universe_annotation,universe_moe,universe_moe_annotation,state,congressional district
4208,"Congressional District 8 (116th Congress), Pennsylvania",695547.0,,756.0,,42,08
4210,"Congressional District 10 (116th Congress), Pennsylvania",727144.0,,949.0,,42,10
4213,"Congressional District 13 (116th Congress), Pennsylvania",698730.0,,732.0,,42,13
4215,"Congressional District 15 (116th Congress), Pennsylvania",685714.0,,713.0,,42,15
4218,"Congressional District 18 (116th Congress), Pennsylvania",699856.0,,778.0,,42,18
4501,"Congressional District 1 (116th Congress), South Carolina",766664.0,,2846.0,,45,01
4503,"Congressional District 3 (116th Congress), South Carolina",684952.0,,2042.0,,45,03
4506,"Congressional District 6 (116th Congress), South Carolina",662894.0,,4829.0,,45,06
4701,"Congressional District 1 (116th Congress), Tennessee",713768.0,,709.0,,47,01
4703,"Congressional District 3 (116th Congress), Tennessee",726454.0,,1110.0,,47,03
4706,"Congressional District 6 (116th Congress), Tennessee",759176.0,,594.0,,47,06
4708,"Congressional District 8 (116th Congress), Tennessee",708031.0,,1873.0,,47,08
4802,"Congressional District 2 (116th Congress), Texas",785386.0,,6182.0,,48,02
2001,"Congressional District 1 (116th Congress), Kansas",708511.0,,279.0,,20,01
2004,"Congressional District 4 (116th Congress), Kansas",723182.0,,102.0,,20,04
2102,"Congressional District 2 (116th Congress), Kentucky",753608.0,,773.0,,21,02
2105,"Congressional District 5 (116th Congress), Kentucky",702070.0,,792.0,,21,05
2201,"Congressional District 1 (116th Congress), Louisiana",801089.0,,3069.0,,22,01
2404,"Congressional District 4 (116th Congress), Maryland",749033.0,,3587.0,,24,04
2204,"Congressional District 4 (116th Congress), Louisiana",753519.0,,1265.0,,22,04
2206,"Congressional District 6 (116th Congress), Louisiana",789153.0,,3836.0,,22,06
2401,"Congressional District 1 (116th Congress), Maryland",730442.0,,1763.0,,24,01
2406,"Congressional District 6 (116th Congress), Maryland",765910.0,,2840.0,,24,06
2501,"Congressional District 1 (116th Congress), Massachusetts",730959.0,,411.0,,25,01
2503,"Congressional District 3 (116th Congress), Massachusetts",763936.0,,884.0,,25,03
2506,"Congressional District 6 (116th Congress), Massachusetts",767907.0,,537.0,,25,06
2508,"Congressional District 8 (116th Congress), Massachusetts",764581.0,,2321.0,,25,08
2602,"Congressional District 2 (116th Congress), Michigan",735626.0,,503.0,,26,02
2604,"Congressional District 4 (116th Congress), Michigan",701141.0,,617.0,,26,04
2607,"Congressional District 7 (116th Congress), Michigan",705518.0,,407.0,,26,07
2609,"Congressional District 9 (116th Congress), Michigan",718682.0,,842.0,,26,09
2612,"Congressional District 12 (116th Congress), Michigan",711209.0,,689.0,,26,12
26ZZ,"Congressional Districts not defined (116th Congress), Michigan",0.0,,10.0,,26,ZZ
4819,"Congressional District 19 (116th Congress), Texas",725504.0,,387.0,,48,19
4821,"Congressional District 21 (116th Congress), Texas",795908.0,,4653.0,,48,21
4824,"Congressional District 24 (116th Congress), Texas",789219.0,,2989.0,,48,24
4826,"Congressional District 26 (116th Congress), Texas",848154.0,,3723.0,,48,26
4828,"Congressional District 28 (116th Congress), Texas",750331.0,,3381.0,,48,28
4831,"Congressional District 31 (116th Congress), Texas",829808.0,,2258.0,,48,31
4833,"Congressional District 33 (116th Congress), Texas",736783.0,,5593.0,,48,33
4836,"Congressional District 36 (116th Congress), Texas",736668.0,,3827.0,,48,36
4902,"Congressional District 2 (116th Congress), Utah",752756.0,,2189.0,,49,02
5000,"Congressional District (at Large) (116th Congress), Vermont",624977.0,,-555555555.0,*****,50,00
5102,"Congressional District 2 (116th Congress), Virginia",738568.0,,2335.0,,51,02
5105,"Congressional District 5 (116th Congress), Virginia",734216.0,,1449.0,,51,05
5107,"Congressional District 7 (116th Congress), Virginia",777354.0,,2364.0,,51,07
5110,"Congressional District 10 (116th Congress), Virginia",826914.0,,2597.0,,51,10
5402,"Congressional District 2 (116th Congress), West Virginia",623350.0,,-555555555.0,*****,54,02
5301,"Congressional District 1 (116th Congress), Washington",742135.0,,2417.0,,53,01
5304,"Congressional District 4 (116th Congress), Washington",719814.0,,797.0,,53,04
5306,"Congressional District 6 (116th Congress), Washington",698764.0,,2456.0,,53,06
5309,"Congressional District 9 (116th Congress), Washington",738464.0,,3096.0,,53,09
5501,"Congressional District 1 (116th Congress), Wisconsin",717432.0,,938.0,,55,01
5504,"Congressional District 4 (116th Congress), Wisconsin",713066.0,,374.0,,55,04
5506,"Congressional District 6 (116th Congress), Wisconsin",713439.0,,596.0,,55,06
5600,"Congressional District (at Large) (116th Congress), Wyoming",581836.0,,-555555555.0,*****,56,00
0407,"Congressional District 7 (116th Congress), Arizona",801173.0,,4928.0,,04,07
0501,"Congressional District 1 (116th Congress), Arkansas",722915.0,,687.0,,05,01
0503,"Congressional District 3 (116th Congress), Arkansas",795817.0,,1355.0,,05,03
0602,"Congressional District 2 (116th Congress), California",717732.0,,1570.0,,06,02
0604,"Congressional District 4 (116th Congress), California",734899.0,,1992.0,,06,04
0607,"Congressional District 7 (116th Congress), California",747097.0,,2441.0,,06,07
0609,"Congressional District 9 (116th Congress), California",758327.0,,2019.0,,06,09
0612,"Congressional District 12 (116th Congress), California",756773.0,,2199.0,,06,12
0614,"Congressional District 14 (116th Congress), California",753548.0,,2788.0,,06,14
0625,"Congressional District 25 (116th Congress), California",718950.0,,2514.0,,06,25
0617,"Congressional District 17 (116th Congress), California",771459.0,,2880.0,,06,17
0619,"Congressional District 19 (116th Congress), California",759866.0,,3313.0,,06,19
0622,"Congressional District 22 (116th Congress), California",755464.0,,3991.0,,06,22
0627,"Congressional District 27 (116th Congress), California",717944.0,,2397.0,,06,27
0630,"Congressional District 30 (116th Congress), California",764572.0,,4656.0,,06,30
0632,"Congressional District 32 (116th Congress), California",719643.0,,3016.0,,06,32
0635,"Congressional District 35 (116th Congress), California",741990.0,,2703.0,,06,35
0637,"Congressional District 37 (116th Congress), California",724002.0,,5726.0,,06,37
0640,"Congressional District 40 (116th Congress), California",711793.0,,3776.0,,06,40
0643,"Congressional District 43 (116th Congress), California",727621.0,,4434.0,,06,43
0645,"Congressional District 45 (116th Congress), California",772341.0,,1947.0,,06,45
0648,"Congressional District 48 (116th Congress), California",726516.0,,2011.0,,06,48
0650,"Congressional District 50 (116th Congress), California",747793.0,,3466.0,,06,50
0653,"Congressional District 53 (116th Congress), California",769137.0,,5145.0,,06,53
