index,year,type,population,employer,department,position,overtime,wages,benefits,employercounty,basewages,adjusted_overtime,adjusted_wages,adjusted_benefits,adjusted_basewages,employerfull
916837,2019,CITY,16777.0,EL SEGUNDO,FIRE ADMINISTRATION,FIRE CHIEF,0.0,249874.0,47912.0,LOS ANGELES,249874.0,0.0,249874.0,47912.0,249874.0,EL_SEGUNDO_CITY
916838,2019,CITY,16777.0,EL SEGUNDO,FIRE ADMINISTRATION,FIRE MARSHAL,45639.0,182418.0,25775.0,LOS ANGELES,136779.0,45639.0,182418.0,25775.0,136779.0,EL_SEGUNDO_CITY
916844,2019,CITY,16777.0,EL SEGUNDO,FIRE PARAMEDIC,FIRE PARAMEDIC,57708.0,193067.0,43783.0,LOS ANGELES,135359.0,57708.0,193067.0,43783.0,135359.0,EL_SEGUNDO_CITY
916845,2019,CITY,16777.0,EL SEGUNDO,FIRE PARAMEDIC,FIRE PARAMEDIC,54353.0,214751.0,45732.0,LOS ANGELES,160398.0,54353.0,214751.0,45732.0,160398.0,EL_SEGUNDO_CITY
916846,2019,CITY,16777.0,EL SEGUNDO,FIRE PARAMEDIC,FIRE PARAMEDIC,25630.0,170382.0,42236.0,LOS ANGELES,144752.0,25630.0,170382.0,42236.0,144752.0,EL_SEGUNDO_CITY
916847,2019,CITY,16777.0,EL SEGUNDO,FIRE PARAMEDIC,FIRE PARAMEDIC,0.0,16477.0,545.0,LOS ANGELES,16477.0,0.0,16477.0,545.0,16477.0,EL_SEGUNDO_CITY
916848,2019,CITY,16777.0,EL SEGUNDO,FIRE PARAMEDIC,FIRE PARAMEDIC,61444.0,209808.0,43931.0,LOS ANGELES,148364.0,61444.0,209808.0,43931.0,148364.0,EL_SEGUNDO_CITY
916849,2019,CITY,16777.0,EL SEGUNDO,FIRE PARAMEDIC,FIRE PARAMEDIC,58468.0,201329.0,24764.0,LOS ANGELES,142861.0,58468.0,201329.0,24764.0,142861.0,EL_SEGUNDO_CITY
916850,2019,CITY,16777.0,EL SEGUNDO,FIRE PARAMEDIC,FIRE PARAMEDIC,64046.0,200120.0,41849.0,LOS ANGELES,136074.0,64046.0,200120.0,41849.0,136074.0,EL_SEGUNDO_CITY
916851,2019,CITY,16777.0,EL SEGUNDO,FIRE PARAMEDIC,FIRE PARAMEDIC,73203.0,200233.0,40306.0,LOS ANGELES,127030.0,73203.0,200233.0,40306.0,127030.0,EL_SEGUNDO_CITY
916852,2019,CITY,16777.0,EL SEGUNDO,FIRE PARAMEDIC,FIRE PARAMEDIC,58358.0,191242.0,23634.0,LOS ANGELES,132884.0,58358.0,191242.0,23634.0,132884.0,EL_SEGUNDO_CITY
916853,2019,CITY,16777.0,EL SEGUNDO,FIRE PARAMEDIC,FIRE PARAMEDIC,34739.0,157192.0,38010.0,LOS ANGELES,122453.0,34739.0,157192.0,38010.0,122453.0,EL_SEGUNDO_CITY
916854,2019,CITY,16777.0,EL SEGUNDO,FIRE PARAMEDIC,FIRE PARAMEDIC,36441.0,138642.0,26728.0,LOS ANGELES,102201.0,36441.0,138642.0,26728.0,102201.0,EL_SEGUNDO_CITY
916855,2019,CITY,16777.0,EL SEGUNDO,FIRE PARAMEDIC,FIRE PARAMEDIC,15766.0,121434.0,29521.0,LOS ANGELES,105668.0,15766.0,121434.0,29521.0,105668.0,EL_SEGUNDO_CITY
916856,2019,CITY,16777.0,EL SEGUNDO,FIRE SUPPRESSION,BATTALION CHIEF,60639.0,284395.0,37680.0,LOS ANGELES,223756.0,60639.0,284395.0,37680.0,223756.0,EL_SEGUNDO_CITY
916857,2019,CITY,16777.0,EL SEGUNDO,FIRE SUPPRESSION,BATTALION CHIEF,81911.0,282884.0,42569.0,LOS ANGELES,200973.0,81911.0,282884.0,42569.0,200973.0,EL_SEGUNDO_CITY
916858,2019,CITY,16777.0,EL SEGUNDO,FIRE SUPPRESSION,BATTALION CHIEF,52155.0,227392.0,42522.0,LOS ANGELES,175237.0,52155.0,227392.0,42522.0,175237.0,EL_SEGUNDO_CITY
916859,2019,CITY,16777.0,EL SEGUNDO,FIRE SUPPRESSION,FIRE CAPTAIN,109415.0,326644.0,52133.0,LOS ANGELES,217229.0,109415.0,326644.0,52133.0,217229.0,EL_SEGUNDO_CITY
916860,2019,CITY,16777.0,EL SEGUNDO,FIRE SUPPRESSION,FIRE CAPTAIN,93751.0,274285.0,49296.0,LOS ANGELES,180534.0,93751.0,274285.0,49296.0,180534.0,EL_SEGUNDO_CITY
916861,2019,CITY,16777.0,EL SEGUNDO,FIRE SUPPRESSION,FIRE CAPTAIN,45999.0,224959.0,49731.0,LOS ANGELES,178960.0,45999.0,224959.0,49731.0,178960.0,EL_SEGUNDO_CITY
916862,2019,CITY,16777.0,EL SEGUNDO,FIRE SUPPRESSION,FIRE CAPTAIN,130232.0,325642.0,51810.0,LOS ANGELES,195410.0,130232.0,325642.0,51810.0,195410.0,EL_SEGUNDO_CITY
916863,2019,CITY,16777.0,EL SEGUNDO,FIRE SUPPRESSION,FIRE CAPTAIN,48968.0,222609.0,47327.0,LOS ANGELES,173641.0,48968.0,222609.0,47327.0,173641.0,EL_SEGUNDO_CITY
916864,2019,CITY,16777.0,EL SEGUNDO,FIRE SUPPRESSION,FIRE CAPTAIN,101873.0,265521.0,45337.0,LOS ANGELES,163648.0,101873.0,265521.0,45337.0,163648.0,EL_SEGUNDO_CITY
916865,2019,CITY,16777.0,EL SEGUNDO,FIRE SUPPRESSION,FIRE CAPTAIN,62076.0,224147.0,46853.0,LOS ANGELES,162071.0,62076.0,224147.0,46853.0,162071.0,EL_SEGUNDO_CITY
916866,2019,CITY,16777.0,EL SEGUNDO,FIRE SUPPRESSION,FIRE CAPTAIN,90724.0,247734.0,45005.0,LOS ANGELES,157010.0,90724.0,247734.0,45005.0,157010.0,EL_SEGUNDO_CITY
916867,2019,CITY,16777.0,EL SEGUNDO,FIRE SUPPRESSION,FIRE CAPTAIN,26704.0,155279.0,39405.0,LOS ANGELES,128575.0,26704.0,155279.0,39405.0,128575.0,EL_SEGUNDO_CITY
916868,2019,CITY,16777.0,EL SEGUNDO,FIRE SUPPRESSION,FIRE ENGINEER,0.0,27765.0,879.0,LOS ANGELES,27765.0,0.0,27765.0,879.0,27765.0,EL_SEGUNDO_CITY
916869,2019,CITY,16777.0,EL SEGUNDO,FIRE SUPPRESSION,FIRE ENGINEER,31496.0,202166.0,41546.0,LOS ANGELES,170670.0,31496.0,202166.0,41546.0,170670.0,EL_SEGUNDO_CITY
916870,2019,CITY,16777.0,EL SEGUNDO,FIRE SUPPRESSION,FIRE ENGINEER,1430.0,81226.0,13725.0,LOS ANGELES,79796.0,1430.0,81226.0,13725.0,79796.0,EL_SEGUNDO_CITY
916871,2019,CITY,16777.0,EL SEGUNDO,FIRE SUPPRESSION,FIRE ENGINEER,95184.0,244235.0,44670.0,LOS ANGELES,149051.0,95184.0,244235.0,44670.0,149051.0,EL_SEGUNDO_CITY
916872,2019,CITY,16777.0,EL SEGUNDO,FIRE SUPPRESSION,FIRE ENGINEER,87927.0,236641.0,44014.0,LOS ANGELES,148714.0,87927.0,236641.0,44014.0,148714.0,EL_SEGUNDO_CITY
916873,2019,CITY,16777.0,EL SEGUNDO,FIRE SUPPRESSION,FIRE ENGINEER,63525.0,195818.0,41841.0,LOS ANGELES,132293.0,63525.0,195818.0,41841.0,132293.0,EL_SEGUNDO_CITY
