Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1553111085,2019-03-20T19:44:45Z,DAL89,"33.945206,-118.411232",0,0,98
1553111260,2019-03-20T19:47:40Z,DAL89,"33.945202,-118.411232",0,0,180
1553111308,2019-03-20T19:48:28Z,DAL89,"33.945202,-118.411232",0,0,180
1553111358,2019-03-20T19:49:18Z,DAL89,"33.945202,-118.411232",0,0,180
1553111444,2019-03-20T19:50:44Z,DAL89,"33.945206,-118.411232",0,0,180
1553111593,2019-03-20T19:53:13Z,DAL89,"33.945202,-118.411232",0,0,180
1553111708,2019-03-20T19:55:08Z,DAL89,"33.945206,-118.411232",0,0,180
1553111812,2019-03-20T19:56:52Z,DAL89,"33.945202,-118.411232",0,0,180
1553112072,2019-03-20T20:01:12Z,DAL89,"33.945202,-118.411232",0,0,180
1553112127,2019-03-20T20:02:07Z,DAL89,"33.945206,-118.411232",0,0,180
1553112383,2019-03-20T20:06:23Z,DAL89,"33.945206,-118.411232",0,0,180
1553112964,2019-03-20T20:16:04Z,DAL89,"33.945206,-118.411232",0,0,180
1553113088,2019-03-20T20:18:08Z,DAL89,"33.945206,-118.411232",0,0,180
1553113132,2019-03-20T20:18:52Z,DAL89,"33.945202,-118.411232",0,0,180
1553113167,2019-03-20T20:19:27Z,DAL89,"33.945202,-118.411232",0,0,180
1553113259,2019-03-20T20:20:59Z,DAL89,"33.945202,-118.411232",0,0,180
1553113308,2019-03-20T20:21:48Z,DAL89,"33.945206,-118.411232",0,0,180
1553113592,2019-03-20T20:26:32Z,DAL89,"33.945206,-118.411232",0,0,180
1553113634,2019-03-20T20:27:14Z,DAL89,"33.945206,-118.411232",0,0,180
1553113779,2019-03-20T20:29:39Z,DAL89,"33.94519,-118.411514",0,10,109
1553113795,2019-03-20T20:29:55Z,DAL89,"33.945282,-118.411751",0,10,106
1553113813,2019-03-20T20:30:13Z,DAL89,"33.945442,-118.411987",0,11,78
1553113827,2019-03-20T20:30:27Z,DAL89,"33.945507,-118.412216",0,11,47
1553113843,2019-03-20T20:30:43Z,DAL89,"33.945465,-118.412453",0,2,19
1553113919,2019-03-20T20:31:59Z,DAL89,"33.945694,-118.41259",0,9,351
1553113950,2019-03-20T20:32:30Z,DAL89,"33.945992,-118.41272",0,9,348
1553113972,2019-03-20T20:32:52Z,DAL89,"33.94622,-118.412758",0,2,348
1553114329,2019-03-20T20:38:49Z,DAL89,"33.946426,-118.412819",0,0,309
1553114345,2019-03-20T20:39:05Z,DAL89,"33.946648,-118.412849",0,14,351
1553114357,2019-03-20T20:39:17Z,DAL89,"33.946976,-118.412903",0,18,354
1553114369,2019-03-20T20:39:29Z,DAL89,"33.947376,-118.412956",0,22,354
1553114378,2019-03-20T20:39:38Z,DAL89,"33.947788,-118.412994",0,27,354
1553114384,2019-03-20T20:39:44Z,DAL89,"33.948105,-118.412849",0,29,16
1553114390,2019-03-20T20:39:50Z,DAL89,"33.948231,-118.412521",0,27,53
1553114401,2019-03-20T20:40:01Z,DAL89,"33.948051,-118.411903",0,26,78
1553114408,2019-03-20T20:40:08Z,DAL89,"33.948105,-118.411362",0,27,81
1553114414,2019-03-20T20:40:14Z,DAL89,"33.948139,-118.410988",0,28,81
1553114420,2019-03-20T20:40:20Z,DAL89,"33.948185,-118.410561",0,30,84
1553114429,2019-03-20T20:40:29Z,DAL89,"33.948246,-118.409912",0,32,84
1553114435,2019-03-20T20:40:35Z,DAL89,"33.948288,-118.40947",0,34,84
1553114441,2019-03-20T20:40:41Z,DAL89,"33.948349,-118.408974",0,15,84
1553114448,2019-03-20T20:40:48Z,DAL89,"33.948395,-118.408417",0,16,84
1553114459,2019-03-20T20:40:59Z,DAL89,"33.948509,-118.407364",0,15,81
1553114465,2019-03-20T20:41:05Z,DAL89,"33.948566,-118.406876",0,32,81
1553114472,2019-03-20T20:41:12Z,DAL89,"33.948612,-118.406441",0,28,81
1553114478,2019-03-20T20:41:18Z,DAL89,"33.948647,-118.40609",0,24,84
1553114484,2019-03-20T20:41:24Z,DAL89,"33.948669,-118.405807",0,20,84
1553114493,2019-03-20T20:41:33Z,DAL89,"33.948715,-118.405403",0,23,84
1553114504,2019-03-20T20:41:44Z,DAL89,"33.94875,-118.40493",0,21,84
1553114510,2019-03-20T20:41:50Z,DAL89,"33.948784,-118.404678",0,18,84
1553114520,2019-03-20T20:42:00Z,DAL89,"33.948826,-118.404305",0,14,81
1553114531,2019-03-20T20:42:11Z,DAL89,"33.94886,-118.404068",0,11,81
1553114546,2019-03-20T20:42:26Z,DAL89,"33.948887,-118.403778",0,15,81
1553114556,2019-03-20T20:42:36Z,DAL89,"33.948917,-118.403435",0,18,81
1553114568,2019-03-20T20:42:48Z,DAL89,"33.948952,-118.403046",0,13,84
1553114680,2019-03-20T20:44:40Z,DAL89,"33.948978,-118.402855",0,0,80
1553114763,2019-03-20T20:46:03Z,DAL89,"33.948975,-118.402847",0,0,118
1553114812,2019-03-20T20:46:52Z,DAL89,"33.949001,-118.402542",0,14,84
1553114823,2019-03-20T20:47:03Z,DAL89,"33.949047,-118.402145",0,19,84
1553114830,2019-03-20T20:47:10Z,DAL89,"33.94907,-118.401886",0,22,84
1553114837,2019-03-20T20:47:17Z,DAL89,"33.949104,-118.401581",0,24,84
1553114847,2019-03-20T20:47:27Z,DAL89,"33.949173,-118.400848",0,27,84
1553114853,2019-03-20T20:47:33Z,DAL89,"33.949207,-118.400497",0,24,84
1553114859,2019-03-20T20:47:39Z,DAL89,"33.94923,-118.40023",0,20,84
1553114867,2019-03-20T20:47:47Z,DAL89,"33.949268,-118.399986",0,17,81
1553114876,2019-03-20T20:47:56Z,DAL89,"33.949333,-118.399529",0,23,78
1553114884,2019-03-20T20:48:04Z,DAL89,"33.94949,-118.399261",0,25,61
1553114893,2019-03-20T20:48:13Z,DAL89,"33.949848,-118.399071",0,22,28
1553114903,2019-03-20T20:48:23Z,DAL89,"33.950191,-118.399155",0,21,357
1553114910,2019-03-20T20:48:30Z,DAL89,"33.950455,-118.399376",0,23,331
1553114916,2019-03-20T20:48:36Z,DAL89,"33.950489,-118.399643",0,19,300
1553114932,2019-03-20T20:48:52Z,DAL89,"33.950371,-118.399948",0,2,267
1553115028,2019-03-20T20:50:28Z,DAL89,"33.950348,-118.400185",0,23,264
1553115034,2019-03-20T20:50:34Z,DAL89,"33.950256,-118.401077",0,39,261
1553115040,2019-03-20T20:50:40Z,DAL89,"33.950077,-118.402794",0,67,264
1553115047,2019-03-20T20:50:47Z,DAL89,"33.949814,-118.40554",50,93,263
1553115056,2019-03-20T20:50:56Z,DAL89,"33.949219,-118.411034",50,129,262
1553115067,2019-03-20T20:51:07Z,DAL89,"33.948174,-118.421745",50,169,262
1553115081,2019-03-20T20:51:21Z,DAL89,"33.946869,-118.432732",575,170,261
1553115093,2019-03-20T20:51:33Z,DAL89,"33.945419,-118.444275",1175,170,261
1553115103,2019-03-20T20:51:43Z,DAL89,"33.944031,-118.455444",1625,177,261
1553115109,2019-03-20T20:51:49Z,DAL89,"33.943314,-118.461655",1775,182,262
1553115117,2019-03-20T20:51:57Z,DAL89,"33.942726,-118.467575",1850,189,264
1553115126,2019-03-20T20:52:06Z,DAL89,"33.942215,-118.480766",1950,209,268
1553115133,2019-03-20T20:52:13Z,DAL89,"33.942123,-118.488167",2000,218,268
1553115140,2019-03-20T20:52:20Z,DAL89,"33.942032,-118.495903",2100,226,269
1553115151,2019-03-20T20:52:31Z,DAL89,"33.941666,-118.511032",2275,239,266
1553115159,2019-03-20T20:52:39Z,DAL89,"33.941071,-118.519218",2375,248,264
1553115169,2019-03-20T20:52:49Z,DAL89,"33.939651,-118.536484",2750,255,264
1553115175,2019-03-20T20:52:55Z,DAL89,"33.938965,-118.544838",3025,254,264
