Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1563741157,2019-07-21T20:32:37Z,DAL89,"33.945415,-118.410141",0,10,261
1563741171,2019-07-21T20:32:51Z,DAL89,"33.945396,-118.409904",0,10,247
1563741184,2019-07-21T20:33:04Z,DAL89,"33.945396,-118.409691",0,10,227
1563741201,2019-07-21T20:33:21Z,DAL89,"33.945507,-118.409485",0,10,213
1563741221,2019-07-21T20:33:41Z,DAL89,"33.945717,-118.409271",0,10,208
1563741242,2019-07-21T20:34:02Z,DAL89,"33.9459,-118.40905",0,9,182
1563741329,2019-07-21T20:35:29Z,DAL89,"33.946114,-118.409012",0,9,171
1563741347,2019-07-21T20:35:47Z,DAL89,"33.946358,-118.409058",0,11,174
1563741362,2019-07-21T20:36:02Z,DAL89,"33.94659,-118.409103",0,11,174
1563741380,2019-07-21T20:36:20Z,DAL89,"33.946815,-118.409157",0,12,182
1563741393,2019-07-21T20:36:33Z,DAL89,"33.947056,-118.409225",0,13,205
1563741407,2019-07-21T20:36:47Z,DAL89,"33.947311,-118.409225",0,12,239
1563741425,2019-07-21T20:37:05Z,DAL89,"33.947479,-118.408989",0,12,258
1563741438,2019-07-21T20:37:18Z,DAL89,"33.947521,-118.40873",0,12,258
1563741450,2019-07-21T20:37:30Z,DAL89,"33.947571,-118.40847",0,12,261
1563741466,2019-07-21T20:37:46Z,DAL89,"33.947617,-118.408195",0,11,264
1563741477,2019-07-21T20:37:57Z,DAL89,"33.947628,-118.407951",0,12,261
1563741492,2019-07-21T20:38:12Z,DAL89,"33.947662,-118.40773",0,2,261
1563741739,2019-07-21T20:42:19Z,DAL89,"33.94772,-118.407967",0,9,264
1563741757,2019-07-21T20:42:37Z,DAL89,"33.947708,-118.408211",0,12,264
1563741769,2019-07-21T20:42:49Z,DAL89,"33.947685,-118.408485",0,14,264
1563741781,2019-07-21T20:43:01Z,DAL89,"33.947651,-118.408836",0,16,261
1563741788,2019-07-21T20:43:08Z,DAL89,"33.947628,-118.40905",0,18,261
1563741799,2019-07-21T20:43:19Z,DAL89,"33.947582,-118.409538",0,20,264
1563741806,2019-07-21T20:43:26Z,DAL89,"33.947559,-118.40979",0,21,264
1563741812,2019-07-21T20:43:32Z,DAL89,"33.947533,-118.410072",0,21,261
1563741818,2019-07-21T20:43:38Z,DAL89,"33.947514,-118.410362",0,22,264
1563741824,2019-07-21T20:43:44Z,DAL89,"33.947491,-118.41066",0,23,264
1563741831,2019-07-21T20:43:51Z,DAL89,"33.947453,-118.410973",0,24,261
1563741841,2019-07-21T20:44:01Z,DAL89,"33.947388,-118.411499",0,26,261
1563741847,2019-07-21T20:44:07Z,DAL89,"33.947319,-118.41188",0,28,255
1563741855,2019-07-21T20:44:15Z,DAL89,"33.947147,-118.412445",0,29,250
1563741863,2019-07-21T20:44:23Z,DAL89,"33.947044,-118.413048",0,27,261
1563741875,2019-07-21T20:44:35Z,DAL89,"33.946987,-118.413704",0,23,261
1563741881,2019-07-21T20:44:41Z,DAL89,"33.946789,-118.413933",0,28,233
1563741887,2019-07-21T20:44:47Z,DAL89,"33.946472,-118.413879",0,27,188
1563741903,2019-07-21T20:45:03Z,DAL89,"33.94566,-118.413689",0,29,171
1563741909,2019-07-21T20:45:09Z,DAL89,"33.945305,-118.413643",0,30,174
1563741916,2019-07-21T20:45:16Z,DAL89,"33.94479,-118.413574",0,31,174
1563741923,2019-07-21T20:45:23Z,DAL89,"33.944424,-118.413521",0,33,174
1563741929,2019-07-21T20:45:29Z,DAL89,"33.943996,-118.413452",0,34,174
1563741935,2019-07-21T20:45:35Z,DAL89,"33.943577,-118.413391",0,15,174
1563741941,2019-07-21T20:45:41Z,DAL89,"33.943153,-118.413322",0,32,171
1563741947,2019-07-21T20:45:47Z,DAL89,"33.942783,-118.413277",0,33,174
1563741953,2019-07-21T20:45:53Z,DAL89,"33.942375,-118.413208",0,34,174
1563741959,2019-07-21T20:45:59Z,DAL89,"33.941998,-118.413155",0,15,171
1563741973,2019-07-21T20:46:13Z,DAL89,"33.940979,-118.413002",0,16,174
1563741987,2019-07-21T20:46:27Z,DAL89,"33.939957,-118.412849",0,15,174
1563741998,2019-07-21T20:46:38Z,DAL89,"33.939331,-118.412758",0,21,174
1563742005,2019-07-21T20:46:45Z,DAL89,"33.939125,-118.412735",0,17,174
1563742017,2019-07-21T20:46:57Z,DAL89,"33.93885,-118.412674",0,13,174
1563742034,2019-07-21T20:47:14Z,DAL89,"33.938477,-118.412636",0,16,171
1563742047,2019-07-21T20:47:27Z,DAL89,"33.938118,-118.412575",0,19,174
1563742058,2019-07-21T20:47:38Z,DAL89,"33.937817,-118.412376",0,19,151
1563742066,2019-07-21T20:47:46Z,DAL89,"33.937511,-118.412033",0,17,120
1563742074,2019-07-21T20:47:54Z,DAL89,"33.93758,-118.41172",0,19,92
1563742082,2019-07-21T20:48:02Z,DAL89,"33.93763,-118.411362",0,20,84
1563742088,2019-07-21T20:48:08Z,DAL89,"33.937664,-118.411072",0,22,84
1563742095,2019-07-21T20:48:15Z,DAL89,"33.937695,-118.410774",0,23,84
1563742103,2019-07-21T20:48:23Z,DAL89,"33.937729,-118.410408",0,24,81
1563742110,2019-07-21T20:48:30Z,DAL89,"33.937767,-118.409973",0,26,81
1563742122,2019-07-21T20:48:42Z,DAL89,"33.937843,-118.409256",0,27,81
1563742129,2019-07-21T20:48:49Z,DAL89,"33.937874,-118.408875",0,28,81
1563742136,2019-07-21T20:48:56Z,DAL89,"33.93792,-118.40844",0,29,81
1563742146,2019-07-21T20:49:06Z,DAL89,"33.938011,-118.4076",0,32,81
1563742152,2019-07-21T20:49:12Z,DAL89,"33.938061,-118.407127",0,15,81
1563742158,2019-07-21T20:49:18Z,DAL89,"33.938107,-118.406593",0,15,81
1563742166,2019-07-21T20:49:26Z,DAL89,"33.938164,-118.406067",0,16,81
1563742175,2019-07-21T20:49:35Z,DAL89,"33.938293,-118.404861",0,19,81
1563742182,2019-07-21T20:49:42Z,DAL89,"33.938362,-118.404205",0,21,81
1563742193,2019-07-21T20:49:53Z,DAL89,"33.938503,-118.402794",0,23,84
1563742200,2019-07-21T20:50:00Z,DAL89,"33.938576,-118.402023",0,25,81
1563742207,2019-07-21T20:50:07Z,DAL89,"33.938686,-118.400963",0,26,81
1563742213,2019-07-21T20:50:13Z,DAL89,"33.938782,-118.400085",0,28,84
1563742224,2019-07-21T20:50:24Z,DAL89,"33.938969,-118.398224",0,26,84
1563742234,2019-07-21T20:50:34Z,DAL89,"33.939079,-118.39711",0,15,84
1563742240,2019-07-21T20:50:40Z,DAL89,"33.939117,-118.396751",0,26,81
1563742256,2019-07-21T20:50:56Z,DAL89,"33.939224,-118.395699",0,32,81
1563742262,2019-07-21T20:51:02Z,DAL89,"33.939281,-118.395195",0,34,81
1563742274,2019-07-21T20:51:14Z,DAL89,"33.939411,-118.393921",0,18,84
1563742280,2019-07-21T20:51:20Z,DAL89,"33.939468,-118.393349",0,19,84
1563742287,2019-07-21T20:51:27Z,DAL89,"33.939548,-118.392517",0,21,81
1563742293,2019-07-21T20:51:33Z,DAL89,"33.939617,-118.391792",0,21,84
1563742302,2019-07-21T20:51:42Z,DAL89,"33.939732,-118.390717",0,23,81
1563742318,2019-07-21T20:51:58Z,DAL89,"33.939922,-118.388855",0,24,84
