Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1552508841,2019-03-13T20:27:21Z,DAL89,"33.94886,-118.404068",0,19,81
1552508848,2019-03-13T20:27:28Z,DAL89,"33.94894,-118.403275",0,18,81
1552508854,2019-03-13T20:27:34Z,DAL89,"33.94899,-118.402786",0,16,81
1552508864,2019-03-13T20:27:44Z,DAL89,"33.949081,-118.401863",0,31,81
1552508871,2019-03-13T20:27:51Z,DAL89,"33.949139,-118.401382",0,29,81
1552508883,2019-03-13T20:28:03Z,DAL89,"33.949196,-118.400688",0,19,84
1552508894,2019-03-13T20:28:14Z,DAL89,"33.949219,-118.400299",0,18,84
1552508900,2019-03-13T20:28:20Z,DAL89,"33.949253,-118.40004",0,23,84
1552508906,2019-03-13T20:28:26Z,DAL89,"33.949287,-118.399689",0,27,84
1552508914,2019-03-13T20:28:34Z,DAL89,"33.949402,-118.399361",0,27,70
1552508922,2019-03-13T20:28:42Z,DAL89,"33.949734,-118.399117",0,22,36
1552508930,2019-03-13T20:28:50Z,DAL89,"33.950081,-118.399132",0,21,5
1552508937,2019-03-13T20:28:57Z,DAL89,"33.950325,-118.399231",0,22,348
1552508951,2019-03-13T20:29:11Z,DAL89,"33.950466,-118.399757",0,15,289
1552508963,2019-03-13T20:29:23Z,DAL89,"33.950359,-118.400032",0,16,264
1552508971,2019-03-13T20:29:31Z,DAL89,"33.950325,-118.400375",0,15,261
1552508977,2019-03-13T20:29:37Z,DAL89,"33.95018,-118.401688",0,51,264
1552508986,2019-03-13T20:29:46Z,DAL89,"33.949894,-118.404579",0,88,261
1552508996,2019-03-13T20:29:56Z,DAL89,"33.94915,-118.411957",50,134,263
1552509008,2019-03-13T20:30:08Z,DAL89,"33.948032,-118.422661",0,181,262
1552509016,2019-03-13T20:30:16Z,DAL89,"33.947296,-118.42942",250,186,262
1552509022,2019-03-13T20:30:22Z,DAL89,"33.946564,-118.435921",575,185,262
1552509035,2019-03-13T20:30:35Z,DAL89,"33.94519,-118.447861",1200,184,262
1552509045,2019-03-13T20:30:45Z,DAL89,"33.943752,-118.460197",1700,185,261
1552509051,2019-03-13T20:30:51Z,DAL89,"33.9431,-118.466377",1825,192,264
1552509057,2019-03-13T20:30:57Z,DAL89,"33.942772,-118.472961",1950,201,266
1552509063,2019-03-13T20:31:03Z,DAL89,"33.942444,-118.480095",2025,210,266
1552509069,2019-03-13T20:31:09Z,DAL89,"33.942169,-118.487206",2100,219,267
1552509075,2019-03-13T20:31:15Z,DAL89,"33.941887,-118.494583",2150,229,267
1552509081,2019-03-13T20:31:21Z,DAL89,"33.941608,-118.502312",2225,238,267
1552509089,2019-03-13T20:31:29Z,DAL89,"33.941254,-118.510643",2275,247,266
1552509098,2019-03-13T20:31:38Z,DAL89,"33.940155,-118.527344",2525,259,265
1552509105,2019-03-13T20:31:45Z,DAL89,"33.93956,-118.536537",2750,261,265
1552509117,2019-03-13T20:31:57Z,DAL89,"33.938442,-118.553757",3250,262,265
1552509123,2019-03-13T20:32:03Z,DAL89,"33.937885,-118.562279",3475,263,265
1552509130,2019-03-13T20:32:10Z,DAL89,"33.937233,-118.571838",3725,265,265
1552509136,2019-03-13T20:32:16Z,DAL89,"33.936626,-118.580589",3950,266,265
1552509146,2019-03-13T20:32:26Z,DAL89,"33.93544,-118.59713",4400,270,264
1552509153,2019-03-13T20:32:33Z,DAL89,"33.934662,-118.607445",4675,271,264
1552509161,2019-03-13T20:32:41Z,DAL89,"33.933975,-118.61647",4900,272,264
1552509177,2019-03-13T20:32:57Z,DAL89,"33.93187,-118.643433",5925,262,264
1552509189,2019-03-13T20:33:09Z,DAL89,"33.930496,-118.659966",6400,264,264
1552509201,2019-03-13T20:33:21Z,DAL89,"33.929031,-118.678406",6775,272,264
1552509215,2019-03-13T20:33:35Z,DAL89,"33.927567,-118.696571",7225,274,264
1552509225,2019-03-13T20:33:45Z,DAL89,"33.926147,-118.714783",7675,275,264
1552509238,2019-03-13T20:33:58Z,DAL89,"33.92485,-118.731934",8000,282,265
1552509249,2019-03-13T20:34:09Z,DAL89,"33.923359,-118.752594",8450,285,264
1552509262,2019-03-13T20:34:22Z,DAL89,"33.921982,-118.770897",9100,277,264
1552509273,2019-03-13T20:34:33Z,DAL89,"33.920475,-118.789505",9725,274,264
1552509285,2019-03-13T20:34:45Z,DAL89,"33.919052,-118.807999",10175,276,264
1552509298,2019-03-13T20:34:58Z,DAL89,"33.917774,-118.825264",10350,287,264
1552509327,2019-03-13T20:35:27Z,DAL89,"33.91832,-118.874985",10700,315,272
1552509341,2019-03-13T20:35:41Z,DAL89,"33.919327,-118.902672",10875,330,272
1552509358,2019-03-13T20:35:58Z,DAL89,"33.920288,-118.931938",11075,345,272
1552509373,2019-03-13T20:36:13Z,DAL89,"33.921127,-118.961105",11450,351,272
1552509389,2019-03-13T20:36:29Z,DAL89,"33.921963,-118.991379",11800,352,272
1552509403,2019-03-13T20:36:43Z,DAL89,"33.92601,-119.020554",12050,346,288
1552509413,2019-03-13T20:36:53Z,DAL89,"33.933323,-119.038467",12375,343,302
1552509419,2019-03-13T20:36:59Z,DAL89,"33.937637,-119.046173",12600,342,304
1552509460,2019-03-13T20:37:40Z,DAL89,"33.972797,-119.112511",14100,344,300
1552509495,2019-03-13T20:38:15Z,DAL89,"34.002499,-119.171562",15175,350,301
1552509515,2019-03-13T20:38:35Z,DAL89,"34.022331,-119.202744",15725,354,313
1552509526,2019-03-13T20:38:46Z,DAL89,"34.033875,-119.216599",15975,356,315
1552509556,2019-03-13T20:39:16Z,DAL89,"34.069534,-119.260422",16775,362,313
1552509586,2019-03-13T20:39:46Z,DAL89,"34.104996,-119.305244",17625,365,313
1552509622,2019-03-13T20:40:22Z,DAL89,"34.146606,-119.357826",18725,365,313
1552509684,2019-03-13T20:41:24Z,DAL89,"34.219109,-119.449142",20300,372,313
1552509745,2019-03-13T20:42:25Z,DAL89,"34.292633,-119.542015",21700,378,313
1552509806,2019-03-13T20:43:26Z,DAL89,"34.366699,-119.635841",23125,383,313
1552509867,2019-03-13T20:44:27Z,DAL89,"34.441532,-119.730896",24425,387,313
1552509927,2019-03-13T20:45:27Z,DAL89,"34.516483,-119.826447",25700,389,313
1552509989,2019-03-13T20:46:29Z,DAL89,"34.593246,-119.92453",26725,396,313
1552510054,2019-03-13T20:47:34Z,DAL89,"34.676807,-120.031647",27750,401,313
1552510115,2019-03-13T20:48:35Z,DAL89,"34.755478,-120.132751",28525,408,313
1552510172,2019-03-13T20:49:32Z,DAL89,"34.829407,-120.228081",29300,413,313
1552510240,2019-03-13T20:50:40Z,DAL89,"34.917068,-120.341545",30100,416,313
1552510301,2019-03-13T20:51:41Z,DAL89,"34.999329,-120.448273",30750,420,313
1552510365,2019-03-13T20:52:45Z,DAL89,"35.084282,-120.558868",31350,423,312
1552510428,2019-03-13T20:53:48Z,DAL89,"35.16774,-120.667831",32000,424,312
1552510493,2019-03-13T20:54:53Z,DAL89,"35.252705,-120.779137",33100,413,312
1552510554,2019-03-13T20:55:54Z,DAL89,"35.333679,-120.885605",33925,409,312
1552510618,2019-03-13T20:56:58Z,DAL89,"35.415825,-120.994011",34425,412,312
1552510682,2019-03-13T20:58:02Z,DAL89,"35.49678,-121.10276",34775,416,309
1552510742,2019-03-13T20:59:02Z,DAL89,"35.571125,-121.209824",35400,414,310
1552510804,2019-03-13T21:00:04Z,DAL89,"35.650772,-121.324425",36000,411,310
1552510867,2019-03-13T21:01:07Z,DAL89,"35.728378,-121.436676",36000,410,310
1552510930,2019-03-13T21:02:10Z,DAL89,"35.806259,-121.550049",36000,412,310
1552510993,2019-03-13T21:03:13Z,DAL89,"35.883682,-121.662888",36000,418,310
1552511057,2019-03-13T21:04:17Z,DAL89,"35.965073,-121.77784",36000,422,315
1552511121,2019-03-13T21:05:21Z,DAL89,"36.066532,-121.873207",36000,431,329
1552511181,2019-03-13T21:06:21Z,DAL89,"36.173859,-121.941208",36000,432,332
1552511245,2019-03-13T21:07:25Z,DAL89,"36.286167,-122.015388",36000,430,327
1552511305,2019-03-13T21:08:25Z,DAL89,"36.387093,-122.095856",36000,433,327
1552511369,2019-03-13T21:09:29Z,DAL89,"36.496071,-122.179306",36000,437,328
1552511430,2019-03-13T21:10:30Z,DAL89,"36.600811,-122.259834",36000,440,328
1552511493,2019-03-13T21:11:33Z,DAL89,"36.71022,-122.344208",36000,440,328
1552511557,2019-03-13T21:12:37Z,DAL89,"36.819141,-122.428604",36000,437,327
1552511617,2019-03-13T21:13:37Z,DAL89,"36.923557,-122.509621",36000,435,327
1552511681,2019-03-13T21:14:41Z,DAL89,"37.029884,-122.592491",36000,433,327
1552511743,2019-03-13T21:15:43Z,DAL89,"37.137093,-122.676384",36000,433,327
1552511806,2019-03-13T21:16:46Z,DAL89,"37.244724,-122.760811",36000,434,327
1552511869,2019-03-13T21:17:49Z,DAL89,"37.352261,-122.845482",36000,436,327
1552511932,2019-03-13T21:18:52Z,DAL89,"37.460037,-122.930527",36000,435,327
1552511995,2019-03-13T21:19:55Z,DAL89,"37.567383,-123.01561",36000,434,327
1552512058,2019-03-13T21:20:58Z,DAL89,"37.674866,-123.101044",36000,434,327
1552512122,2019-03-13T21:22:02Z,DAL89,"37.782589,-123.187073",36000,434,327
1552512184,2019-03-13T21:23:04Z,DAL89,"37.888123,-123.271561",36000,432,327
1552512246,2019-03-13T21:24:06Z,DAL89,"37.991089,-123.354256",36000,431,327
1552512308,2019-03-13T21:25:08Z,DAL89,"38.097153,-123.439751",36000,432,327
1552512371,2019-03-13T21:26:11Z,DAL89,"38.204071,-123.526329",36000,436,327
1552512433,2019-03-13T21:27:13Z,DAL89,"38.310471,-123.612732",36000,439,327
1552512499,2019-03-13T21:28:19Z,DAL89,"38.42012,-123.702087",36000,440,327
1552512560,2019-03-13T21:29:20Z,DAL89,"38.528679,-123.790833",36000,443,327
1552512623,2019-03-13T21:30:23Z,DAL89,"38.637131,-123.879868",36000,442,327
1552512687,2019-03-13T21:31:27Z,DAL89,"38.74622,-123.969727",36000,443,327
1552512748,2019-03-13T21:32:28Z,DAL89,"38.849705,-124.055237",36000,443,327
1552512811,2019-03-13T21:33:31Z,DAL89,"38.957752,-124.144958",36000,442,327
1552512875,2019-03-13T21:34:35Z,DAL89,"39.066513,-124.23555",36000,442,326
1552512936,2019-03-13T21:35:36Z,DAL89,"39.174591,-124.325928",36000,443,326
1552513000,2019-03-13T21:36:40Z,DAL89,"39.282455,-124.416382",36000,437,326
1552513062,2019-03-13T21:37:42Z,DAL89,"39.388592,-124.505798",36000,434,326
1552513124,2019-03-13T21:38:44Z,DAL89,"39.492081,-124.593323",36000,436,326
1552513189,2019-03-13T21:39:49Z,DAL89,"39.602417,-124.687004",36000,439,326
1552513255,2019-03-13T21:40:55Z,DAL89,"39.71418,-124.782166",36000,438,326
1552513315,2019-03-13T21:41:55Z,DAL89,"39.815231,-124.868515",36000,436,326
1552513376,2019-03-13T21:42:56Z,DAL89,"39.920033,-124.958557",36000,436,326
1552513439,2019-03-13T21:43:59Z,DAL89,"40.021545,-125.045837",36000,436,326
1552513505,2019-03-13T21:45:05Z,DAL89,"40.136398,-125.145264",36000,436,326
1552513568,2019-03-13T21:46:08Z,DAL89,"40.242176,-125.237083",36000,432,326
1552513632,2019-03-13T21:47:12Z,DAL89,"40.347107,-125.328369",36000,431,326
1552513695,2019-03-13T21:48:15Z,DAL89,"40.452301,-125.420593",36000,434,326
1552513756,2019-03-13T21:49:16Z,DAL89,"40.552734,-125.508728",36000,438,326
1552513824,2019-03-13T21:50:24Z,DAL89,"40.668045,-125.610291",36000,438,326
1552513859,2019-03-13T21:50:59Z,DAL89,"40.727737,-125.663147",36000,437,325
1552513953,2019-03-13T21:52:33Z,DAL89,"40.869297,-125.782471",36000,436,329
1552514019,2019-03-13T21:53:39Z,DAL89,"40.954254,-125.859001",36000,437,312
1552514052,2019-03-13T21:54:12Z,DAL89,"41.009819,-125.908699",36000,437,331
1552514079,2019-03-13T21:54:39Z,DAL89,"41.050114,-125.946129",36000,436,323
1552514133,2019-03-13T21:55:33Z,DAL89,"41.141571,-126.025864",36000,435,324
1552514228,2019-03-13T21:57:08Z,DAL89,"41.343796,-126.214905",36000,431,325
1552514294,2019-03-13T21:58:14Z,DAL89,"41.451096,-126.312248",36000,430,325
1552514360,2019-03-13T21:59:20Z,DAL89,"41.55835,-126.410065",36000,430,325
1552514419,2019-03-13T22:00:19Z,DAL89,"41.656128,-126.502762",36000,430,320
1552514486,2019-03-13T22:01:26Z,DAL89,"41.748558,-126.624908",36000,429,314
1552514551,2019-03-13T22:02:31Z,DAL89,"41.839828,-126.748085",36000,430,314
1552514611,2019-03-13T22:03:31Z,DAL89,"41.929508,-126.85511",36000,432,324
1552514675,2019-03-13T22:04:35Z,DAL89,"42.036072,-126.954079",36000,431,324
1552514741,2019-03-13T22:05:41Z,DAL89,"42.142532,-127.05439",36000,431,325
1552514802,2019-03-13T22:06:42Z,DAL89,"42.242157,-127.14827",36000,430,324
1552514868,2019-03-13T22:07:48Z,DAL89,"42.348526,-127.249016",36000,429,324
1552514931,2019-03-13T22:08:51Z,DAL89,"42.452774,-127.348213",36000,431,324
1552514992,2019-03-13T22:09:52Z,DAL89,"42.553307,-127.444214",36000,432,324
1552515058,2019-03-13T22:10:58Z,DAL89,"42.659637,-127.54615",36000,433,324
1552515124,2019-03-13T22:12:04Z,DAL89,"42.766891,-127.64946",36000,433,324
1552515662,2019-03-13T22:21:02Z,DAL89,"43.650265,-128.517609",36000,438,323
1552515721,2019-03-13T22:22:01Z,DAL89,"43.746487,-128.614197",36000,438,323
1552515734,2019-03-13T22:22:14Z,DAL89,"43.766926,-128.634735",36000,438,323
1552515824,2019-03-13T22:23:44Z,DAL89,"43.913891,-128.783051",36000,440,323
1552515885,2019-03-13T22:24:45Z,DAL89,"44.01556,-128.886169",36000,442,323
1552515906,2019-03-13T22:25:06Z,DAL89,"44.050194,-128.921417",36000,441,323
1552515995,2019-03-13T22:26:35Z,DAL89,"44.197083,-129.071365",36000,441,323
1552516057,2019-03-13T22:27:37Z,DAL89,"44.298923,-129.17598",36000,441,323
1552516119,2019-03-13T22:28:39Z,DAL89,"44.400314,-129.280609",36000,441,323
1552516167,2019-03-13T22:29:27Z,DAL89,"44.478939,-129.361938",36000,441,323
1552516220,2019-03-13T22:30:20Z,DAL89,"44.566784,-129.453308",36000,443,323
1552516358,2019-03-13T22:32:38Z,DAL89,"44.752808,-129.639481",36000,436,125
1552516943,2019-03-13T22:42:23Z,DAL89,"45.677101,-130.64006",36000,441,343
1552517507,2019-03-13T22:51:47Z,DAL89,"46.622791,-131.698334",36000,456,339
1552517745,2019-03-13T22:55:45Z,DAL89,"47.00613,-132.134628",36600,439,323
1552517783,2019-03-13T22:56:23Z,DAL89,"47.060478,-132.195358",36700,447,326
1552518081,2019-03-13T23:01:21Z,DAL89,"47.650551,-132.707428",38000,452,332
1552518706,2019-03-13T23:11:46Z,DAL89,"48.802788,-133.647202",38000,493,39
1552519230,2019-03-13T23:20:30Z,DAL89,"49.894657,-134.620712",38000,495,299
1552519819,2019-03-13T23:30:19Z,DAL89,"51.05323,-135.709076",38000,497,32
1552520165,2019-03-13T23:36:05Z,DAL89,"51.759853,-136.399139",38000,520,329
1552520224,2019-03-13T23:37:04Z,DAL89,"51.884132,-136.534317",38000,510,325
1552520284,2019-03-13T23:38:04Z,DAL89,"52.009907,-136.658279",38000,510,332
1552520360,2019-03-13T23:39:20Z,DAL89,"52.154636,-136.809387",38000,510,325
1552520421,2019-03-13T23:40:21Z,DAL89,"52.263992,-136.924149",38000,510,329
1552520478,2019-03-13T23:41:18Z,DAL89,"52.374695,-137.038727",38000,510,329
1552520536,2019-03-13T23:42:16Z,DAL89,"52.48399,-137.158035",38000,510,326
1552520596,2019-03-13T23:43:16Z,DAL89,"52.597591,-137.278381",38000,510,329
1552520650,2019-03-13T23:44:10Z,DAL89,"52.715202,-137.39978",38000,510,329
1552520709,2019-03-13T23:45:09Z,DAL89,"52.842365,-137.536819",38000,510,326
1552520770,2019-03-13T23:46:10Z,DAL89,"52.966839,-137.66745",38000,510,329
1552520829,2019-03-13T23:47:09Z,DAL89,"53.086563,-137.798141",38000,510,326
1552520886,2019-03-13T23:48:06Z,DAL89,"53.203365,-137.929214",38000,510,326
1552520951,2019-03-13T23:49:11Z,DAL89,"53.324665,-138.06752",38000,510,326
1552520986,2019-03-13T23:49:46Z,DAL89,"53.382584,-138.132416",38000,510,330
1552521041,2019-03-13T23:50:41Z,DAL89,"53.488308,-138.251846",38000,510,326
1552521103,2019-03-13T23:51:43Z,DAL89,"53.605019,-138.377121",38000,510,330
1552521159,2019-03-13T23:52:39Z,DAL89,"53.714184,-138.497162",38000,510,326
1552521218,2019-03-13T23:53:38Z,DAL89,"53.829151,-138.625946",38000,510,327
1552521281,2019-03-13T23:54:41Z,DAL89,"53.956379,-138.76915",38000,510,327
1552521334,2019-03-13T23:55:34Z,DAL89,"54.068527,-138.896713",38000,510,327
1552521396,2019-03-13T23:56:36Z,DAL89,"54.201557,-139.048553",38000,510,327
1552521454,2019-03-13T23:57:34Z,DAL89,"54.32243,-139.18721",38000,510,327
1552521511,2019-03-13T23:58:31Z,DAL89,"54.433445,-139.314743",38000,510,327
1552521570,2019-03-13T23:59:30Z,DAL89,"54.552189,-139.458847",38000,510,324
1552521632,2019-03-14T00:00:32Z,DAL89,"54.669628,-139.599075",38000,510,327
1552521718,2019-03-14T00:01:58Z,DAL89,"54.808155,-139.770721",38000,510,324
1552521764,2019-03-14T00:02:44Z,DAL89,"54.898991,-139.880615",38000,510,327
1552521853,2019-03-14T00:04:13Z,DAL89,"55.13121,-140.161743",38000,513,324
1552521915,2019-03-14T00:05:15Z,DAL89,"55.250385,-140.310303",38000,511,324
1552521975,2019-03-14T00:06:15Z,DAL89,"55.367752,-140.457703",38000,513,324
1552522027,2019-03-14T00:07:07Z,DAL89,"55.466171,-140.582047",38000,513,324
1552522114,2019-03-14T00:08:34Z,DAL89,"55.641689,-140.802765",38000,510,328
1552522174,2019-03-14T00:09:34Z,DAL89,"55.737881,-140.925705",38000,510,325
1552522233,2019-03-14T00:10:33Z,DAL89,"55.841164,-141.05835",38000,510,325
1552522293,2019-03-14T00:11:33Z,DAL89,"55.954258,-141.203766",38000,510,325
1552522348,2019-03-14T00:12:28Z,DAL89,"56.061794,-141.342239",38000,510,325
1552522425,2019-03-14T00:13:45Z,DAL89,"56.1894,-141.517395",38000,510,321
1552522484,2019-03-14T00:14:44Z,DAL89,"56.292004,-141.656418",38000,510,325
1552522543,2019-03-14T00:15:43Z,DAL89,"56.396446,-141.794891",38000,510,325
1552522610,2019-03-14T00:16:50Z,DAL89,"56.519901,-141.964447",38000,510,322
1552522660,2019-03-14T00:17:40Z,DAL89,"56.619068,-142.097458",38000,510,325
1552522720,2019-03-14T00:18:40Z,DAL89,"56.73201,-142.256256",38000,510,321
1552522777,2019-03-14T00:19:37Z,DAL89,"56.843987,-142.41629",38000,510,323
1552522839,2019-03-14T00:20:39Z,DAL89,"56.960968,-142.576828",38000,510,325
1552522894,2019-03-14T00:21:34Z,DAL89,"57.074596,-142.735565",38000,510,323
1552522952,2019-03-14T00:22:32Z,DAL89,"57.189667,-142.898285",38000,510,323
1552523014,2019-03-14T00:23:34Z,DAL89,"57.309288,-143.07196",38000,510,322
1552523068,2019-03-14T00:24:28Z,DAL89,"57.414188,-143.224548",38000,510,323
1552523153,2019-03-14T00:25:53Z,DAL89,"57.554436,-143.427292",38000,510,323
1552523208,2019-03-14T00:26:48Z,DAL89,"57.650967,-143.566711",38000,510,323
1552523266,2019-03-14T00:27:46Z,DAL89,"57.753773,-143.71785",38000,510,322
1552523323,2019-03-14T00:28:43Z,DAL89,"57.861446,-143.874496",38000,510,323
1552523380,2019-03-14T00:29:40Z,DAL89,"57.975914,-144.039795",38000,510,323
1552523441,2019-03-14T00:30:41Z,DAL89,"58.088528,-144.212891",38000,510,319
1552523499,2019-03-14T00:31:39Z,DAL89,"58.198505,-144.385757",38000,510,321
1552523560,2019-03-14T00:32:40Z,DAL89,"58.317509,-144.566299",38000,510,324
1552523617,2019-03-14T00:33:37Z,DAL89,"58.418034,-144.725967",38000,510,319
1552523674,2019-03-14T00:34:34Z,DAL89,"58.526695,-144.898758",38000,510,321
1552523732,2019-03-14T00:35:32Z,DAL89,"58.645893,-145.080353",38000,510,324
1552523791,2019-03-14T00:36:31Z,DAL89,"58.753811,-145.258713",38000,510,317
1552523851,2019-03-14T00:37:31Z,DAL89,"58.86232,-145.428101",38000,510,324
1552523930,2019-03-14T00:38:50Z,DAL89,"58.987926,-145.63797",38000,510,317
1552523992,2019-03-14T00:39:52Z,DAL89,"59.093357,-145.803345",38000,510,324
1552524044,2019-03-14T00:40:44Z,DAL89,"59.183578,-145.956207",38000,510,317
1552524108,2019-03-14T00:41:48Z,DAL89,"59.298618,-146.14502",38600,500,322
1552524162,2019-03-14T00:42:42Z,DAL89,"59.396931,-146.308029",39000,500,320
1552524221,2019-03-14T00:43:41Z,DAL89,"59.499168,-146.493607",39000,500,315
1552524278,2019-03-14T00:44:38Z,DAL89,"59.602303,-146.684647",39000,500,318
1552524358,2019-03-14T00:45:58Z,DAL89,"59.718857,-146.910782",39000,500,315
1552524396,2019-03-14T00:46:36Z,DAL89,"59.789101,-147.056061",39000,500,315
1552524454,2019-03-14T00:47:34Z,DAL89,"59.894611,-147.261932",39000,500,318
1552524515,2019-03-14T00:48:35Z,DAL89,"59.99934,-147.470306",39000,500,316
1552524573,2019-03-14T00:49:33Z,DAL89,"60.10107,-147.675095",39000,500,316
1552524655,2019-03-14T00:50:55Z,DAL89,"60.218266,-147.911667",39000,500,316
1552524710,2019-03-14T00:51:50Z,DAL89,"60.295849,-148.085297",39000,490,311
1552524767,2019-03-14T00:52:47Z,DAL89,"60.385693,-148.277512",39000,500,316
1552524858,2019-03-14T00:54:18Z,DAL89,"60.578522,-148.674255",39000,510,313
1552524921,2019-03-14T00:55:21Z,DAL89,"60.676712,-148.883209",39000,504,313
1552524984,2019-03-14T00:56:24Z,DAL89,"60.77774,-149.100296",39000,503,313
1552525046,2019-03-14T00:57:26Z,DAL89,"60.877625,-149.317276",39000,493,313
1552525106,2019-03-14T00:58:26Z,DAL89,"60.970119,-149.519897",39000,493,313
1552525167,2019-03-14T00:59:27Z,DAL89,"61.06797,-149.736435",39000,499,312
1552525232,2019-03-14T01:00:32Z,DAL89,"61.167664,-149.967896",39000,503,307
1552525296,2019-03-14T01:01:36Z,DAL89,"61.246918,-150.223999",39000,502,301
1552525359,2019-03-14T01:02:39Z,DAL89,"61.320923,-150.471008",39000,500,301
1552525421,2019-03-14T01:03:41Z,DAL89,"61.397186,-150.730453",39000,495,301
1552525482,2019-03-14T01:04:42Z,DAL89,"61.468925,-150.977066",39000,491,301
1552525544,2019-03-14T01:05:44Z,DAL89,"61.542339,-151.2323",39000,487,300
1552525607,2019-03-14T01:06:47Z,DAL89,"61.612244,-151.478027",39000,485,300
1552525670,2019-03-14T01:07:50Z,DAL89,"61.683655,-151.731979",39000,486,300
1552525729,2019-03-14T01:08:49Z,DAL89,"61.752708,-151.979782",39000,485,300
1552525791,2019-03-14T01:09:51Z,DAL89,"61.824051,-152.239517",39000,492,300
1552525854,2019-03-14T01:10:54Z,DAL89,"61.893494,-152.494644",39000,495,299
1552525917,2019-03-14T01:11:57Z,DAL89,"61.965729,-152.76326",39000,496,299
1552525977,2019-03-14T01:12:57Z,DAL89,"62.034027,-153.020035",39000,493,299
1552526037,2019-03-14T01:13:57Z,DAL89,"62.100723,-153.273987",39000,491,299
1552526101,2019-03-14T01:15:01Z,DAL89,"62.170761,-153.5439",39000,490,298
1552526163,2019-03-14T01:16:03Z,DAL89,"62.236805,-153.801086",39000,488,298
1552526223,2019-03-14T01:17:03Z,DAL89,"62.302139,-154.058945",39000,486,298
1552526288,2019-03-14T01:18:08Z,DAL89,"62.369244,-154.326538",39000,485,298
1552526348,2019-03-14T01:19:08Z,DAL89,"62.43251,-154.582214",39000,488,297
1552526411,2019-03-14T01:20:11Z,DAL89,"62.500244,-154.859161",39000,491,297
1552526476,2019-03-14T01:21:16Z,DAL89,"62.569607,-155.145859",39000,490,297
1552526540,2019-03-14T01:22:20Z,DAL89,"62.635338,-155.421783",39000,489,297
1552526600,2019-03-14T01:23:20Z,DAL89,"62.697418,-155.685226",39000,488,297
1552526666,2019-03-14T01:24:26Z,DAL89,"62.762009,-155.962936",39000,488,296
1552526728,2019-03-14T01:25:28Z,DAL89,"62.825729,-156.240646",39000,488,296
1552526757,2019-03-14T01:25:57Z,DAL89,"62.853561,-156.362808",39000,489,296
1552526852,2019-03-14T01:27:32Z,DAL89,"62.961056,-156.871933",39000,480,292
1552526913,2019-03-14T01:28:33Z,DAL89,"63.014858,-157.109253",39000,480,299
1552526992,2019-03-14T01:29:52Z,DAL89,"63.071678,-157.387329",39000,480,293
1552527058,2019-03-14T01:30:58Z,DAL89,"63.151836,-157.720459",39000,486,295
1552527120,2019-03-14T01:32:00Z,DAL89,"63.209976,-157.995651",39000,483,295
1552527182,2019-03-14T01:33:02Z,DAL89,"63.267197,-158.270203",39000,484,294
1552527242,2019-03-14T01:34:02Z,DAL89,"63.324554,-158.549088",39000,486,294
1552527305,2019-03-14T01:35:05Z,DAL89,"63.38129,-158.828461",39000,486,294
1552527365,2019-03-14T01:36:05Z,DAL89,"63.436829,-159.105759",39000,484,293
1552527426,2019-03-14T01:37:06Z,DAL89,"63.492416,-159.387009",39000,487,293
1552527489,2019-03-14T01:38:09Z,DAL89,"63.548035,-159.672546",39000,487,293
1552527550,2019-03-14T01:39:10Z,DAL89,"63.6026,-159.956604",39000,486,293
1552527613,2019-03-14T01:40:13Z,DAL89,"63.655857,-160.238007",39000,484,292
1552527672,2019-03-14T01:41:12Z,DAL89,"63.709206,-160.523773",39000,483,292
1552527734,2019-03-14T01:42:14Z,DAL89,"63.761345,-160.806778",39000,483,292
1552527795,2019-03-14T01:43:15Z,DAL89,"63.81353,-161.094833",39000,483,292
1552527857,2019-03-14T01:44:17Z,DAL89,"63.864944,-161.382294",39000,483,291
1552527918,2019-03-14T01:45:18Z,DAL89,"63.915989,-161.672394",39000,481,291
1552527980,2019-03-14T01:46:20Z,DAL89,"63.965836,-161.959915",39000,482,291
1552528044,2019-03-14T01:47:24Z,DAL89,"64.015938,-162.252792",39000,482,291
1552528105,2019-03-14T01:48:25Z,DAL89,"64.065002,-162.544708",39000,482,290
1552528165,2019-03-14T01:49:25Z,DAL89,"64.113373,-162.836716",39000,486,290
1552528226,2019-03-14T01:50:26Z,DAL89,"64.161736,-163.133347",39000,487,290
