,city,avg_wait_minutes,centers_count,time
0,Acton,6.8,5,2020-11-03 18:45:48.900993
1,Agoura Hills,8.0,4,2020-11-03 18:45:48.900993
2,Alhambra,6.0,2,2020-11-03 18:45:48.900993
3,Altadena,6.0,2,2020-11-03 18:45:48.900993
4,Arcadia,6.4,5,2020-11-03 18:45:48.900993
5,Arleta,8.0,1,2020-11-03 18:45:48.900993
6,Artesia,8.0,2,2020-11-03 18:45:48.900993
7,Avalon,8.0,1,2020-11-03 18:45:48.900993
8,Azusa,4.666666666666667,3,2020-11-03 18:45:48.900993
9,Baldwin Park,22.666666666666668,3,2020-11-03 18:45:48.900993
10,Bell,7.0,3,2020-11-03 18:45:48.900993
11,Bell Gardens,11.0,3,2020-11-03 18:45:48.900993
12,Bellflower,8.0,3,2020-11-03 18:45:48.900993
13,Beverly Hills,6.777777777777778,9,2020-11-03 18:45:48.900993
14,Burbank,9.5,8,2020-11-03 18:45:48.900993
15,Calabasas,8.0,3,2020-11-03 18:45:48.900993
16,Canoga Park,8.5,4,2020-11-03 18:45:48.900993
17,Canyon Country,18.0,1,2020-11-03 18:45:48.900993
18,Carson,7.2,10,2020-11-03 18:45:48.900993
19,Castaic,8.0,2,2020-11-03 18:45:48.900993
20,Cerritos,6.625,8,2020-11-03 18:45:48.900993
21,Chatsworth,4.0,2,2020-11-03 18:45:48.900993
22,City of Industry,6.0,2,2020-11-03 18:45:48.900993
23,Claremont,6.25,4,2020-11-03 18:45:48.900993
24,Commerce,5.0,1,2020-11-03 18:45:48.900993
25,Compton,6.363636363636363,11,2020-11-03 18:45:48.900993
26,Covina,13.5,4,2020-11-03 18:45:48.900993
27,Cudahy,23.0,1,2020-11-03 18:45:48.900993
28,Culver City,7.4,5,2020-11-03 18:45:48.900993
29,Diamond Bar,8.0,7,2020-11-03 18:45:48.900993
30,Downey,6.25,4,2020-11-03 18:45:48.900993
31,Duarte,8.0,2,2020-11-03 18:45:48.900993
32,El Monte,7.6923076923076925,13,2020-11-03 18:45:48.900993
33,El Segundo,6.0,4,2020-11-03 18:45:48.900993
34,Gardena,8.0,6,2020-11-03 18:45:48.900993
35,Glendale,6.642857142857143,14,2020-11-03 18:45:48.900993
36,Glendora,8.0,4,2020-11-03 18:45:48.900993
37,Granada Hills,5.666666666666667,6,2020-11-03 18:45:48.900993
38,Hacienda Heights,7.333333333333333,6,2020-11-03 18:45:48.900993
39,Hawaiian Gardens,8.0,1,2020-11-03 18:45:48.900993
40,Hawthorne,7.125,8,2020-11-03 18:45:48.900993
41,Hermosa Beach,8.0,4,2020-11-03 18:45:48.900993
42,Hollywood,8.0,1,2020-11-03 18:45:48.900993
43,Huntington Park,3.75,4,2020-11-03 18:45:48.900993
44,Inglewood,6.230769230769231,13,2020-11-03 18:45:48.900993
45,Irwindale,4.0,1,2020-11-03 18:45:48.900993
46,La Canada Flintridge,8.0,1,2020-11-03 18:45:48.900993
47,La Crescenta,4.0,1,2020-11-03 18:45:48.900993
48,La Habra Heights,8.0,1,2020-11-03 18:45:48.900993
49,La Mirada,5.8,5,2020-11-03 18:45:48.900993
50,La Puente,6.636363636363637,11,2020-11-03 18:45:48.900993
51,La Verne,4.0,1,2020-11-03 18:45:48.900993
52,Lake Los Angeles,8.0,1,2020-11-03 18:45:48.900993
53,Lakeview Terrace,8.0,1,2020-11-03 18:45:48.900993
54,Lakewood,4.8,5,2020-11-03 18:45:48.900993
55,Lancaster,6.5,14,2020-11-03 18:45:48.900993
56,Lawndale,8.0,1,2020-11-03 18:45:48.900993
57,Lennox,8.0,3,2020-11-03 18:45:48.900993
58,Littlerock,8.333333333333334,3,2020-11-03 18:45:48.900993
59,Lomita,6.5,2,2020-11-03 18:45:48.900993
60,Long Beach,8.441176470588236,34,2020-11-03 18:45:48.900993
61,Los Angeles,7.521978021978022,182,2020-11-03 18:45:48.900993
62,Los Angleles,8.0,1,2020-11-03 18:45:48.900993
63,Los Nietos,8.0,1,2020-11-03 18:45:48.900993
64,Lynwood,14.5,4,2020-11-03 18:45:48.900993
65,Malibu,6.666666666666667,3,2020-11-03 18:45:48.900993
66,Manhattan Beach,8.0,2,2020-11-03 18:45:48.900993
67,Marina Del Rey,8.0,1,2020-11-03 18:45:48.900993
68,Maywood,7.5,2,2020-11-03 18:45:48.900993
69,Mission Hills,10.0,2,2020-11-03 18:45:48.900993
70,Monrovia,8.0,3,2020-11-03 18:45:48.900993
71,Montebello,10.333333333333334,6,2020-11-03 18:45:48.900993
72,Monterey Park,7.0,5,2020-11-03 18:45:48.900993
73,Newhall,8.0,2,2020-11-03 18:45:48.900993
74,North Hills,9.0,3,2020-11-03 18:45:48.900993
75,North Hollywood,12.625,8,2020-11-03 18:45:48.900993
76,Northridge,7.2,5,2020-11-03 18:45:48.900993
77,Norwalk,7.2727272727272725,11,2020-11-03 18:45:48.900993
78,Pacific Palisades,8.0,1,2020-11-03 18:45:48.900993
79,Pacoima,14.5,2,2020-11-03 18:45:48.900993
80,Palmdale,10.444444444444445,9,2020-11-03 18:45:48.900993
81,Palos Verdes Estates,8.0,2,2020-11-03 18:45:48.900993
82,Panorama City,19.0,2,2020-11-03 18:45:48.900993
83,Paramount,3.3333333333333335,3,2020-11-03 18:45:48.900993
84,Pasadena,7.6923076923076925,13,2020-11-03 18:45:48.900993
85,Pico Rivera,11.0,5,2020-11-03 18:45:48.900993
86,Playa Del Rey,8.0,1,2020-11-03 18:45:48.900993
87,Pomona,6.857142857142857,14,2020-11-03 18:45:48.900993
88,Porter Ranch,8.0,1,2020-11-03 18:45:48.900993
89,Quartz Hill,8.0,1,2020-11-03 18:45:48.900993
90,Rancho Palos Verdes,0.0,3,2020-11-03 18:45:48.900993
91,Redondo Beach,7.714285714285714,7,2020-11-03 18:45:48.900993
92,Reseda,8.0,1,2020-11-03 18:45:48.900993
93,Rolling Hills Estates,6.666666666666667,3,2020-11-03 18:45:48.900993
94,Rosemead,6.8,5,2020-11-03 18:45:48.900993
95,Rowland Heights,8.0,7,2020-11-03 18:45:48.900993
96,San Dimas,8.0,1,2020-11-03 18:45:48.900993
97,San Fernando,8.0,5,2020-11-03 18:45:48.900993
98,San Gabriel,10.75,4,2020-11-03 18:45:48.900993
99,San Marino,8.0,1,2020-11-03 18:45:48.900993
100,San Pedro,6.363636363636363,11,2020-11-03 18:45:48.900993
101,Santa Clarita,8.6,10,2020-11-03 18:45:48.900993
102,Santa Fe Springs,13.5,2,2020-11-03 18:45:48.900993
103,Santa Monica,6.4,10,2020-11-03 18:45:48.900993
104,Saugus,9.0,1,2020-11-03 18:45:48.900993
105,Sherman Oaks,8.0,3,2020-11-03 18:45:48.900993
106,Sierra Madre,17.0,1,2020-11-03 18:45:48.900993
107,Signal Hill,7.0,1,2020-11-03 18:45:48.900993
108,South El Monte,8.0,1,2020-11-03 18:45:48.900993
109,South Gate,16.4,5,2020-11-03 18:45:48.900993
110,South Pasadena,8.0,2,2020-11-03 18:45:48.900993
111,Stevenson Ranch,8.0,1,2020-11-03 18:45:48.900993
112,Studio City,0.0,1,2020-11-03 18:45:48.900993
113,Sun Valley,13.0,3,2020-11-03 18:45:48.900993
114,Sun Village,8.0,1,2020-11-03 18:45:48.900993
115,Sunland,8.0,1,2020-11-03 18:45:48.900993
116,Sunland-Tujunga,8.0,1,2020-11-03 18:45:48.900993
117,Sylmar,8.0,3,2020-11-03 18:45:48.900993
118,Tarzana,6.666666666666667,3,2020-11-03 18:45:48.900993
119,Temple City,8.0,2,2020-11-03 18:45:48.900993
120,Topanga,5.333333333333333,3,2020-11-03 18:45:48.900993
121,Torrance,6.909090909090909,11,2020-11-03 18:45:48.900993
122,Tujunga,8.0,1,2020-11-03 18:45:48.900993
123,Universal City,4.0,1,2020-11-03 18:45:48.900993
124,Valencia,8.0,3,2020-11-03 18:45:48.900993
125,Valley Glen,8.0,1,2020-11-03 18:45:48.900993
126,Valley Village,5.0,2,2020-11-03 18:45:48.900993
127,Van Nuys,10.0,8,2020-11-03 18:45:48.900993
128,Venice,6.0,4,2020-11-03 18:45:48.900993
129,Vernon,8.0,1,2020-11-03 18:45:48.900993
130,Walnut,8.0,4,2020-11-03 18:45:48.900993
131,Walnut Park,5.0,1,2020-11-03 18:45:48.900993
132,West Covina,8.875,8,2020-11-03 18:45:48.900993
133,West Hollywood,8.0,3,2020-11-03 18:45:48.900993
134,West Los Angeles,8.0,1,2020-11-03 18:45:48.900993
135,Westlake Village,8.0,1,2020-11-03 18:45:48.900993
136,Whittier,7.0,12,2020-11-03 18:45:48.900993
137,Wilmington,6.666666666666667,6,2020-11-03 18:45:48.900993
138,Winnetka,8.0,2,2020-11-03 18:45:48.900993
139,Woodland Hills,5.428571428571429,7,2020-11-03 18:45:48.900993
