,city,avg_wait_minutes,centers_count,time
0,Acton,7.2,5,2020-11-03 13:33:55.884298
1,Agoura Hills,7.0,4,2020-11-03 13:33:55.884298
2,Alhambra,6.0,2,2020-11-03 13:33:55.884298
3,Altadena,6.0,2,2020-11-03 13:33:55.884298
4,Arcadia,4.8,5,2020-11-03 13:33:55.884298
5,Arleta,8.0,1,2020-11-03 13:33:55.884298
6,Artesia,6.0,2,2020-11-03 13:33:55.884298
7,Avalon,8.0,1,2020-11-03 13:33:55.884298
8,Azusa,6.666666666666667,3,2020-11-03 13:33:55.884298
9,Baldwin Park,7.333333333333333,3,2020-11-03 13:33:55.884298
10,Bell,8.333333333333334,3,2020-11-03 13:33:55.884298
11,Bell Gardens,8.0,3,2020-11-03 13:33:55.884298
12,Bellflower,5.333333333333333,3,2020-11-03 13:33:55.884298
13,Beverly Hills,5.0,9,2020-11-03 13:33:55.884298
14,Burbank,7.5,8,2020-11-03 13:33:55.884298
15,Calabasas,7.0,3,2020-11-03 13:33:55.884298
16,Canoga Park,5.0,4,2020-11-03 13:33:55.884298
17,Canyon Country,23.0,1,2020-11-03 13:33:55.884298
18,Carson,7.2,10,2020-11-03 13:33:55.884298
19,Castaic,6.5,2,2020-11-03 13:33:55.884298
20,Cerritos,6.625,8,2020-11-03 13:33:55.884298
21,Chatsworth,8.0,2,2020-11-03 13:33:55.884298
22,City of Industry,5.0,2,2020-11-03 13:33:55.884298
23,Claremont,7.25,4,2020-11-03 13:33:55.884298
24,Commerce,0.0,1,2020-11-03 13:33:55.884298
25,Compton,6.2727272727272725,11,2020-11-03 13:33:55.884298
26,Covina,5.75,4,2020-11-03 13:33:55.884298
27,Cudahy,8.0,1,2020-11-03 13:33:55.884298
28,Culver City,7.2,5,2020-11-03 13:33:55.884298
29,Diamond Bar,7.428571428571429,7,2020-11-03 13:33:55.884298
30,Downey,12.0,4,2020-11-03 13:33:55.884298
31,Duarte,8.0,2,2020-11-03 13:33:55.884298
32,El Monte,5.230769230769231,13,2020-11-03 13:33:55.884298
33,El Segundo,8.0,4,2020-11-03 13:33:55.884298
34,Gardena,8.0,6,2020-11-03 13:33:55.884298
35,Glendale,6.428571428571429,14,2020-11-03 13:33:55.884298
36,Glendora,5.5,4,2020-11-03 13:33:55.884298
37,Granada Hills,8.0,6,2020-11-03 13:33:55.884298
38,Hacienda Heights,8.0,6,2020-11-03 13:33:55.884298
39,Hawaiian Gardens,8.0,1,2020-11-03 13:33:55.884298
40,Hawthorne,7.625,8,2020-11-03 13:33:55.884298
41,Hermosa Beach,8.0,4,2020-11-03 13:33:55.884298
42,Hollywood,8.0,1,2020-11-03 13:33:55.884298
43,Huntington Park,1.5,4,2020-11-03 13:33:55.884298
44,Inglewood,5.846153846153846,13,2020-11-03 13:33:55.884298
45,Irwindale,6.0,1,2020-11-03 13:33:55.884298
46,La Canada Flintridge,0.0,1,2020-11-03 13:33:55.884298
47,La Crescenta,6.0,1,2020-11-03 13:33:55.884298
48,La Habra Heights,8.0,1,2020-11-03 13:33:55.884298
49,La Mirada,6.8,5,2020-11-03 13:33:55.884298
50,La Puente,7.7272727272727275,11,2020-11-03 13:33:55.884298
51,La Verne,5.0,1,2020-11-03 13:33:55.884298
52,Lake Los Angeles,8.0,1,2020-11-03 13:33:55.884298
53,Lakeview Terrace,8.0,1,2020-11-03 13:33:55.884298
54,Lakewood,7.4,5,2020-11-03 13:33:55.884298
55,Lancaster,6.285714285714286,14,2020-11-03 13:33:55.884298
56,Lawndale,4.0,1,2020-11-03 13:33:55.884298
57,Lennox,8.0,3,2020-11-03 13:33:55.884298
58,Littlerock,8.0,3,2020-11-03 13:33:55.884298
59,Lomita,4.0,2,2020-11-03 13:33:55.884298
60,Long Beach,6.764705882352941,34,2020-11-03 13:33:55.884298
61,Los Angeles,7.1923076923076925,182,2020-11-03 13:33:55.884298
62,Los Angleles,8.0,1,2020-11-03 13:33:55.884298
63,Los Nietos,8.0,1,2020-11-03 13:33:55.884298
64,Lynwood,6.25,4,2020-11-03 13:33:55.884298
65,Malibu,5.333333333333333,3,2020-11-03 13:33:55.884298
66,Manhattan Beach,8.0,2,2020-11-03 13:33:55.884298
67,Marina Del Rey,6.0,1,2020-11-03 13:33:55.884298
68,Maywood,4.0,2,2020-11-03 13:33:55.884298
69,Mission Hills,6.0,2,2020-11-03 13:33:55.884298
70,Monrovia,6.0,3,2020-11-03 13:33:55.884298
71,Montebello,8.0,6,2020-11-03 13:33:55.884298
72,Monterey Park,8.0,5,2020-11-03 13:33:55.884298
73,Newhall,8.0,2,2020-11-03 13:33:55.884298
74,North Hills,6.0,3,2020-11-03 13:33:55.884298
75,North Hollywood,5.0,8,2020-11-03 13:33:55.884298
76,Northridge,7.2,5,2020-11-03 13:33:55.884298
77,Norwalk,7.909090909090909,11,2020-11-03 13:33:55.884298
78,Pacific Palisades,8.0,1,2020-11-03 13:33:55.884298
79,Pacoima,8.0,2,2020-11-03 13:33:55.884298
80,Palmdale,7.555555555555555,9,2020-11-03 13:33:55.884298
81,Palos Verdes Estates,8.0,2,2020-11-03 13:33:55.884298
82,Panorama City,7.0,2,2020-11-03 13:33:55.884298
83,Paramount,7.0,3,2020-11-03 13:33:55.884298
84,Pasadena,5.923076923076923,13,2020-11-03 13:33:55.884298
85,Pico Rivera,9.8,5,2020-11-03 13:33:55.884298
86,Playa Del Rey,8.0,1,2020-11-03 13:33:55.884298
87,Pomona,7.142857142857143,14,2020-11-03 13:33:55.884298
88,Porter Ranch,4.0,1,2020-11-03 13:33:55.884298
89,Quartz Hill,0.0,1,2020-11-03 13:33:55.884298
90,Rancho Palos Verdes,5.333333333333333,3,2020-11-03 13:33:55.884298
91,Redondo Beach,7.0,7,2020-11-03 13:33:55.884298
92,Reseda,12.0,1,2020-11-03 13:33:55.884298
93,Rolling Hills Estates,8.0,3,2020-11-03 13:33:55.884298
94,Rosemead,7.2,5,2020-11-03 13:33:55.884298
95,Rowland Heights,8.0,7,2020-11-03 13:33:55.884298
96,San Dimas,8.0,1,2020-11-03 13:33:55.884298
97,San Fernando,6.8,5,2020-11-03 13:33:55.884298
98,San Gabriel,7.0,4,2020-11-03 13:33:55.884298
99,San Marino,8.0,1,2020-11-03 13:33:55.884298
100,San Pedro,5.7272727272727275,11,2020-11-03 13:33:55.884298
101,Santa Clarita,5.9,10,2020-11-03 13:33:55.884298
102,Santa Fe Springs,5.0,2,2020-11-03 13:33:55.884298
103,Santa Monica,5.2,10,2020-11-03 13:33:55.884298
104,Saugus,6.0,1,2020-11-03 13:33:55.884298
105,Sherman Oaks,4.333333333333333,3,2020-11-03 13:33:55.884298
106,Sierra Madre,4.0,1,2020-11-03 13:33:55.884298
107,Signal Hill,0.0,1,2020-11-03 13:33:55.884298
108,South El Monte,8.0,1,2020-11-03 13:33:55.884298
109,South Gate,4.4,5,2020-11-03 13:33:55.884298
110,South Pasadena,8.0,2,2020-11-03 13:33:55.884298
111,Stevenson Ranch,8.0,1,2020-11-03 13:33:55.884298
112,Studio City,0.0,1,2020-11-03 13:33:55.884298
113,Sun Valley,2.6666666666666665,3,2020-11-03 13:33:55.884298
114,Sun Village,8.0,1,2020-11-03 13:33:55.884298
115,Sunland,8.0,1,2020-11-03 13:33:55.884298
116,Sunland-Tujunga,8.0,1,2020-11-03 13:33:55.884298
