start,end,day_count
2010-12-30T00:00:00.000Z,2010-12-31T00:00:00.000Z,13
2010-12-31T00:00:00.000Z,2011-01-01T00:00:00.000Z,5
2011-01-01T00:00:00.000Z,2011-01-02T00:00:00.000Z,100
2011-01-02T00:00:00.000Z,2011-01-03T00:00:00.000Z,45
2011-01-03T00:00:00.000Z,2011-01-04T00:00:00.000Z,3
2011-01-04T00:00:00.000Z,2011-01-05T00:00:00.000Z,9
2011-01-05T00:00:00.000Z,2011-01-06T00:00:00.000Z,5
2011-01-06T00:00:00.000Z,2011-01-07T00:00:00.000Z,4
2011-01-07T00:00:00.000Z,2011-01-08T00:00:00.000Z,9
2011-01-08T00:00:00.000Z,2011-01-09T00:00:00.000Z,97
2011-01-09T00:00:00.000Z,2011-01-10T00:00:00.000Z,29
2011-01-10T00:00:00.000Z,2011-01-11T00:00:00.000Z,9
2011-01-11T00:00:00.000Z,2011-01-12T00:00:00.000Z,15
2011-01-12T00:00:00.000Z,2011-01-13T00:00:00.000Z,14
2011-01-13T00:00:00.000Z,2011-01-14T00:00:00.000Z,7
2011-01-14T00:00:00.000Z,2011-01-15T00:00:00.000Z,10
2011-01-15T00:00:00.000Z,2011-01-16T00:00:00.000Z,9
2011-01-16T00:00:00.000Z,2011-01-17T00:00:00.000Z,5
2011-01-17T00:00:00.000Z,2011-01-18T00:00:00.000Z,5
2010-11-17T00:00:00.000Z,2010-11-18T00:00:00.000Z,11
2010-11-18T00:00:00.000Z,2010-11-19T00:00:00.000Z,1
2010-11-19T00:00:00.000Z,2010-11-20T00:00:00.000Z,1
2010-11-20T00:00:00.000Z,2010-11-21T00:00:00.000Z,3
2010-11-21T00:00:00.000Z,2010-11-22T00:00:00.000Z,4
2010-11-22T00:00:00.000Z,2010-11-23T00:00:00.000Z,2
2010-11-23T00:00:00.000Z,2010-11-24T00:00:00.000Z,160
2010-11-24T00:00:00.000Z,2010-11-25T00:00:00.000Z,81
2010-11-25T00:00:00.000Z,2010-11-26T00:00:00.000Z,29
2010-11-26T00:00:00.000Z,2010-11-27T00:00:00.000Z,47
2010-11-27T00:00:00.000Z,2010-11-28T00:00:00.000Z,20
2010-11-28T00:00:00.000Z,2010-11-29T00:00:00.000Z,30
2010-11-29T00:00:00.000Z,2010-11-30T00:00:00.000Z,6
2010-11-30T00:00:00.000Z,2010-12-01T00:00:00.000Z,24
2010-12-01T00:00:00.000Z,2010-12-02T00:00:00.000Z,31
2010-12-02T00:00:00.000Z,2010-12-03T00:00:00.000Z,16
2010-12-03T00:00:00.000Z,2010-12-04T00:00:00.000Z,9
2010-12-04T00:00:00.000Z,2010-12-05T00:00:00.000Z,16
2010-12-05T00:00:00.000Z,2010-12-06T00:00:00.000Z,7
2010-12-06T00:00:00.000Z,2010-12-07T00:00:00.000Z,8
2010-12-07T00:00:00.000Z,2010-12-08T00:00:00.000Z,15
2010-12-08T00:00:00.000Z,2010-12-09T00:00:00.000Z,1
2010-12-09T00:00:00.000Z,2010-12-10T00:00:00.000Z,12
2010-12-10T00:00:00.000Z,2010-12-11T00:00:00.000Z,17
2010-12-11T00:00:00.000Z,2010-12-12T00:00:00.000Z,7
2010-12-12T00:00:00.000Z,2010-12-13T00:00:00.000Z,4
2010-12-13T00:00:00.000Z,2010-12-14T00:00:00.000Z,7
2010-12-14T00:00:00.000Z,2010-12-15T00:00:00.000Z,8
2010-12-15T00:00:00.000Z,2010-12-16T00:00:00.000Z,9
2010-12-16T00:00:00.000Z,2010-12-17T00:00:00.000Z,18
2010-12-17T00:00:00.000Z,2010-12-18T00:00:00.000Z,11
2010-10-17T00:00:00.000Z,2010-10-18T00:00:00.000Z,12
2010-10-18T00:00:00.000Z,2010-10-19T00:00:00.000Z,9
2010-10-19T00:00:00.000Z,2010-10-20T00:00:00.000Z,11
2010-10-20T00:00:00.000Z,2010-10-21T00:00:00.000Z,14
2010-10-21T00:00:00.000Z,2010-10-22T00:00:00.000Z,2
2010-10-22T00:00:00.000Z,2010-10-23T00:00:00.000Z,2
2010-10-23T00:00:00.000Z,2010-10-24T00:00:00.000Z,7
2010-10-24T00:00:00.000Z,2010-10-25T00:00:00.000Z,15
2010-10-25T00:00:00.000Z,2010-10-26T00:00:00.000Z,12
2010-10-26T00:00:00.000Z,2010-10-27T00:00:00.000Z,9
2010-10-27T00:00:00.000Z,2010-10-28T00:00:00.000Z,3
2010-10-28T00:00:00.000Z,2010-10-29T00:00:00.000Z,4
2010-10-29T00:00:00.000Z,2010-10-30T00:00:00.000Z,3
2010-10-30T00:00:00.000Z,2010-10-31T00:00:00.000Z,4
2010-10-31T00:00:00.000Z,2010-11-01T00:00:00.000Z,1
2010-11-01T00:00:00.000Z,2010-11-02T00:00:00.000Z,7
2010-11-02T00:00:00.000Z,2010-11-03T00:00:00.000Z,7
2010-11-03T00:00:00.000Z,2010-11-04T00:00:00.000Z,2
2010-11-04T00:00:00.000Z,2010-11-05T00:00:00.000Z,3
2010-11-05T00:00:00.000Z,2010-11-06T00:00:00.000Z,1
2010-11-06T00:00:00.000Z,2010-11-07T00:00:00.000Z,4
2010-11-07T00:00:00.000Z,2010-11-08T00:00:00.000Z,0
2010-11-08T00:00:00.000Z,2010-11-09T00:00:00.000Z,15
2010-11-09T00:00:00.000Z,2010-11-10T00:00:00.000Z,5
2010-11-10T00:00:00.000Z,2010-11-11T00:00:00.000Z,8
2010-11-11T00:00:00.000Z,2010-11-12T00:00:00.000Z,9
2010-11-12T00:00:00.000Z,2010-11-13T00:00:00.000Z,3
2010-11-13T00:00:00.000Z,2010-11-14T00:00:00.000Z,2
2010-11-14T00:00:00.000Z,2010-11-15T00:00:00.000Z,0
2010-11-15T00:00:00.000Z,2010-11-16T00:00:00.000Z,0
2010-11-16T00:00:00.000Z,2010-11-17T00:00:00.000Z,2
2010-09-16T00:00:00.000Z,2010-09-17T00:00:00.000Z,3
2010-09-17T00:00:00.000Z,2010-09-18T00:00:00.000Z,1
2010-09-18T00:00:00.000Z,2010-09-19T00:00:00.000Z,1
2010-09-19T00:00:00.000Z,2010-09-20T00:00:00.000Z,12
2010-09-20T00:00:00.000Z,2010-09-21T00:00:00.000Z,4
2010-09-21T00:00:00.000Z,2010-09-22T00:00:00.000Z,70
2010-09-22T00:00:00.000Z,2010-09-23T00:00:00.000Z,25
2010-09-23T00:00:00.000Z,2010-09-24T00:00:00.000Z,9
2010-09-24T00:00:00.000Z,2010-09-25T00:00:00.000Z,3
2010-09-25T00:00:00.000Z,2010-09-26T00:00:00.000Z,1
2010-09-26T00:00:00.000Z,2010-09-27T00:00:00.000Z,5
2010-09-27T00:00:00.000Z,2010-09-28T00:00:00.000Z,163
2010-09-28T00:00:00.000Z,2010-09-29T00:00:00.000Z,511
2010-09-29T00:00:00.000Z,2010-09-30T00:00:00.000Z,259
2010-09-30T00:00:00.000Z,2010-10-01T00:00:00.000Z,921
2010-10-01T00:00:00.000Z,2010-10-02T00:00:00.000Z,174
2010-10-02T00:00:00.000Z,2010-10-03T00:00:00.000Z,21
2010-10-03T00:00:00.000Z,2010-10-04T00:00:00.000Z,24
2010-10-04T00:00:00.000Z,2010-10-05T00:00:00.000Z,61
2010-10-05T00:00:00.000Z,2010-10-06T00:00:00.000Z,266
2010-10-06T00:00:00.000Z,2010-10-07T00:00:00.000Z,31
2010-10-07T00:00:00.000Z,2010-10-08T00:00:00.000Z,37
2010-10-08T00:00:00.000Z,2010-10-09T00:00:00.000Z,1173
2010-10-09T00:00:00.000Z,2010-10-10T00:00:00.000Z,200
2010-10-10T00:00:00.000Z,2010-10-11T00:00:00.000Z,603
2010-10-11T00:00:00.000Z,2010-10-12T00:00:00.000Z,332
2010-10-12T00:00:00.000Z,2010-10-13T00:00:00.000Z,148
2010-10-13T00:00:00.000Z,2010-10-14T00:00:00.000Z,50
2010-10-14T00:00:00.000Z,2010-10-15T00:00:00.000Z,24
2010-10-15T00:00:00.000Z,2010-10-16T00:00:00.000Z,32
2010-10-16T00:00:00.000Z,2010-10-17T00:00:00.000Z,15
2010-08-16T00:00:00.000Z,2010-08-17T00:00:00.000Z,5
2010-08-17T00:00:00.000Z,2010-08-18T00:00:00.000Z,6
2010-08-18T00:00:00.000Z,2010-08-19T00:00:00.000Z,2
2010-08-19T00:00:00.000Z,2010-08-20T00:00:00.000Z,3
2010-08-20T00:00:00.000Z,2010-08-21T00:00:00.000Z,5
2010-08-21T00:00:00.000Z,2010-08-22T00:00:00.000Z,3
2010-08-22T00:00:00.000Z,2010-08-23T00:00:00.000Z,0
2010-08-23T00:00:00.000Z,2010-08-24T00:00:00.000Z,3
2010-08-24T00:00:00.000Z,2010-08-25T00:00:00.000Z,1
2010-08-25T00:00:00.000Z,2010-08-26T00:00:00.000Z,1
2010-08-26T00:00:00.000Z,2010-08-27T00:00:00.000Z,17
2010-08-27T00:00:00.000Z,2010-08-28T00:00:00.000Z,4
2010-08-28T00:00:00.000Z,2010-08-29T00:00:00.000Z,9
2010-08-29T00:00:00.000Z,2010-08-30T00:00:00.000Z,8
2010-08-30T00:00:00.000Z,2010-08-31T00:00:00.000Z,1
2010-08-31T00:00:00.000Z,2010-09-01T00:00:00.000Z,3
2010-09-01T00:00:00.000Z,2010-09-02T00:00:00.000Z,1
2010-09-02T00:00:00.000Z,2010-09-03T00:00:00.000Z,1
2010-09-03T00:00:00.000Z,2010-09-04T00:00:00.000Z,6
2010-09-04T00:00:00.000Z,2010-09-05T00:00:00.000Z,1
2010-09-05T00:00:00.000Z,2010-09-06T00:00:00.000Z,3
2010-09-06T00:00:00.000Z,2010-09-07T00:00:00.000Z,5
2010-09-07T00:00:00.000Z,2010-09-08T00:00:00.000Z,2
2010-09-08T00:00:00.000Z,2010-09-09T00:00:00.000Z,11
2010-09-09T00:00:00.000Z,2010-09-10T00:00:00.000Z,10
2010-09-10T00:00:00.000Z,2010-09-11T00:00:00.000Z,12
2010-09-11T00:00:00.000Z,2010-09-12T00:00:00.000Z,3
2010-09-12T00:00:00.000Z,2010-09-13T00:00:00.000Z,5
2010-09-13T00:00:00.000Z,2010-09-14T00:00:00.000Z,2
2010-09-14T00:00:00.000Z,2010-09-15T00:00:00.000Z,3
2010-09-15T00:00:00.000Z,2010-09-16T00:00:00.000Z,2
2010-07-16T00:00:00.000Z,2010-07-17T00:00:00.000Z,2
2010-07-17T00:00:00.000Z,2010-07-18T00:00:00.000Z,1
2010-07-18T00:00:00.000Z,2010-07-19T00:00:00.000Z,1
2010-07-19T00:00:00.000Z,2010-07-20T00:00:00.000Z,0
2010-07-20T00:00:00.000Z,2010-07-21T00:00:00.000Z,1
2010-07-21T00:00:00.000Z,2010-07-22T00:00:00.000Z,1
2010-07-22T00:00:00.000Z,2010-07-23T00:00:00.000Z,3
2010-07-23T00:00:00.000Z,2010-07-24T00:00:00.000Z,18
2010-07-24T00:00:00.000Z,2010-07-25T00:00:00.000Z,26
2010-07-25T00:00:00.000Z,2010-07-26T00:00:00.000Z,1
2010-07-26T00:00:00.000Z,2010-07-27T00:00:00.000Z,1
2010-07-27T00:00:00.000Z,2010-07-28T00:00:00.000Z,1
2010-07-28T00:00:00.000Z,2010-07-29T00:00:00.000Z,7
2010-07-29T00:00:00.000Z,2010-07-30T00:00:00.000Z,4
2010-07-30T00:00:00.000Z,2010-07-31T00:00:00.000Z,3
2010-07-31T00:00:00.000Z,2010-08-01T00:00:00.000Z,3
2010-08-01T00:00:00.000Z,2010-08-02T00:00:00.000Z,0
2010-08-02T00:00:00.000Z,2010-08-03T00:00:00.000Z,1
2010-08-03T00:00:00.000Z,2010-08-04T00:00:00.000Z,1
2010-08-04T00:00:00.000Z,2010-08-05T00:00:00.000Z,1
2010-08-05T00:00:00.000Z,2010-08-06T00:00:00.000Z,3
2010-08-06T00:00:00.000Z,2010-08-07T00:00:00.000Z,6
2010-08-07T00:00:00.000Z,2010-08-08T00:00:00.000Z,2
2010-08-08T00:00:00.000Z,2010-08-09T00:00:00.000Z,0
2010-08-09T00:00:00.000Z,2010-08-10T00:00:00.000Z,2
2010-08-10T00:00:00.000Z,2010-08-11T00:00:00.000Z,3
2010-08-11T00:00:00.000Z,2010-08-12T00:00:00.000Z,0
2010-08-12T00:00:00.000Z,2010-08-13T00:00:00.000Z,0
2010-08-13T00:00:00.000Z,2010-08-14T00:00:00.000Z,4
2010-08-14T00:00:00.000Z,2010-08-15T00:00:00.000Z,0
2010-08-15T00:00:00.000Z,2010-08-16T00:00:00.000Z,0
2010-06-15T00:00:00.000Z,2010-06-16T00:00:00.000Z,43
2010-06-16T00:00:00.000Z,2010-06-17T00:00:00.000Z,4
2010-06-17T00:00:00.000Z,2010-06-18T00:00:00.000Z,2
2010-06-18T00:00:00.000Z,2010-06-19T00:00:00.000Z,2
2010-06-19T00:00:00.000Z,2010-06-20T00:00:00.000Z,0
2010-06-20T00:00:00.000Z,2010-06-21T00:00:00.000Z,1
2010-06-21T00:00:00.000Z,2010-06-22T00:00:00.000Z,35
2010-06-22T00:00:00.000Z,2010-06-23T00:00:00.000Z,5
2010-06-23T00:00:00.000Z,2010-06-24T00:00:00.000Z,5
2010-06-24T00:00:00.000Z,2010-06-25T00:00:00.000Z,4
2010-06-25T00:00:00.000Z,2010-06-26T00:00:00.000Z,8
2010-06-26T00:00:00.000Z,2010-06-27T00:00:00.000Z,16
2010-06-27T00:00:00.000Z,2010-06-28T00:00:00.000Z,7
2010-06-28T00:00:00.000Z,2010-06-29T00:00:00.000Z,1
2010-06-29T00:00:00.000Z,2010-06-30T00:00:00.000Z,6
2010-06-30T00:00:00.000Z,2010-07-01T00:00:00.000Z,4
2010-07-01T00:00:00.000Z,2010-07-02T00:00:00.000Z,5
2010-07-02T00:00:00.000Z,2010-07-03T00:00:00.000Z,2
2010-07-03T00:00:00.000Z,2010-07-04T00:00:00.000Z,11
2010-07-04T00:00:00.000Z,2010-07-05T00:00:00.000Z,3
2010-07-05T00:00:00.000Z,2010-07-06T00:00:00.000Z,2
2010-07-06T00:00:00.000Z,2010-07-07T00:00:00.000Z,2
2010-07-07T00:00:00.000Z,2010-07-08T00:00:00.000Z,2
2010-07-08T00:00:00.000Z,2010-07-09T00:00:00.000Z,0
2010-07-09T00:00:00.000Z,2010-07-10T00:00:00.000Z,1
2010-07-10T00:00:00.000Z,2010-07-11T00:00:00.000Z,0
2010-07-11T00:00:00.000Z,2010-07-12T00:00:00.000Z,0
2010-07-12T00:00:00.000Z,2010-07-13T00:00:00.000Z,2
2010-07-13T00:00:00.000Z,2010-07-14T00:00:00.000Z,2
2010-07-14T00:00:00.000Z,2010-07-15T00:00:00.000Z,1
2010-07-15T00:00:00.000Z,2010-07-16T00:00:00.000Z,0
2010-05-15T00:00:00.000Z,2010-05-16T00:00:00.000Z,1
2010-05-16T00:00:00.000Z,2010-05-17T00:00:00.000Z,0
2010-05-17T00:00:00.000Z,2010-05-18T00:00:00.000Z,0
2010-05-18T00:00:00.000Z,2010-05-19T00:00:00.000Z,0
2010-05-19T00:00:00.000Z,2010-05-20T00:00:00.000Z,0
2010-05-20T00:00:00.000Z,2010-05-21T00:00:00.000Z,2
2010-05-21T00:00:00.000Z,2010-05-22T00:00:00.000Z,1
2010-05-22T00:00:00.000Z,2010-05-23T00:00:00.000Z,1
2010-05-23T00:00:00.000Z,2010-05-24T00:00:00.000Z,0
2010-05-24T00:00:00.000Z,2010-05-25T00:00:00.000Z,0
2010-05-25T00:00:00.000Z,2010-05-26T00:00:00.000Z,1
2010-05-26T00:00:00.000Z,2010-05-27T00:00:00.000Z,0
2010-05-27T00:00:00.000Z,2010-05-28T00:00:00.000Z,2
2010-05-28T00:00:00.000Z,2010-05-29T00:00:00.000Z,1
2010-05-29T00:00:00.000Z,2010-05-30T00:00:00.000Z,0
2010-05-30T00:00:00.000Z,2010-05-31T00:00:00.000Z,1
2010-05-31T00:00:00.000Z,2010-06-01T00:00:00.000Z,1
2010-06-01T00:00:00.000Z,2010-06-02T00:00:00.000Z,0
2010-06-02T00:00:00.000Z,2010-06-03T00:00:00.000Z,1
2010-06-03T00:00:00.000Z,2010-06-04T00:00:00.000Z,2
2010-06-04T00:00:00.000Z,2010-06-05T00:00:00.000Z,3
2010-06-05T00:00:00.000Z,2010-06-06T00:00:00.000Z,0
2010-06-06T00:00:00.000Z,2010-06-07T00:00:00.000Z,1
2010-06-07T00:00:00.000Z,2010-06-08T00:00:00.000Z,5
2010-06-08T00:00:00.000Z,2010-06-09T00:00:00.000Z,14
2010-06-09T00:00:00.000Z,2010-06-10T00:00:00.000Z,4
2010-06-10T00:00:00.000Z,2010-06-11T00:00:00.000Z,2
2010-06-11T00:00:00.000Z,2010-06-12T00:00:00.000Z,1
2010-06-12T00:00:00.000Z,2010-06-13T00:00:00.000Z,0
2010-06-13T00:00:00.000Z,2010-06-14T00:00:00.000Z,0
2010-06-14T00:00:00.000Z,2010-06-15T00:00:00.000Z,2
2010-04-14T00:00:00.000Z,2010-04-15T00:00:00.000Z,0
2010-04-15T00:00:00.000Z,2010-04-16T00:00:00.000Z,0
2010-04-16T00:00:00.000Z,2010-04-17T00:00:00.000Z,0
2010-04-17T00:00:00.000Z,2010-04-18T00:00:00.000Z,1
2010-04-18T00:00:00.000Z,2010-04-19T00:00:00.000Z,1
2010-04-19T00:00:00.000Z,2010-04-20T00:00:00.000Z,0
2010-04-20T00:00:00.000Z,2010-04-21T00:00:00.000Z,11
2010-04-21T00:00:00.000Z,2010-04-22T00:00:00.000Z,5
2010-04-22T00:00:00.000Z,2010-04-23T00:00:00.000Z,2
2010-04-23T00:00:00.000Z,2010-04-24T00:00:00.000Z,0
2010-04-24T00:00:00.000Z,2010-04-25T00:00:00.000Z,0
2010-04-25T00:00:00.000Z,2010-04-26T00:00:00.000Z,4
2010-04-26T00:00:00.000Z,2010-04-27T00:00:00.000Z,0
2010-04-27T00:00:00.000Z,2010-04-28T00:00:00.000Z,3
2010-04-28T00:00:00.000Z,2010-04-29T00:00:00.000Z,2
2010-04-29T00:00:00.000Z,2010-04-30T00:00:00.000Z,0
2010-04-30T00:00:00.000Z,2010-05-01T00:00:00.000Z,0
2010-05-01T00:00:00.000Z,2010-05-02T00:00:00.000Z,0
2010-05-02T00:00:00.000Z,2010-05-03T00:00:00.000Z,0
2010-05-03T00:00:00.000Z,2010-05-04T00:00:00.000Z,2
2010-05-04T00:00:00.000Z,2010-05-05T00:00:00.000Z,3
2010-05-05T00:00:00.000Z,2010-05-06T00:00:00.000Z,0
2010-05-06T00:00:00.000Z,2010-05-07T00:00:00.000Z,3
2010-05-07T00:00:00.000Z,2010-05-08T00:00:00.000Z,3
2010-05-08T00:00:00.000Z,2010-05-09T00:00:00.000Z,3
2010-05-09T00:00:00.000Z,2010-05-10T00:00:00.000Z,0
2010-05-10T00:00:00.000Z,2010-05-11T00:00:00.000Z,0
2010-05-11T00:00:00.000Z,2010-05-12T00:00:00.000Z,1
2010-05-12T00:00:00.000Z,2010-05-13T00:00:00.000Z,0
2010-05-13T00:00:00.000Z,2010-05-14T00:00:00.000Z,0
2010-05-14T00:00:00.000Z,2010-05-15T00:00:00.000Z,1
2010-03-14T00:00:00.000Z,2010-03-15T00:00:00.000Z,2
2010-03-15T00:00:00.000Z,2010-03-16T00:00:00.000Z,3
2010-03-16T00:00:00.000Z,2010-03-17T00:00:00.000Z,6
2010-03-17T00:00:00.000Z,2010-03-18T00:00:00.000Z,3
2010-03-18T00:00:00.000Z,2010-03-19T00:00:00.000Z,1
2010-03-19T00:00:00.000Z,2010-03-20T00:00:00.000Z,0
2010-03-20T00:00:00.000Z,2010-03-21T00:00:00.000Z,1
2010-03-21T00:00:00.000Z,2010-03-22T00:00:00.000Z,0
2010-03-22T00:00:00.000Z,2010-03-23T00:00:00.000Z,0
2010-03-23T00:00:00.000Z,2010-03-24T00:00:00.000Z,1
2010-03-24T00:00:00.000Z,2010-03-25T00:00:00.000Z,7
2010-03-25T00:00:00.000Z,2010-03-26T00:00:00.000Z,1
2010-03-26T00:00:00.000Z,2010-03-27T00:00:00.000Z,0
2010-03-27T00:00:00.000Z,2010-03-28T00:00:00.000Z,2
2010-03-28T00:00:00.000Z,2010-03-29T00:00:00.000Z,0
2010-03-29T00:00:00.000Z,2010-03-30T00:00:00.000Z,0
2010-03-30T00:00:00.000Z,2010-03-31T00:00:00.000Z,1
2010-03-31T00:00:00.000Z,2010-04-01T00:00:00.000Z,0
2010-04-01T00:00:00.000Z,2010-04-02T00:00:00.000Z,1
2010-04-02T00:00:00.000Z,2010-04-03T00:00:00.000Z,4
2010-04-03T00:00:00.000Z,2010-04-04T00:00:00.000Z,1
2010-04-04T00:00:00.000Z,2010-04-05T00:00:00.000Z,1
2010-04-05T00:00:00.000Z,2010-04-06T00:00:00.000Z,0
2010-04-06T00:00:00.000Z,2010-04-07T00:00:00.000Z,2
2010-04-07T00:00:00.000Z,2010-04-08T00:00:00.000Z,2
2010-04-08T00:00:00.000Z,2010-04-09T00:00:00.000Z,0
2010-04-09T00:00:00.000Z,2010-04-10T00:00:00.000Z,0
2010-04-10T00:00:00.000Z,2010-04-11T00:00:00.000Z,0
2010-04-11T00:00:00.000Z,2010-04-12T00:00:00.000Z,1
2010-04-12T00:00:00.000Z,2010-04-13T00:00:00.000Z,0
2010-04-13T00:00:00.000Z,2010-04-14T00:00:00.000Z,1
2010-02-11T00:00:00.000Z,2010-02-12T00:00:00.000Z,0
2010-02-12T00:00:00.000Z,2010-02-13T00:00:00.000Z,0
2010-02-13T00:00:00.000Z,2010-02-14T00:00:00.000Z,0
2010-02-14T00:00:00.000Z,2010-02-15T00:00:00.000Z,0
2010-02-15T00:00:00.000Z,2010-02-16T00:00:00.000Z,1
2010-02-16T00:00:00.000Z,2010-02-17T00:00:00.000Z,2
2010-02-17T00:00:00.000Z,2010-02-18T00:00:00.000Z,0
2010-02-18T00:00:00.000Z,2010-02-19T00:00:00.000Z,0
2010-02-19T00:00:00.000Z,2010-02-20T00:00:00.000Z,1
2010-02-20T00:00:00.000Z,2010-02-21T00:00:00.000Z,0
2010-02-21T00:00:00.000Z,2010-02-22T00:00:00.000Z,0
2010-02-22T00:00:00.000Z,2010-02-23T00:00:00.000Z,0
2010-02-23T00:00:00.000Z,2010-02-24T00:00:00.000Z,0
2010-02-24T00:00:00.000Z,2010-02-25T00:00:00.000Z,0
2010-02-25T00:00:00.000Z,2010-02-26T00:00:00.000Z,1
2010-02-26T00:00:00.000Z,2010-02-27T00:00:00.000Z,0
2010-02-27T00:00:00.000Z,2010-02-28T00:00:00.000Z,0
2010-02-28T00:00:00.000Z,2010-03-01T00:00:00.000Z,0
2010-03-01T00:00:00.000Z,2010-03-02T00:00:00.000Z,0
2010-03-02T00:00:00.000Z,2010-03-03T00:00:00.000Z,0
2010-03-03T00:00:00.000Z,2010-03-04T00:00:00.000Z,0
2010-03-04T00:00:00.000Z,2010-03-05T00:00:00.000Z,1
2010-03-05T00:00:00.000Z,2010-03-06T00:00:00.000Z,0
2010-03-06T00:00:00.000Z,2010-03-07T00:00:00.000Z,0
2010-03-07T00:00:00.000Z,2010-03-08T00:00:00.000Z,5
2010-03-08T00:00:00.000Z,2010-03-09T00:00:00.000Z,2
2010-03-09T00:00:00.000Z,2010-03-10T00:00:00.000Z,0
2010-03-10T00:00:00.000Z,2010-03-11T00:00:00.000Z,0
2010-03-11T00:00:00.000Z,2010-03-12T00:00:00.000Z,0
2010-03-12T00:00:00.000Z,2010-03-13T00:00:00.000Z,0
2010-03-13T00:00:00.000Z,2010-03-14T00:00:00.000Z,4
2010-01-11T00:00:00.000Z,2010-01-12T00:00:00.000Z,0
2010-01-12T00:00:00.000Z,2010-01-13T00:00:00.000Z,0
2010-01-13T00:00:00.000Z,2010-01-14T00:00:00.000Z,0
2010-01-14T00:00:00.000Z,2010-01-15T00:00:00.000Z,0
2010-01-15T00:00:00.000Z,2010-01-16T00:00:00.000Z,0
2010-01-16T00:00:00.000Z,2010-01-17T00:00:00.000Z,0
2010-01-17T00:00:00.000Z,2010-01-18T00:00:00.000Z,0
2010-01-18T00:00:00.000Z,2010-01-19T00:00:00.000Z,0
2010-01-19T00:00:00.000Z,2010-01-20T00:00:00.000Z,0
2010-01-20T00:00:00.000Z,2010-01-21T00:00:00.000Z,1
2010-01-21T00:00:00.000Z,2010-01-22T00:00:00.000Z,0
2010-01-22T00:00:00.000Z,2010-01-23T00:00:00.000Z,1
2010-01-23T00:00:00.000Z,2010-01-24T00:00:00.000Z,0
2010-01-24T00:00:00.000Z,2010-01-25T00:00:00.000Z,0
2010-01-25T00:00:00.000Z,2010-01-26T00:00:00.000Z,0
2010-01-26T00:00:00.000Z,2010-01-27T00:00:00.000Z,0
2010-01-27T00:00:00.000Z,2010-01-28T00:00:00.000Z,0
2010-01-28T00:00:00.000Z,2010-01-29T00:00:00.000Z,0
2010-01-29T00:00:00.000Z,2010-01-30T00:00:00.000Z,0
2010-01-30T00:00:00.000Z,2010-01-31T00:00:00.000Z,0
2010-01-31T00:00:00.000Z,2010-02-01T00:00:00.000Z,0
2010-02-01T00:00:00.000Z,2010-02-02T00:00:00.000Z,0
2010-02-02T00:00:00.000Z,2010-02-03T00:00:00.000Z,1
2010-02-03T00:00:00.000Z,2010-02-04T00:00:00.000Z,0
2010-02-04T00:00:00.000Z,2010-02-05T00:00:00.000Z,1
2010-02-05T00:00:00.000Z,2010-02-06T00:00:00.000Z,0
2010-02-06T00:00:00.000Z,2010-02-07T00:00:00.000Z,2
2010-02-07T00:00:00.000Z,2010-02-08T00:00:00.000Z,0
2010-02-08T00:00:00.000Z,2010-02-09T00:00:00.000Z,1
2010-02-09T00:00:00.000Z,2010-02-10T00:00:00.000Z,0
2010-02-10T00:00:00.000Z,2010-02-11T00:00:00.000Z,0
2009-12-11T00:00:00.000Z,2009-12-12T00:00:00.000Z,0
2009-12-12T00:00:00.000Z,2009-12-13T00:00:00.000Z,0
2009-12-13T00:00:00.000Z,2009-12-14T00:00:00.000Z,0
2009-12-14T00:00:00.000Z,2009-12-15T00:00:00.000Z,0
2009-12-15T00:00:00.000Z,2009-12-16T00:00:00.000Z,0
2009-12-16T00:00:00.000Z,2009-12-17T00:00:00.000Z,0
2009-12-17T00:00:00.000Z,2009-12-18T00:00:00.000Z,0
2009-12-18T00:00:00.000Z,2009-12-19T00:00:00.000Z,0
2009-12-19T00:00:00.000Z,2009-12-20T00:00:00.000Z,0
2009-12-20T00:00:00.000Z,2009-12-21T00:00:00.000Z,0
2009-12-21T00:00:00.000Z,2009-12-22T00:00:00.000Z,0
2009-12-22T00:00:00.000Z,2009-12-23T00:00:00.000Z,0
2009-12-23T00:00:00.000Z,2009-12-24T00:00:00.000Z,0
2009-12-24T00:00:00.000Z,2009-12-25T00:00:00.000Z,0
2009-12-25T00:00:00.000Z,2009-12-26T00:00:00.000Z,0
2009-12-26T00:00:00.000Z,2009-12-27T00:00:00.000Z,0
2009-12-27T00:00:00.000Z,2009-12-28T00:00:00.000Z,0
2009-12-28T00:00:00.000Z,2009-12-29T00:00:00.000Z,0
2009-12-29T00:00:00.000Z,2009-12-30T00:00:00.000Z,0
2009-12-30T00:00:00.000Z,2009-12-31T00:00:00.000Z,0
2009-12-31T00:00:00.000Z,2010-01-01T00:00:00.000Z,0
2010-01-01T00:00:00.000Z,2010-01-02T00:00:00.000Z,0
2010-01-02T00:00:00.000Z,2010-01-03T00:00:00.000Z,0
2010-01-03T00:00:00.000Z,2010-01-04T00:00:00.000Z,0
2010-01-04T00:00:00.000Z,2010-01-05T00:00:00.000Z,2
2010-01-05T00:00:00.000Z,2010-01-06T00:00:00.000Z,0
2010-01-06T00:00:00.000Z,2010-01-07T00:00:00.000Z,0
2010-01-07T00:00:00.000Z,2010-01-08T00:00:00.000Z,2
