season,team,gp,w,l,wl%,bat#,pa,ab,r,h,1b,2b,3b,hr,rbi,sb,cs,bb,so,ba,obp,slg,ops,ops+,tb,gidp,hbp,sh,sf,ibb,lob,r/gm,decade,series_win,hr/gm,h/gm,bb/gm,sb/gm
2022,Los Angeles Dodgers,131,90,41,0.687,29,5059,4473,695,1162,694,273,25,170,662.0,84.0,14.0,493,1096.0,0.26,0.336,0.446,0.782,114,1995,75.0,45,1.0,45.0,16.0,936.0,5.3,2020s,No win,1.3,8.87,3.76,0.64
2021,Los Angeles Dodgers,162,106,56,0.654,61,6239,5445,830,1330,822,247,24,237,799.0,65.0,17.0,613,1408.0,0.244,0.33,0.429,0.759,101,2336,96.0,104,32.0,45.0,36.0,1169.0,5.1,2020s,No win,1.46,8.21,3.78,0.4
2020,Los Angeles Dodgers,60,43,17,0.717,19,2316,2042,349,523,302,97,6,118,327.0,29.0,8.0,228,471.0,0.256,0.338,0.483,0.821,119,986,46.0,30,3.0,12.0,7.0,401.0,5.8,2020s,World Series win,1.97,8.72,3.8,0.48
2019,Los Angeles Dodgers,162,106,56,0.654,46,6282,5493,886,1414,813,302,20,279,861.0,57.0,10.0,607,1356.0,0.257,0.338,0.472,0.81,111,2593,100.0,81,55.0,45.0,47.0,1124.0,5.5,2010s,No win,1.72,8.73,3.75,0.35
2018,Los Angeles Dodgers,163,92,71,0.564,52,6358,5572,804,1394,830,296,33,235,756.0,75.0,24.0,647,1436.0,0.25,0.333,0.442,0.774,109,2461,119.0,61,39.0,39.0,47.0,1163.0,4.9,2010s,No win,1.44,8.55,3.97,0.46
2017,Los Angeles Dodgers,162,104,58,0.642,52,6191,5408,770,1347,794,312,20,221,730.0,77.0,28.0,649,1380.0,0.249,0.334,0.437,0.771,104,2362,119.0,64,31.0,38.0,41.0,1146.0,4.8,2010s,No win,1.36,8.31,4.01,0.48
2016,Los Angeles Dodgers,162,91,71,0.562,55,6164,5518,725,1376,894,272,21,189,680.0,45.0,26.0,525,1321.0,0.249,0.319,0.409,0.728,95,2257,120.0,58,30.0,32.0,31.0,1106.0,4.5,2010s,No win,1.17,8.49,3.24,0.28
2015,Los Angeles Dodgers,162,92,70,0.568,55,6090,5385,667,1346,870,263,26,187,638.0,59.0,34.0,563,1258.0,0.25,0.326,0.413,0.739,106,2222,135.0,60,49.0,30.0,31.0,1121.0,4.1,2010s,No win,1.15,8.31,3.48,0.36
2014,Los Angeles Dodgers,162,94,68,0.58,48,6231,5560,718,1476,1002,302,38,134,686.0,138.0,50.0,519,1246.0,0.265,0.333,0.406,0.738,110,2256,119.0,61,47.0,43.0,30.0,1159.0,4.4,2010s,No win,0.83,9.11,3.2,0.85
2013,Los Angeles Dodgers,162,92,70,0.568,49,6145,5491,649,1447,1011,281,17,138,618.0,78.0,28.0,476,1146.0,0.264,0.326,0.396,0.722,103,2176,130.0,57,71.0,48.0,45.0,1175.0,4.0,2010s,No win,0.85,8.93,2.94,0.48
2012,Los Angeles Dodgers,162,86,76,0.531,50,6091,5438,637,1369,961,269,23,116,607.0,104.0,44.0,481,1156.0,0.252,0.317,0.374,0.69,91,2032,139.0,52,82.0,38.0,49.0,1112.0,3.9,2010s,No win,0.72,8.45,2.97,0.64
2011,Los Angeles Dodgers,161,82,79,0.509,48,6094,5436,644,1395,1013,237,28,117,613.0,126.0,40.0,498,1087.0,0.257,0.322,0.375,0.697,95,2039,101.0,45,71.0,43.0,61.0,1165.0,4.0,2010s,No win,0.73,8.66,3.09,0.78
2010,Los Angeles Dodgers,162,80,82,0.494,49,6140,5426,667,1368,949,270,29,120,621.0,92.0,50.0,533,1184.0,0.252,0.322,0.379,0.7,92,2056,123.0,46,85.0,50.0,57.0,1142.0,4.1,2010s,No win,0.74,8.44,3.29,0.57
2009,Los Angeles Dodgers,162,95,67,0.586,47,6385,5592,780,1511,1049,278,39,145,739.0,116.0,48.0,607,1068.0,0.27,0.346,0.412,0.758,104,2302,141.0,63,78.0,44.0,76.0,1224.0,4.8,2000s,No win,0.9,9.33,3.75,0.72
2008,Los Angeles Dodgers,162,84,78,0.519,46,6194,5506,700,1455,1018,271,29,137,659.0,126.0,43.0,543,1032.0,0.264,0.333,0.399,0.732,93,2195,153.0,43,64.0,38.0,62.0,1161.0,4.3,2000s,No win,0.85,8.98,3.35,0.78
2007,Los Angeles Dodgers,162,82,80,0.506,45,6282,5614,735,1544,1104,276,35,129,706.0,137.0,50.0,511,864.0,0.275,0.337,0.406,0.743,91,2277,116.0,41,58.0,55.0,41.0,1200.0,4.5,2000s,No win,0.8,9.53,3.15,0.85
2006,Los Angeles Dodgers,162,88,74,0.543,50,6394,5628,820,1552,1034,307,58,153,787.0,128.0,49.0,601,959.0,0.276,0.348,0.432,0.781,99,2434,140.0,51,66.0,48.0,61.0,1223.0,5.1,2000s,No win,0.94,9.58,3.71,0.79
2005,Los Angeles Dodgers,162,71,91,0.438,44,6134,5433,685,1374,920,284,21,149,653.0,58.0,35.0,541,1094.0,0.253,0.326,0.395,0.721,90,2147,139.0,67,57.0,33.0,30.0,1135.0,4.2,2000s,No win,0.92,8.48,3.34,0.36
2004,Los Angeles Dodgers,162,93,69,0.574,43,6244,5542,761,1450,991,226,30,203,731.0,102.0,41.0,536,1092.0,0.262,0.332,0.423,0.755,98,2345,121.0,62,69.0,35.0,45.0,1152.0,4.7,2000s,No win,1.25,8.95,3.31,0.63
2003,Los Angeles Dodgers,162,85,77,0.525,44,6036,5458,574,1328,919,260,25,124,544.0,80.0,36.0,407,985.0,0.243,0.303,0.368,0.671,79,2010,121.0,72,71.0,28.0,43.0,1108.0,3.5,2000s,No win,0.77,8.2,2.51,0.49
