Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Armenia,ARM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-11.69999848,-41.80000275,-8.799998793,5.400002779,6.89999842,5.865400749,3.3210797,7.299999988,3.300000001,5.900000003,9.599999999,13.2,14,10.5,13.9,13.2,13.7,6.9,-14.1,2.2,4.699999999,7.200000001,3.3,3.600000001,3.199999999,0.2,7.500000002,5.2,7.599999999,-7.4,5.7
American Samoa,ASM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.965517241,0.409836066,-0.408163265,-4.098360656,1.851851852,-2.657342657,-4.166666667,0.299850075,0,-4.334828102,-2.5,1.762820513,3.149606299,-1.679389313,-6.98757764,2.671118531,-0.487804878,3.921568627,
Antigua and Barbuda,ATG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,4.38362792,8.079745337,8.161430797,3.814916166,-0.084012264,5.364016269,10.1649956,7.643793593,11.49382857,6.626368845,5.213272897,5.252274661,3.011714684,2.176578603,1.158475191,5.279878709,6.676707103,-4.359587382,6.604459721,5.471608482,4.731125092,3.70761791,6.203431254,-4.548003473,1.02744197,6.076543688,5.767028612,6.473831316,12.70814853,9.315383163,-0.014340652,-11.96269725,-7.840594744,-1.958612628,3.3728662,-0.600876397,3.795727613,3.825293099,5.496459204,3.14432324,6.883640817,4.862236166,-20.19237057,5.27084884
Australia,AUS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,2.483270502,1.294468244,6.214948975,6.978540372,5.980892513,2.38196612,6.303650146,5.095103197,7.043526256,7.175781587,3.99961512,3.909055505,2.619193059,4.105459418,1.335646309,2.591326668,3.592862376,0.894104096,4.050780581,3.035399277,3.338807333,3.322867861,-2.221969433,4.595924261,5.252115245,4.030968026,2.547932014,5.743677843,3.864440449,3.5735069,-0.395087177,0.413780384,4.033567141,3.980473667,3.833830589,3.854419963,3.908290893,4.614011576,4.936674928,3.912427733,2.038300732,4.014526654,3.110325109,4.205446887,3.160338325,2.726893446,3.768487516,3.577014878,1.86683207,2.172337091,2.469746294,3.917362463,2.600211881,2.562931521,2.172204753,2.741643069,2.295926947,2.87097248,2.113149425,-0.003836559,1.475162883
Austria,AUT,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,5.537979317,2.648675113,4.138267582,6.124353738,3.480174918,5.642861411,3.008047798,4.472312782,6.275867166,6.321142632,5.114968585,6.207861086,4.890435317,3.942138071,-0.363735434,4.578445433,5.079980594,-0.210653695,5.3566999,1.731485595,-0.144294691,2.011254708,2.97308803,0.051274763,2.498678497,2.301393212,1.357168064,3.295879898,3.887074818,4.345641399,3.441627777,2.093524617,0.526809204,2.402119074,2.667983531,2.349533852,2.09359939,3.581425815,3.556331247,3.375722147,1.267168189,1.651553922,0.941470921,2.735120222,2.244065325,3.454041836,3.727415301,1.460423676,-3.764578178,1.837093677,2.922797284,0.680445577,0.025504712,0.661272849,1.014501586,1.989437162,2.258572433,2.501595119,1.49121085,-6.734514076,4.483969206
Azerbaijan,AZE,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.700000176,-22.60000033,-23.09999872,-19.70000124,-11.79999911,1.299999405,5.800000148,9.999999612,7.4000013,11.09999914,9.899999865,9.438916269,10.2082994,9.253801797,27.96153811,34.5,24.99999985,10.75897806,9.296363744,5.048944513,0.100000138,2.165239475,5.809800843,2.750506815,1.093975916,-3.09999988,0.199999939,1.5,2.500000067,-4.300000102,5.600037273
Burundi,BDI,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,-13.74613505,9.063157934,4.135407422,6.273037901,3.967225609,4.612992896,13.8215186,-0.297883673,-1.459541142,21.32567073,2.746828712,-6.403964924,6.889050719,-0.726839563,0.697920236,7.942660976,11.46945304,-0.940575988,1.66495495,0.991055725,12.16327557,-1.05359982,3.715326991,0.155544005,11.78318018,3.25018046,5.50309612,5.031024367,1.349502237,3.499822136,4.996836448,1.009998371,-6.240000001,-3.829999996,-7.920000004,-7.999999998,-1.589999997,4.749999995,-1.009999996,-0.856864058,2.055807108,4.446519412,-1.22372796,4.833657768,0.900000001,5.413807145,3.45195249,4.861712995,3.812746937,5.124157796,4.032599988,4.446706331,4.924189898,4.240650214,-3.90000008,-0.600000909,0.500001262,1.609935421,1.812565324,0.327156893,1.795299998
Belgium,BEL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,4.978423063,5.212003509,4.351584282,6.956684733,3.56065984,3.155894982,3.868146947,4.194129625,6.629799795,5.582858284,3.98582711,5.295604743,6.381701958,4.565257973,-1.965941566,5.652745933,0.626154854,2.841896491,2.341072956,4.444053876,-0.279283279,0.594986772,0.311842703,2.466382805,1.651792899,1.822761831,2.306659566,4.72320888,3.469166984,3.137402316,1.833074277,1.530654944,-0.96187331,3.226971525,2.38475728,1.32145093,3.79365763,1.961808272,3.542743464,3.716679384,1.099618888,1.706884585,1.037982549,3.571204343,2.321737054,2.552349944,3.676881136,0.446928735,-2.020743062,2.864292708,1.694513899,0.739217283,0.459242193,1.578533143,2.041459009,1.266686409,1.619580278,1.843899686,2.111531644,-5.680733655,6.244721946
Benin,BEN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,3.141280456,-3.426409821,4.730027971,6.650759128,5.293862829,3.575862732,1.078398667,3.842335635,2.877497974,2.097757581,-1.496841826,6.426367545,3.706165319,3.339312157,-4.895345447,0.884356333,4.98366373,1.255078028,6.535747415,6.781763868,9.954231167,2.235066344,-4.347822735,7.929839566,7.530324838,2.171141598,-1.500002952,3.405245296,-2.854160496,8.97613436,4.225799421,2.957710827,5.836172085,2.020400448,6.04519865,4.324284031,5.734688375,3.961012138,5.341449372,5.857714205,5.333135706,4.643030871,3.443576776,4.429684554,1.713164564,3.943738828,5.986349322,4.896577084,2.319292139,2.114064726,2.963752919,4.811223316,7.191433721,6.357679098,1.77815106,3.339673426,5.671555469,6.697259461,6.865687336,3.8487924,6.600001011
Burkina Faso,BFA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,4.043927978,6.12879878,-1.268016373,2.282819224,3.764545381,0.537613084,8.823314975,3.070773938,2.026081041,0.117019611,1.413339882,2.311498742,0.449327404,8.28642648,2.998382897,8.534894961,0.370353564,4.607825,3.664621512,0.796878879,4.255303395,9.562196622,0.34598474,-1.778696688,8.517364991,7.955362729,-0.236336789,5.795592965,2.150267272,-0.602928478,9.069984459,0.232710762,3.461384939,1.315007272,5.716373863,11.01474387,6.316834735,7.307719635,7.395237801,1.888473889,6.613405745,4.35296383,7.802493889,4.478452137,8.661873228,6.253164688,4.111379018,5.799991741,2.961950859,8.446281577,6.622562613,6.45267238,5.792584845,4.326845615,3.921228794,5.957976708,6.203489411,6.604569068,5.688115149,1.93032489,6.906341673
Bangladesh,BGD,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,6.058160825,5.45303097,-0.45589429,10.95278855,1.606258229,2.566812001,-1.87586392,9.489454015,1.220857909,5.619852293,-5.479483027,-13.9737287,3.325680199,9.5919563,-4.088214092,5.661361201,2.67305605,7.073837733,4.801634601,0.819141869,7.233943695,2.134327836,3.8810464,4.803310015,3.342014654,4.173382559,3.772401853,2.416256856,2.836582129,5.622258162,3.485227815,5.442685551,4.711561724,3.890126441,5.121277897,4.522919218,4.489896497,5.177026873,4.670156368,5.293294718,5.077287776,3.83312394,4.739567399,5.23953291,6.535944941,6.671904981,7.058599357,6.013789759,5.045124794,5.571788188,6.464379123,6.521458781,6.013605658,6.061059359,6.552639879,7.113478213,6.590249998,7.31941263,7.881915151,3.448021455,6.938675089
Bulgaria,BGR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,4.90016186,2.334565592,3.430305914,3.396443622,2.683440741,4.207602003,6.054513839,10.94469206,-3.289882068,-9.117377096,-8.445355196,-7.272387966,-1.480214854,1.818011334,2.855051003,5.205391742,-14.11538106,3.789122067,-8.396091161,4.587225342,3.823703664,5.871930278,5.237154278,6.510426379,7.056347526,6.802589382,6.591380837,6.116017964,-3.271854279,1.541801443,2.10120575,0.754930386,-0.560493966,0.966869032,3.428054914,3.039825276,2.76217096,2.684576131,4.037592082,-4.387149834,4.177873584
Bahrain,BHR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,-5.316697353,-7.556217712,6.3763768,5.003646045,-4.758268538,1.182993916,10.39900933,6.999991649,0.364007138,4.437997176,11.22999878,6.689998367,12.87000667,-0.250001485,3.929991545,4.110006115,3.092999787,4.790002789,4.29999896,5.300070056,2.490948108,3.348550668,6.296441979,6.980960594,6.768997871,6.467000122,8.293960448,6.245010775,2.539885936,4.334299173,1.983515012,3.72810843,5.41683981,4.350390853,2.485378558,3.558128119,4.290949778,2.111130473,2.166964669,-4.935854979,2.225351242
"Bahamas, The",BHS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,10.66709743,10.45197189,10.5240552,10.5015672,10.42559649,9.07192871,9.598113866,8.421763566,8.981662577,-5.649649519,1.62650874,-3.497335933,7.567568823,-16.75422908,-14.80312631,5.185184971,9.154929221,14.17952014,26.13929577,6.495281921,-9.22640508,6.698897757,3.597051868,14.17114862,4.829180115,1.797000227,2.984519344,2.309707661,6.7273298,-1.596249087,-4.181784781,-3.82558197,0.307806291,3.14891562,4.37875209,4.223530425,6.87573942,-4.503596622,12.19751829,4.149234046,2.625159596,2.704670969,-1.264526295,0.882740185,3.395260082,2.516853933,1.446733889,-2.323507236,-4.175805556,1.538385972,0.613384158,3.086879177,-2.863293945,1.84730294,0.996800846,-0.857664319,3.050157348,1.831007794,1.896163703,-23.82260759,13.71973494
Bosnia and Herzegovina,BIH,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.79999754,88.95766618,34.38957405,15.59999669,9.599999716,12.76546946,2.423313172,5.027444207,3.867138795,6.325266169,3.89717799,5.414003571,5.857126342,5.443831035,-3.00445593,0.86566926,0.959511247,-0.821836474,2.349856663,1.153851092,3.089162619,3.149807355,3.171434985,3.740072968,2.831001403,-3.119290497,7.102238832
Belarus,BLR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.19999557,-9.600001396,-7.600001842,-11.7000039,-10.40000049,2.800004651,11.40000541,8.39999142,3.399999163,5.80000344,4.725305994,5.04526748,7.043192559,11.44974311,9.400001524,9.999994812,8.600006536,10.19999944,0.19999531,7.798266823,5.37870745,1.687135536,1.003470841,1.726384854,-3.829570558,-2.526446436,2.5321835,3.149197594,1.4,-0.9,2.506742348
Belize,BLZ,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,4.892277219,4.89265218,4.956434195,4.99987991,4.930540961,4.770845113,4.913123162,7.367225457,5.106374791,4.807693364,3.959441082,10.21830384,5.351894111,13.55998517,3.592824442,-0.034020943,6.496594287,7.920807179,7.517021513,13.43668176,1.133770823,-0.107710429,-2.143179971,1.972065026,1.012513914,4.539456958,10.73530413,9.787711443,13.00922113,11.44338873,11.46403642,12.05832448,6.275780561,0.158421539,0.644486926,1.429112441,3.544653368,3.740514173,8.778854915,13.01957737,5.008884743,5.121602289,9.335873707,4.650236495,2.198011323,4.557515944,1.166518255,2.755039169,0.299811547,3.326500982,1.603504567,2.428309945,0.845842268,4.465445954,2.894945154,-0.179506906,2.128596594,2.044703177,1.964996302,-16.75012951,9.753163244
Bermuda,BMU,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,4.679999999,4.469999999,1.07,11.11,4.76,14.36363636,13.27503975,2.105263158,3.436426114,6.31229236,3.437500001,1.812688822,1.483679526,0.877192983,3.76811594,8.938547488,5.897435896,1.452784504,2.147971361,7.943925233,2.380952381,-5.285412261,2.008928572,0.481400436,-2.003484319,6.666666666,3.750000001,4.056224899,0.443844075,0.019212297,-3.5343821,-0.059738214,3.008567124,0.599613367,4.39914833,2.600475429,4.600000843,3.900000094,3.38264702,9.317156411,7.222435538,-1.477790598,3.410706677,2.321267223,1.674206114,5.54386638,3.345139709,-1.865955826,-5.626697711,-2.502878289,-3.742744317,-5.305299107,-0.279708545,-3.701067594,0.7755297,-0.657206304,3.611419837,-0.4328013,0.306266735,-6.853458192,1.852590029
Bolivia,BOL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,2.089295936,5.578917859,6.797625777,3.956596532,4.913441956,7.170589663,6.317219517,8.529443084,4.474097331,5.231029301,5.063336439,7.96748521,5.739161526,2.939567808,7.311017731,4.614567486,4.971215657,2.052694566,0.133344048,-1.371772911,0.275616375,-3.938737928,-4.0421214,-0.200665698,-1.676389781,-2.5738842,2.463484616,2.909497961,3.790130964,4.635787428,5.266526668,1.646498183,4.269296117,4.667265103,4.678276597,4.361341952,4.954208743,5.029354755,0.426885423,2.507810809,1.683799127,2.485565738,2.711339837,4.173295589,4.421433127,4.797008824,4.564384269,6.148497875,3.356999574,4.126722591,5.204092443,5.122275581,6.796011428,5.460569506,4.85718718,4.263920864,4.195206334,4.223623653,2.21670564,-8.737884358,6.105804204
Brazil,BRA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,8.6,6.6,0.6,3.4,2.4,6.7,4.2,9.8,9.5,10.4,11.34292199,11.94034812,13.96872178,8.153938685,5.166649084,10.25712953,4.93432807,4.969897689,6.759560122,9.2,-4.25,0.83,-2.93,5.4,7.85,7.49,3.53,-0.06,3.16,-4.35,1.032189585,-0.544072051,4.924690005,5.852870364,4.223793634,2.208864051,3.394845985,0.338097902,0.467937567,4.387949444,1.389896404,3.053461857,1.140828999,5.759964637,3.202132062,3.961988709,6.069870607,5.094195448,-0.125812003,7.528225818,3.974423079,1.921175985,3.00482267,0.50395574,-3.545763393,-3.275916906,1.322869054,1.783666761,1.220777823,-3.878676334,4.619421621
Barbados,BRB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,-1.900000001,4.360211005,3.642205769,4.876939315,7.893008137,4.373064814,-1.899751571,-4.900938478,0.501253133,3.600374065,1.098239807,5.104166667,2.590967011,3.50538228,3.6,-3.307593308,-3.899906828,-5.692520776,0.793067998,2.010782457,2.013998,3.976477177,4.740102343,3.728464901,0.334655429,4.447189623,-2.365464222,0.787401575,2.175480769,1.411598635,3.955457604,6.112713104,2.077648065,0.6400985,-5.017744078,-2.365164729,-0.687779587,-0.432678554,-1.447407479,-0.087262849,2.472620346,2.533023951,0.456291514,-1.027139116,-0.610274656,-13.98134966,1.4
Brunei Darussalam,BRN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,0.355463068,20.15539436,10.91669706,6.775834422,22.56242876,-6.996702984,-19.82671586,3.956654938,0.501465966,0.599876542,-1.49074908,-2.715469953,2.009129814,1.097367166,-1.074178573,1.089420535,3.145941362,4.758580846,0.304572874,3.145397395,4.47870734,2.878317747,-1.471171572,-0.558508851,3.052157142,2.849421858,2.744040518,3.872096967,2.903955477,0.504318253,0.387507208,4.397719678,0.154581812,-1.939714638,-1.764535541,2.598965746,3.745318352,0.912841671,-2.126028517,-2.508352566,-0.39238375,-2.477917718,1.328602552,0.052237791,3.869109865,1.13357335,-1.605545148
Bhutan,BTN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,15.12229484,3.439773849,10.43101594,4.556658989,4.028533,11.3921976,29.05432385,4.767373021,7.355567318,10.38311792,-0.407875687,4.600891432,1.98636659,4.95150367,7.074117278,5.565172862,5.373838519,5.914030835,7.983972022,3.355068285,8.348954483,10.99228184,7.823302361,6.008742236,7.287249352,6.999738095,18.36085406,4.799460612,6.748333748,11.945896,7.982617041,5.118400858,2.119972633,5.77649568,6.642232105,8.127033538,4.651834675,3.055129837,5.755169993,-10.07634116,
Botswana,BWA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,6.34328372,6.666667813,5.921045097,6.832300931,5.81395506,6.344019096,5.924559941,10.5670565,15.12340471,17.12026767,25.82110722,26.36194095,21.30318409,8.797795216,8.446250381,10.64737671,12.01204009,14.33280159,12.14858892,11.98690139,9.064857465,12.16553186,13.14672905,8.545383639,7.125271268,8.172924332,11.88192814,19.44996951,13.05940589,6.772821949,7.458709171,2.917070304,1.916107019,3.627916077,7.030410309,5.829800007,8.3258909,0.443663522,9.667240795,1.987695751,0.250573957,6.06953088,4.625894727,2.705821729,4.556645673,8.363871096,8.276763793,6.2454373,-7.652310196,8.563630828,6.048361448,4.456144448,11.34339701,4.149262247,-5.717682557,7.036896951,4.00344974,3.98039539,3.348910139,-8.726410346,11.36413637
Central African Republic,CAF,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,4.953553798,-3.713800184,-0.707010752,2.080324599,0.947578712,0.64478372,4.676613109,1.404113177,7.091542528,2.332880877,1.130202384,-0.000867175,1.888939956,6.339033612,0.404987104,5.432518987,3.806234914,1.209235419,-2.465137785,-4.478638848,-1.544465665,7.715783631,-8.126513593,9.481726653,3.927219538,3.577979254,-4.938987885,1.710165285,1.977270435,-2.147528066,-0.552543005,-6.424078199,0.335275685,4.89994941,7.200045558,-4.000092964,5.299936018,4.700142379,3.599974904,-2.48943244,4.464739026,3.616542192,-5.397485219,5.994884228,0.908210515,4.77108543,4.607534855,2.054130962,8.587260426,4.630818432,4.194615337,5.053761254,-36.3919771,0.081070515,4.33712103,4.750316841,4.527278213,3.789443593,3.1,0.899999997,0.900000007
Canada,CAN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,3.163291684,7.425384774,5.349546457,6.642894415,6.316714176,6.704991764,3.091205962,4.995666605,5.045456367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.79654248,3.970482637,4.917762744,1.405527589,3.422146171,3.811090153,3.914028782,4.995860869,4.165817627,6.868608857,1.007622695,-2.928400167,3.08949462,3.146881372,1.762222549,2.329122506,2.870036075,0.659176864,1.001394414,3.039880225,2.777040554,1.879592028,-5.233024303,4.562893863
Central Europe and the Baltics,CEB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.765806865,-1.951285594,1.547483072,4.105870715,5.712460104,4.544004094,2.31805624,2.681987238,1.910176163,3.955392173,3.074178433,3.606873838,4.084442949,5.835765857,5.018898893,6.587601356,6.422938436,3.927633589,-3.498802549,1.697187845,3.064457176,0.763027622,1.239258803,2.983471112,3.947582417,3.070299048,4.878516389,4.491153706,4.072102277,-3.770298718,5.564248543
Switzerland,CHE,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,1.60133593,-1.309417496,0.639079545,3.008456322,3.673595924,1.858632898,1.585478008,3.277596377,4.330794024,3.674625697,-0.915816589,-0.043732916,-0.125983738,1.269757732,0.480866574,0.493909886,2.269168119,3.065331375,1.745534401,3.976409234,1.575817262,-0.005506463,-0.046846373,2.821528115,2.882638434,4.015007608,3.995722246,2.755511436,-2.07963322,3.268101656,1.920445985,1.217193657,1.821667791,2.446845157,1.657768711,2.045186469,1.584819616,2.916905098,1.210992207,-2.392826042,3.69215263
Channel Islands,CHI,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.770264254,5.826641097,-1.512961187,-1.63220672,-3.202155582,0.224196561,1.377734278,4.882299801,5.898328992,,,,,,,,,,,,,,
