geoid,name,all_pop,hisp_pop,mexican_pop,hisp_pct_pop,mex_pct_all_pop,mex_pct_hisp_pop,lon,lat
0455000,"Phoenix, Arizona",1633017,695981,624916,42.62,38.27,89.79,-112.08908115591342,33.57198424145036
0477000,"Tucson, Arizona",541482,236118,213978,43.61,39.52,90.62,-110.87819250478465,32.15442951859449
0627000,"Fresno, California",525010,260447,240817,49.61,45.87,92.46,-119.79408043550376,36.783034551972236
0644000,"Los Angeles, California",3966936,1922409,1277998,48.46,32.22,66.48,-118.40834623660601,34.11821288466839
0664000,"Sacramento, California",500930,144582,123228,28.86,24.6,85.23,-121.46830787821212,38.56664236173701
0666000,"San Diego, California",1409573,427586,374439,30.33,26.56,87.57,-117.11980264081338,32.83510775285998
0667000,"San Francisco, California",874961,133314,68366,15.24,7.81,51.28,-122.44278188986353,37.75571010221874
0668000,"San Jose, California",1027690,324848,278808,31.61,27.13,85.83,-121.84739594882394,37.30091224715227
0820000,"Denver, Colorado",705576,210937,167050,29.9,23.68,79.19,-104.87603154505966,39.7621592700202
1150000,"Washington, District of Columbia",692683,76191,14053,11.0,2.03,18.44,-77.01469110414241,38.91004646292332
1235000,"Jacksonville, Florida",890467,88612,17428,9.95,1.96,19.67,-81.67562644632974,30.331672175431258
1714000,"Chicago, Illinois",2709534,780167,577906,28.79,21.33,74.07,-87.68597343047101,41.83712380503434
1836003,"Indianapolis, Indiana",864447,90381,61760,10.46,7.14,68.33,-86.14580880273103,39.7770628967932
2148006,"Louisville/Jefferson, Kentucky",617790,34738,12628,5.62,2.04,36.35,-85.64865603818507,38.166327147792025
2404000,"Baltimore, Maryland",609032,32183,7161,5.28,1.18,22.25,-76.61603577985616,39.30844745318525
2507000,"Boston, Massachusetts",684379,135757,7971,19.84,1.16,5.87,-71.0903426886786,42.31581867738071
2622000,"Detroit, Michigan",674841,51824,39374,7.68,5.83,75.98,-83.1052311941834,42.384663315547265
3240000,"Las Vegas, Nevada",634773,209846,156892,33.06,24.72,74.77,-115.26535143481452,36.23330664370533
3502000,"Albuquerque, New Mexico",559374,275104,156433,49.18,27.97,56.86,-106.64636889504416,35.10531293139267
3651000,"New York, New York",8419316,2447862,337134,29.07,4.0,13.77,-73.9308128472609,40.694326393774105
3712000,"Charlotte, North Carolina",857425,122427,45533,14.28,5.31,37.19,-80.83045916193228,35.20792117276758
3918000,"Columbus, Ohio",878553,54201,28266,6.17,3.22,52.15,-82.98498059879869,39.98615495102225
4055000,"Oklahoma City, Oklahoma",643692,126880,106713,19.71,16.58,84.11,-97.51359726193746,35.4676388683269
4159000,"Portland, Oregon",645291,62696,43978,9.72,6.82,70.14,-122.65001268964458,45.53713211112045
4260000,"Philadelphia, Pennsylvania",1579075,231858,20456,14.68,1.3,8.82,-75.13350549183144,40.00898594357909
4748000,"Memphis, Tennessee",651932,46878,33414,7.19,5.13,71.28,-89.97745661786645,35.104657775388745
4752006,"Nashville-Davidson, Tennessee",663750,69682,40900,10.5,6.16,58.7,-86.78425712156742,36.17141459760489
4805000,"Austin, Texas",950807,322458,258220,33.91,27.16,80.08,-97.7522154412035,30.300453283160472
4819000,"Dallas, Texas",1330612,556296,471303,41.81,35.42,84.72,-96.76631440638985,32.793552070225786
4824000,"El Paso, Texas",679813,553076,522794,81.36,76.9,94.52,-106.43078193410074,31.84789598716284
4827000,"Fort Worth, Texas",874401,306888,267137,35.1,30.55,87.05,-97.34731906520344,32.78106453930532
4835000,"Houston, Texas",2310432,1038872,734869,44.96,31.81,70.74,-95.39047115292435,29.786279026661862
4865000,"San Antonio, Texas",1508083,968712,858642,64.23,56.94,88.64,-98.52531075227839,29.46574342251728
5363000,"Seattle, Washington",724305,48229,28293,6.66,3.91,58.66,-122.33310568289174,47.62088706973385
5553000,"Milwaukee, Wisconsin",594548,112817,79475,18.98,13.37,70.45,-87.96713411892225,43.064053751038095
