area,vaccinations,pop_2019,vaccinations_pct,update_date
City of San Gabriel,8579,33721,25.4,2021-03-25
City of San Marino,3954,11148,35.5,2021-03-25
City of Santa Clarita,42332,170660,24.8,2021-03-25
City of Santa Fe Springs,3054,14475,21.1,2021-03-25
City of Santa Monica,22316,80251,27.8,2021-03-25
City of Sierra Madre,3234,9255,34.9,2021-03-25
City of Signal Hill,2351,9046,26,2021-03-25
City of South El Monte,2750,15858,17.3,2021-03-25
City of South Gate,11651,71455,16.3,2021-03-25
City of South Pasadena,7064,21506,32.8,2021-03-25
City of Temple City,8457,30661,27.6,2021-03-25
City of Torrance,33279,121277,27.4,2021-03-25
City of Vernon,84,222,37.8,2021-03-25
City of Walnut,7926,26458,30,2021-03-25
City of West Covina,21945,86215,25.5,2021-03-25
City of West Hollywood,7280,34195,21.3,2021-03-25
City of Westlake Village,1403,7234,19.4,2021-03-25
City of Whittier,15656,68364,22.9,2021-03-25
Los Angeles - Adams-Normandie,963,6300,15.3,2021-03-25
Los Angeles - Alsace,1249,9200,13.6,2021-03-25
Los Angeles - Angeles National Forest,Unreliable Data,38,Unreliable Data,2021-03-25
Los Angeles - Angelino Heights,337,2031,16.6,2021-03-25
Los Angeles - Arleta,5324,26334,20.2,2021-03-25
Los Angeles - Atwater Village,3218,12520,25.7,2021-03-25
Los Angeles - Baldwin Hills,4283,23952,17.9,2021-03-25
Los Angeles - Bel Air,2764,6968,39.7,2021-03-25
Los Angeles - Beverly Crest,3874,9960,38.9,2021-03-25
Los Angeles - Beverlywood,3320,9756,34,2021-03-25
Los Angeles - Boyle Heights,10821,62635,17.3,2021-03-25
Los Angeles - Brentwood,8947,25799,34.7,2021-03-25
Los Angeles - Brookside,163,457,35.7,2021-03-25
Los Angeles - Cadillac-Corning,781,5425,14.4,2021-03-25
Los Angeles - Canoga Park,8211,49538,16.6,2021-03-25
Los Angeles - Carthay,3949,12341,32,2021-03-25
Los Angeles - Central,2917,27297,10.7,2021-03-25
Los Angeles - Century City,4227,10382,40.7,2021-03-25
Los Angeles - Century Palms/Cove,2477,23682,10.5,2021-03-25
Los Angeles - Chatsworth,8871,31125,28.5,2021-03-25
Los Angeles - Cheviot Hills,3254,7134,45.6,2021-03-25
Los Angeles - Chinatown,1300,7292,17.8,2021-03-25
Los Angeles - Cloverdale/Cochran,1761,11269,15.6,2021-03-25
Los Angeles - Country Club Park,2904,12311,23.6,2021-03-25
Los Angeles - Crenshaw District,2204,10847,20.3,2021-03-25
Los Angeles - Crestview,2445,8801,27.8,2021-03-25
Los Angeles - Del Rey,5398,24080,22.4,2021-03-25
Los Angeles - Downtown,6531,32035,20.4,2021-03-25
Los Angeles - Eagle Rock,8801,32330,27.2,2021-03-25
Los Angeles - East Hollywood,3854,23676,16.3,2021-03-25
Los Angeles - Echo Park,2239,11936,18.8,2021-03-25
Los Angeles - El Sereno,7153,32207,22.2,2021-03-25
Los Angeles - Elysian Park,1215,4748,25.6,2021-03-25
Los Angeles - Elysian Valley,1770,8038,22,2021-03-25
Los Angeles - Encino,13811,36474,37.9,2021-03-25
Los Angeles - Exposition,494,2593,19.1,2021-03-25
Los Angeles - Exposition Park,4749,35075,13.5,2021-03-25
Los Angeles - Faircrest Heights,659,2876,22.9,2021-03-25
Los Angeles - Figueroa Park Square,875,6545,13.4,2021-03-25
Los Angeles - Florence-Firestone,3470,32670,10.6,2021-03-25
Los Angeles - Glassell Park,6056,24832,24.4,2021-03-25
Los Angeles - Gramercy Place,1697,8657,19.6,2021-03-25
Los Angeles - Granada Hills,13027,47949,27.2,2021-03-25
Los Angeles - Green Meadows,1593,14809,10.8,2021-03-25
Los Angeles - Hancock Park,4156,13402,31,2021-03-25
Los Angeles - Harbor City,4716,22449,21,2021-03-25
Los Angeles - Harbor Gateway,5288,32717,16.2,2021-03-25
Los Angeles - Harbor Pines,434,1885,23,2021-03-25
Los Angeles - Harvard Heights,2006,13648,14.7,2021-03-25
Los Angeles - Harvard Park,3918,27989,14,2021-03-25
Los Angeles - Highland Park,8050,36926,21.8,2021-03-25
Los Angeles - Historic Filipinotown,2161,10974,19.7,2021-03-25
Los Angeles - Hollywood,8866,60385,14.7,2021-03-25
Los Angeles - Hollywood Hills,5516,25398,21.7,2021-03-25
Los Angeles - Hyde Park,3466,21809,15.9,2021-03-25
Los Angeles - Jefferson Park,1062,6031,17.6,2021-03-25
Los Angeles - Koreatown,6168,41524,14.9,2021-03-25
Los Angeles - Lafayette Square,587,3505,16.7,2021-03-25
Los Angeles - Lake Balboa,5940,32423,18.3,2021-03-25
Los Angeles - Lakeview Terrace,2038,10043,20.3,2021-03-25
Los Angeles - Leimert Park,2348,12337,19,2021-03-25
Los Angeles - Lincoln Heights,4735,24798,19.1,2021-03-25
Los Angeles - Little Armenia,901,6705,13.4,2021-03-25
Los Angeles - Little Bangladesh,3602,22870,15.7,2021-03-25
Los Angeles - Little Tokyo,932,2876,32.4,2021-03-25
Los Angeles - Longwood,614,3338,18.4,2021-03-25
Los Angeles - Los Feliz,4297,18552,23.2,2021-03-25
Los Angeles - Manchester Square,1135,6716,16.9,2021-03-25
Los Angeles - Mandeville Canyon,1092,2580,42.3,2021-03-25
Los Angeles - Mar Vista,8700,33940,25.6,2021-03-25
Los Angeles - Marina Peninsula,1113,3765,29.6,2021-03-25
Los Angeles - Melrose,12471,62874,19.8,2021-03-25
Los Angeles - Mid-city,2604,12179,21.4,2021-03-25
Los Angeles - Miracle Mile,3344,15322,21.8,2021-03-25
Los Angeles - Mission Hills,4195,18827,22.3,2021-03-25
Los Angeles - Mt. Washington,4406,18940,23.3,2021-03-25
Los Angeles - North Hills,8884,46307,19.2,2021-03-25
Los Angeles - North Hollywood,17721,119496,14.8,2021-03-25
Los Angeles - Northridge,13781,58451,23.6,2021-03-25
Los Angeles - Pacific Palisades,6333,16920,37.4,2021-03-25
Los Angeles - Pacoima,8365,54673,15.3,2021-03-25
Los Angeles - Palisades Highlands,1219,3182,38.3,2021-03-25
Los Angeles - Palms,7381,36258,20.4,2021-03-25
Los Angeles - Panorama City,9748,55481,17.6,2021-03-25
Los Angeles - Park La Brea,1685,10676,15.8,2021-03-25
Los Angeles - Pico-Union,4917,31571,15.6,2021-03-25
Los Angeles - Playa Del Rey,655,2671,24.5,2021-03-25
Los Angeles - Playa Vista,2729,8995,30.3,2021-03-25
Los Angeles - Porter Ranch,10355,29811,34.7,2021-03-25
Los Angeles - Rancho Park,1921,4981,38.6,2021-03-25
Los Angeles - Regent Square,446,2190,20.4,2021-03-25
Los Angeles - Reseda,13895,59993,23.2,2021-03-25
Los Angeles - Reseda Ranch,738,3673,20.1,2021-03-25
Los Angeles - Reynier Village,807,3290,24.5,2021-03-25
Los Angeles - San Pedro,12111,60461,20,2021-03-25
Los Angeles - Shadow Hills,822,3772,21.8,2021-03-25
Los Angeles - Sherman Oaks,18906,71049,26.6,2021-03-25
Los Angeles - Silverlake,8533,36752,23.2,2021-03-25
Los Angeles - South Carthay,2282,8350,27.3,2021-03-25
Los Angeles - South Park,2743,26088,10.5,2021-03-25
Los Angeles - St Elmo Village,516,3466,14.9,2021-03-25
Los Angeles - Studio City,5001,18611,26.9,2021-03-25
Los Angeles - Sun Valley,7085,39885,17.8,2021-03-25
Los Angeles - Sunland,3684,17070,21.6,2021-03-25
Los Angeles - Sycamore Square,94,551,17.1,2021-03-25
Los Angeles - Sylmar,12128,61824,19.6,2021-03-25
Los Angeles - Tarzana,8009,24965,32.1,2021-03-25
Los Angeles - Temple-Beaudry,4771,30759,15.5,2021-03-25
Los Angeles - Thai Town,1015,8596,11.8,2021-03-25
Los Angeles - Toluca Lake,1622,7548,21.5,2021-03-25
Los Angeles - Toluca Terrace,241,977,24.7,2021-03-25
Los Angeles - Toluca Woods,381,1562,24.4,2021-03-25
Los Angeles - Tujunga,4556,22814,20,2021-03-25
Los Angeles - University Hills,480,2819,17,2021-03-25
Los Angeles - University Park,2506,23588,10.6,2021-03-25
Los Angeles - Valley Glen,3965,23760,16.7,2021-03-25
Los Angeles - Valley Village,4481,20238,22.1,2021-03-25
Los Angeles - Van Nuys,10181,69836,14.6,2021-03-25
Los Angeles - Venice,5772,28262,20.4,2021-03-25
Los Angeles - Vermont Knolls,1652,12638,13.1,2021-03-25
Los Angeles - Vermont Square,900,5658,15.9,2021-03-25
Los Angeles - Vermont Vista,2716,28185,9.6,2021-03-25
Los Angeles - Vernon Central,3700,35744,10.4,2021-03-25
Los Angeles - Victoria Park,999,6416,15.6,2021-03-25
Los Angeles - View Heights,680,3038,22.4,2021-03-25
Los Angeles - Watts,2991,28307,10.6,2021-03-25
Los Angeles - Wellington Square,696,3743,18.6,2021-03-25
Los Angeles - West Adams,4145,21042,19.7,2021-03-25
Los Angeles - West Hills,10415,33945,30.7,2021-03-25
Los Angeles - West Los Angeles,7927,32337,24.5,2021-03-25
Los Angeles - West Vernon,5348,39282,13.6,2021-03-25
Los Angeles - Westchester,9999,42616,23.5,2021-03-25
Los Angeles - Westlake,5735,46290,12.4,2021-03-25
Los Angeles - Westwood,11730,48461,24.2,2021-03-25
Los Angeles - Wholesale District,5949,31989,18.6,2021-03-25
Los Angeles - Wilmington,5586,40636,13.7,2021-03-25
Los Angeles - Wilshire Center,6721,39616,17,2021-03-25
Los Angeles - Winnetka,8795,40246,21.9,2021-03-25
Los Angeles - Woodland Hills,16724,55829,30,2021-03-25
Unincorporated - Acton,965,6783,14.2,2021-03-25
Unincorporated - Agua Dulce,622,3648,17.1,2021-03-25
Unincorporated - Altadena,10526,35764,29.4,2021-03-25
Unincorporated - Anaverde,192,1238,15.5,2021-03-25
Unincorporated - Angeles National Forest,87,1075,8.1,2021-03-25
Unincorporated - Arcadia,1906,6424,29.7,2021-03-25
Unincorporated - Athens Village,657,3643,18,2021-03-25
Unincorporated - Athens-Westmont,3891,31407,12.4,2021-03-25
Unincorporated - Avocado Heights,836,5184,16.1,2021-03-25
Unincorporated - Azusa,1877,11706,16,2021-03-25
Unincorporated - Bandini Islands,Unreliable Data,0,Unreliable Data,2021-03-25
Unincorporated - Bassett,2316,11310,20.5,2021-03-25
Unincorporated - Bouquet Canyon,131,882,14.9,2021-03-25
Unincorporated - Bradbury,262,280,93.6,2021-03-25
Unincorporated - Canyon Country,275,1522,18.1,2021-03-25
Unincorporated - Castaic,3582,22023,16.3,2021-03-25
Unincorporated - Cerritos,118,450,26.2,2021-03-25
Unincorporated - Charter Oak,Unreliable Data,19,Unreliable Data,2021-03-25
Unincorporated - Claremont,110,536,20.5,2021-03-25
Unincorporated - Covina,2894,13359,21.7,2021-03-25
Unincorporated - Covina (Charter Oak),2107,10639,19.8,2021-03-25
Unincorporated - Del Aire,763,3491,21.9,2021-03-25
Unincorporated - Del Rey,82,364,22.5,2021-03-25
Unincorporated - Del Sur,251,2078,12.1,2021-03-25
Unincorporated - Desert View Highlands,232,1943,11.9,2021-03-25
Unincorporated - Duarte,623,3315,18.8,2021-03-25
Unincorporated - East Covina,84,305,27.5,2021-03-25
Unincorporated - East La Mirada,972,4324,22.5,2021-03-25
Unincorporated - East Lancaster,8,90,8.9,2021-03-25
Unincorporated - East Los Angeles,16207,90890,17.8,2021-03-25
Unincorporated - East Pasadena,1958,6254,31.3,2021-03-25
Unincorporated - East Rancho Dominguez,1313,10660,12.3,2021-03-25
Unincorporated - East Whittier,792,4179,19,2021-03-25
Unincorporated - El Camino Village,1657,6573,25.2,2021-03-25
Unincorporated - El Monte,12,98,12.2,2021-03-25
Unincorporated - Elizabeth Lake,112,1410,7.9,2021-03-25
Unincorporated - Florence-Firestone,4949,45509,10.9,2021-03-25
Unincorporated - Franklin Canyon,Unreliable Data,11,Unreliable Data,2021-03-25
Unincorporated - Glendora,140,578,24.2,2021-03-25
Unincorporated - Hacienda Heights,11268,46574,24.2,2021-03-25
Unincorporated - Harbor Gateway,Unreliable Data,1,Unreliable Data,2021-03-25
Unincorporated - Hawthorne,298,1856,16.1,2021-03-25
Unincorporated - Hi Vista,60,852,7,2021-03-25
Unincorporated - Kagel/Lopez Canyons,127,1057,12,2021-03-25
Unincorporated - La Crescenta-Montrose,4463,16603,26.9,2021-03-25
Unincorporated - La Habra Heights,70,595,11.8,2021-03-25
Unincorporated - La Rambla,315,1643,19.2,2021-03-25
Unincorporated - La Verne,488,1616,30.2,2021-03-25
Unincorporated - Ladera Heights,2029,6058,33.5,2021-03-25
Unincorporated - Lake Hughes,31,499,6.2,2021-03-25
Unincorporated - Lake Los Angeles,875,9635,9.1,2021-03-25
Unincorporated - Lake Manor,263,1380,19.1,2021-03-25
Unincorporated - Lakewood,23,104,22.1,2021-03-25
Unincorporated - Lennox,1968,16313,12.1,2021-03-25
Unincorporated - Leona Valley,198,1547,12.8,2021-03-25
Unincorporated - Littlerock,270,3194,8.5,2021-03-25
Unincorporated - Littlerock/Juniper Hills,199,1210,16.4,2021-03-25
Unincorporated - Littlerock/Pearblossom,243,2757,8.8,2021-03-25
Unincorporated - Llano,62,734,8.4,2021-03-25
Unincorporated - Long Beach,372,1229,30.3,2021-03-25
Unincorporated - Lynwood,Unreliable Data,0,Unreliable Data,2021-03-25
Unincorporated - Marina del Rey,1782,8322,21.4,2021-03-25
Unincorporated - Miracle Mile,Unreliable Data,3,Unreliable Data,2021-03-25
Unincorporated - Monrovia,808,3124,25.9,2021-03-25
Unincorporated - Newhall,28,175,16,2021-03-25
Unincorporated - North Lancaster,171,1021,16.7,2021-03-25
Unincorporated - North Whittier,1671,6521,25.6,2021-03-25
Unincorporated - Northeast San Gabriel,5093,19550,26.1,2021-03-25
Unincorporated - Padua Hills,47,128,36.7,2021-03-25
Unincorporated - Palmdale,23,589,3.9,2021-03-25
Unincorporated - Palos Verdes Peninsula,158,547,28.9,2021-03-25
Unincorporated - Pearblossom/Llano,109,1630,6.7,2021-03-25
Unincorporated - Pellissier Village,84,454,18.5,2021-03-25
Unincorporated - Placerita Canyon,25,335,7.5,2021-03-25
Unincorporated - Pomona,84,1792,4.7,2021-03-25
Unincorporated - Quartz Hill,1567,10420,15,2021-03-25
Unincorporated - Rancho Dominguez,443,2239,19.8,2021-03-25
Unincorporated - Roosevelt,55,701,7.8,2021-03-25
Unincorporated - Rosewood,156,1027,15.2,2021-03-25
Unincorporated - Rosewood/East Gardena,191,975,19.6,2021-03-25
Unincorporated - Rosewood/West Rancho Dominguez,283,2572,11,2021-03-25
Unincorporated - Rowland Heights,9700,42449,22.9,2021-03-25
Unincorporated - San Clemente Island,Unreliable Data,4,Unreliable Data,2021-03-25
Unincorporated - San Francisquito Canyon/Bouquet Canyon,60,137,43.8,2021-03-25
Unincorporated - San Jose Hills,2410,15181,15.9,2021-03-25
Unincorporated - San Pasqual,561,1605,35,2021-03-25
Unincorporated - Sand Canyon,78,277,28.2,2021-03-25
Unincorporated - Santa Catalina Island,26,247,10.5,2021-03-25
Unincorporated - Santa Monica Mountains,3732,15724,23.7,2021-03-25
Unincorporated - Saugus,76,133,57.1,2021-03-25
Unincorporated - Saugus/Canyon Country,145,332,43.7,2021-03-25
Unincorporated - South Antelope Valley,41,413,9.9,2021-03-25
Unincorporated - South Edwards,Unreliable Data,0,Unreliable Data,2021-03-25
Unincorporated - South El Monte,190,1340,14.2,2021-03-25
Unincorporated - South San Gabriel,2039,7371,27.7,2021-03-25
Unincorporated - South Whittier,7898,45651,17.3,2021-03-25
Unincorporated - Southeast Antelope Valley,63,614,10.3,2021-03-25
Unincorporated - Stevenson Ranch,4036,16712,24.2,2021-03-25
Unincorporated - Sun Village,442,4525,9.8,2021-03-25
Unincorporated - Sunrise Village,232,1022,22.7,2021-03-25
Unincorporated - Twin Lakes/Oat Mountain,326,1362,23.9,2021-03-25
Unincorporated - Universal City,Unreliable Data,0,Unreliable Data,2021-03-25
Unincorporated - Val Verde,391,2619,14.9,2021-03-25
Unincorporated - Valencia,608,2192,27.7,2021-03-25
Unincorporated - Valinda,3468,17856,19.4,2021-03-25
Unincorporated - View Park/Windsor Hills,2780,9812,28.3,2021-03-25
Unincorporated - Walnut,Unreliable Data,0,Unreliable Data,2021-03-25
Unincorporated - Walnut Park,2069,12006,17.2,2021-03-25
Unincorporated - West Antelope Valley,129,1318,9.8,2021-03-25
Unincorporated - West Carson,5118,18052,28.4,2021-03-25
Unincorporated - West Chatsworth,Unreliable Data,11,Unreliable Data,2021-03-25
Unincorporated - West LA,127,868,14.6,2021-03-25
Unincorporated - West Puente Valley,1447,7626,19,2021-03-25
Unincorporated - West Rancho Dominguez,159,1056,15.1,2021-03-25
Unincorporated - West Whittier/Los Nietos,4365,20804,21,2021-03-25
Unincorporated - Westfield/Academy Hills,442,1121,39.4,2021-03-25
Unincorporated - Westhills,247,751,32.9,2021-03-25
Unincorporated - White Fence Farms,509,3272,15.6,2021-03-25
Unincorporated - Whittier,1036,3155,32.8,2021-03-25
Unincorporated - Whittier Narrows,5,10,50,2021-03-25
Unincorporated - Willowbrook,3116,25308,12.3,2021-03-25
Unincorporated - Wiseburn,1099,4721,23.3,2021-03-25
City of Agoura Hills,6789,17447,38.9,2021-03-31
City of Alhambra,26633,71313,37.3,2021-03-31
City of Arcadia,18704,49666,37.7,2021-03-31
City of Artesia,4895,13877,35.3,2021-03-31
City of Avalon,308,3000,10.3,2021-03-31
City of Azusa,10449,39805,26.3,2021-03-31
City of Baldwin Park,17077,58253,29.3,2021-03-31
City of Bell,5994,26746,22.4,2021-03-31
City of Bell Gardens,6554,30840,21.3,2021-03-31
City of Bellflower,15769,59564,26.5,2021-03-31
City of Beverly Hills,13483,29659,45.5,2021-03-31
City of Bradbury,233,925,25.2,2021-03-31
City of Burbank,27626,87289,31.6,2021-03-31
City of Calabasas,8439,19988,42.2,2021-03-31
City of Carson,26757,75272,35.5,2021-03-31
City of Cerritos,19427,43608,44.5,2021-03-31
City of Claremont,12313,31632,38.9,2021-03-31
City of Commerce,3063,9779,31.3,2021-03-31
City of Compton,13217,70809,18.7,2021-03-31
City of Covina,13607,38659,35.2,2021-03-31
City of Cudahy,3380,17477,19.3,2021-03-31
City of Culver City,13819,32840,42.1,2021-03-31
City of Diamond Bar,18371,48623,37.8,2021-03-31
City of Downey,28380,88272,32.2,2021-03-31
City of Duarte,6832,17654,38.7,2021-03-31
City of El Monte,25006,88826,28.2,2021-03-31
City of El Segundo,4710,14019,33.6,2021-03-31
City of Gardena,15886,48335,32.9,2021-03-31
City of Glendale,49420,173192,28.5,2021-03-31
City of Glendora,15662,42883,36.5,2021-03-31
City of Hawaiian Gardens,2263,10728,21.1,2021-03-31
City of Hawthorne,16331,65780,24.8,2021-03-31
City of Hermosa Beach,5812,16389,35.5,2021-03-31
City of Hidden Hills,597,1631,36.6,2021-03-31
City of Huntington Park,9607,43564,22.1,2021-03-31
City of Industry,Unreliable Data,385,Unreliable Data,2021-03-31
City of Inglewood,21912,86385,25.4,2021-03-31
City of Irwindale,455,1212,37.5,2021-03-31
City of La Canada Flintridge,7862,17805,44.2,2021-03-31
City of La Habra Heights,943,4779,19.7,2021-03-31
City of La Mirada,13455,40803,33,2021-03-31
City of La Puente,8369,31049,27,2021-03-31
City of La Verne,10158,27927,36.4,2021-03-31
City of Lakewood,22192,64711,34.3,2021-03-31
City of Lancaster,25639,120142,21.3,2021-03-31
City of Lawndale,6278,25528,24.6,2021-03-31
City of Lomita,5294,16469,32.1,2021-03-31
City of Long Beach,120298,369335,32.6,2021-03-31
City of Lynwood,12081,51504,23.5,2021-03-31
City of Malibu,3358,10697,31.4,2021-03-31
City of Manhattan Beach,12021,28733,41.8,2021-03-31
City of Maywood,4521,20131,22.5,2021-03-31
City of Monrovia,10559,30249,34.9,2021-03-31
City of Montebello,15539,49946,31.1,2021-03-31
City of Monterey Park,20267,51545,39.3,2021-03-31
City of Norwalk,24394,82126,29.7,2021-03-31
City of Palmdale,27129,117298,23.1,2021-03-31
City of Palos Verdes Estates,5091,11696,43.5,2021-03-31
City of Paramount,9131,40656,22.5,2021-03-31
City of Pasadena,47702,117771,40.5,2021-03-31
City of Pico Rivera,16363,49558,33,2021-03-31
City of Pomona,28193,115688,24.4,2021-03-31
City of Rancho Palos Verdes,15585,36530,42.7,2021-03-31
City of Redondo Beach,19542,54241,36,2021-03-31
City of Rolling Hills,696,1722,40.4,2021-03-31
City of Rolling Hills Estates,3315,7093,46.7,2021-03-31
City of Rosemead,15470,44628,34.7,2021-03-31
City of San Dimas,10562,29065,36.3,2021-03-31
City of San Fernando,4853,18698,26,2021-03-31
City of San Gabriel,12309,33721,36.5,2021-03-31
City of San Marino,5023,11148,45.1,2021-03-31
City of Santa Clarita,57080,170660,33.4,2021-03-31
City of Santa Fe Springs,4664,14475,32.2,2021-03-31
City of Santa Monica,30087,80251,37.5,2021-03-31
City of Sierra Madre,4229,9255,45.7,2021-03-31
City of Signal Hill,3362,9046,37.2,2021-03-31
City of South El Monte,4347,15858,27.4,2021-03-31
City of South Gate,18526,71455,25.9,2021-03-31
City of South Pasadena,9418,21506,43.8,2021-03-31
City of Temple City,11931,30661,38.9,2021-03-31
City of Torrance,44653,121277,36.8,2021-03-31
City of Vernon,188,222,84.7,2021-03-31
City of Walnut,10993,26458,41.5,2021-03-31
City of West Covina,31726,86215,36.8,2021-03-31
City of West Hollywood,11379,34195,33.3,2021-03-31
City of Westlake Village,1754,7234,24.2,2021-03-31
City of Whittier,22500,68364,32.9,2021-03-31
Los Angeles - Adams-Normandie,1562,6300,24.8,2021-03-31
Los Angeles - Alsace,2167,9200,23.6,2021-03-31
Los Angeles - Angeles National Forest,Unreliable Data,38,Unreliable Data,2021-03-31
Los Angeles - Angelino Heights,601,2031,29.6,2021-03-31
Los Angeles - Arleta,7744,26334,29.4,2021-03-31
Los Angeles - Atwater Village,4658,12520,37.2,2021-03-31
Los Angeles - Baldwin Hills,6251,23952,26.1,2021-03-31
Los Angeles - Bel Air,3251,6968,46.7,2021-03-31
Los Angeles - Beverly Crest,4752,9960,47.7,2021-03-31
Los Angeles - Beverlywood,4355,9756,44.6,2021-03-31
Los Angeles - Boyle Heights,15914,62635,25.4,2021-03-31
Los Angeles - Brentwood,11332,25799,43.9,2021-03-31
Los Angeles - Brookside,245,457,53.6,2021-03-31
Los Angeles - Cadillac-Corning,1284,5425,23.7,2021-03-31
Los Angeles - Canoga Park,12250,49538,24.7,2021-03-31
Los Angeles - Carthay,5180,12341,42,2021-03-31
Los Angeles - Central,4774,27297,17.5,2021-03-31
Los Angeles - Century City,5219,10382,50.3,2021-03-31
Los Angeles - Century Palms/Cove,3976,23682,16.8,2021-03-31
Los Angeles - Chatsworth,11911,31125,38.3,2021-03-31
Los Angeles - Cheviot Hills,4007,7134,56.2,2021-03-31
Los Angeles - Chinatown,2138,7292,29.3,2021-03-31
Los Angeles - Cloverdale/Cochran,2769,11269,24.6,2021-03-31
Los Angeles - Country Club Park,4125,12311,33.5,2021-03-31
Los Angeles - Crenshaw District,3299,10847,30.4,2021-03-31
Los Angeles - Crestview,3289,8801,37.4,2021-03-31
Los Angeles - Del Rey,7721,24080,32.1,2021-03-31
Los Angeles - Downtown,10040,32035,31.3,2021-03-31
Los Angeles - Eagle Rock,12060,32330,37.3,2021-03-31
Los Angeles - East Hollywood,5758,23676,24.3,2021-03-31
Los Angeles - Echo Park,3764,11936,31.5,2021-03-31
Los Angeles - El Sereno,10247,32207,31.8,2021-03-31
Los Angeles - Elysian Park,1905,4748,40.1,2021-03-31
Los Angeles - Elysian Valley,2643,8038,32.9,2021-03-31
Los Angeles - Encino,17052,36474,46.8,2021-03-31
Los Angeles - Exposition,797,2593,30.7,2021-03-31
Los Angeles - Exposition Park,7806,35075,22.3,2021-03-31
Los Angeles - Faircrest Heights,1013,2876,35.2,2021-03-31
Los Angeles - Figueroa Park Square,1351,6545,20.6,2021-03-31
Los Angeles - Florence-Firestone,5791,32670,17.7,2021-03-31
Los Angeles - Glassell Park,8594,24832,34.6,2021-03-31
Los Angeles - Gramercy Place,2471,8657,28.5,2021-03-31
Los Angeles - Granada Hills,17250,47949,36,2021-03-31
Los Angeles - Green Meadows,2692,14809,18.2,2021-03-31
Los Angeles - Hancock Park,5688,13402,42.4,2021-03-31
Los Angeles - Harbor City,6651,22449,29.6,2021-03-31
Los Angeles - Harbor Gateway,7796,32717,23.8,2021-03-31
