date,value,indicator
2022-07-19,2.11,"inflation expectation rate, 5-year forward"
2022-07-18,2.11,"inflation expectation rate, 5-year forward"
2022-07-15,2.13,"inflation expectation rate, 5-year forward"
2022-07-14,2.14,"inflation expectation rate, 5-year forward"
2022-07-13,2.11,"inflation expectation rate, 5-year forward"
2022-07-12,2.14,"inflation expectation rate, 5-year forward"
2022-07-11,2.08,"inflation expectation rate, 5-year forward"
2022-07-08,2.12,"inflation expectation rate, 5-year forward"
2022-07-07,2.13,"inflation expectation rate, 5-year forward"
2022-07-06,2.1,"inflation expectation rate, 5-year forward"
2022-07-05,2.09,"inflation expectation rate, 5-year forward"
2022-07-04,,"inflation expectation rate, 5-year forward"
2022-07-01,2.08,"inflation expectation rate, 5-year forward"
2022-06-30,2.08,"inflation expectation rate, 5-year forward"
2022-06-29,2.13,"inflation expectation rate, 5-year forward"
2022-06-28,2.23,"inflation expectation rate, 5-year forward"
2022-06-27,2.31,"inflation expectation rate, 5-year forward"
2022-06-24,2.3,"inflation expectation rate, 5-year forward"
2022-06-23,2.31,"inflation expectation rate, 5-year forward"
2022-06-22,2.34,"inflation expectation rate, 5-year forward"
2022-06-21,2.38,"inflation expectation rate, 5-year forward"
2022-06-20,,"inflation expectation rate, 5-year forward"
2022-06-17,2.36,"inflation expectation rate, 5-year forward"
2022-06-16,2.37,"inflation expectation rate, 5-year forward"
2022-06-15,2.4,"inflation expectation rate, 5-year forward"
2022-06-14,2.32,"inflation expectation rate, 5-year forward"
2022-06-13,2.37,"inflation expectation rate, 5-year forward"
2022-06-10,2.39,"inflation expectation rate, 5-year forward"
2022-06-09,2.42,"inflation expectation rate, 5-year forward"
2022-06-08,2.44,"inflation expectation rate, 5-year forward"
2022-06-07,2.43,"inflation expectation rate, 5-year forward"
2022-06-06,2.47,"inflation expectation rate, 5-year forward"
2022-06-03,2.44,"inflation expectation rate, 5-year forward"
2022-06-02,2.35,"inflation expectation rate, 5-year forward"
2022-06-01,2.34,"inflation expectation rate, 5-year forward"
2022-05-31,2.32,"inflation expectation rate, 5-year forward"
2022-05-30,,"inflation expectation rate, 5-year forward"
2022-05-27,2.31,"inflation expectation rate, 5-year forward"
2022-05-26,2.28,"inflation expectation rate, 5-year forward"
2022-05-25,2.24,"inflation expectation rate, 5-year forward"
2022-05-24,2.23,"inflation expectation rate, 5-year forward"
2022-05-23,2.28,"inflation expectation rate, 5-year forward"
2022-05-20,2.22,"inflation expectation rate, 5-year forward"
2022-05-19,2.21,"inflation expectation rate, 5-year forward"
2022-05-18,2.39,"inflation expectation rate, 5-year forward"
2022-05-17,2.34,"inflation expectation rate, 5-year forward"
2022-05-16,2.32,"inflation expectation rate, 5-year forward"
2022-05-13,2.35,"inflation expectation rate, 5-year forward"
2022-05-12,2.29,"inflation expectation rate, 5-year forward"
2022-05-11,2.4,"inflation expectation rate, 5-year forward"
2022-05-10,2.38,"inflation expectation rate, 5-year forward"
2022-05-09,2.44,"inflation expectation rate, 5-year forward"
2022-05-06,2.5,"inflation expectation rate, 5-year forward"
2022-05-05,2.51,"inflation expectation rate, 5-year forward"
2022-05-04,2.48,"inflation expectation rate, 5-year forward"
2022-05-03,2.45,"inflation expectation rate, 5-year forward"
2022-05-02,2.41,"inflation expectation rate, 5-year forward"
2022-04-29,2.46,"inflation expectation rate, 5-year forward"
2022-04-28,2.55,"inflation expectation rate, 5-year forward"
2022-04-27,2.48,"inflation expectation rate, 5-year forward"
2022-04-26,2.45,"inflation expectation rate, 5-year forward"
2022-04-25,2.55,"inflation expectation rate, 5-year forward"
2022-04-22,2.59,"inflation expectation rate, 5-year forward"
2022-04-21,2.67,"inflation expectation rate, 5-year forward"
2022-04-20,2.48,"inflation expectation rate, 5-year forward"
2022-04-19,2.5,"inflation expectation rate, 5-year forward"
2022-04-18,2.48,"inflation expectation rate, 5-year forward"
2022-04-15,,"inflation expectation rate, 5-year forward"
2022-04-14,2.45,"inflation expectation rate, 5-year forward"
2022-04-13,2.35,"inflation expectation rate, 5-year forward"
2022-04-12,2.41,"inflation expectation rate, 5-year forward"
2022-04-11,2.45,"inflation expectation rate, 5-year forward"
2022-04-08,2.41,"inflation expectation rate, 5-year forward"
2022-04-07,2.38,"inflation expectation rate, 5-year forward"
2022-04-06,2.38,"inflation expectation rate, 5-year forward"
2022-04-05,2.37,"inflation expectation rate, 5-year forward"
2022-04-04,2.32,"inflation expectation rate, 5-year forward"
2022-04-01,2.32,"inflation expectation rate, 5-year forward"
2022-03-31,2.34,"inflation expectation rate, 5-year forward"
2022-03-30,2.31,"inflation expectation rate, 5-year forward"
2022-03-29,2.32,"inflation expectation rate, 5-year forward"
2022-03-28,2.34,"inflation expectation rate, 5-year forward"
2022-03-25,2.31,"inflation expectation rate, 5-year forward"
2022-03-24,2.27,"inflation expectation rate, 5-year forward"
2022-03-23,2.31,"inflation expectation rate, 5-year forward"
2022-03-22,2.3,"inflation expectation rate, 5-year forward"
2022-03-21,2.28,"inflation expectation rate, 5-year forward"
2022-03-18,2.24,"inflation expectation rate, 5-year forward"
2022-03-17,2.31,"inflation expectation rate, 5-year forward"
2022-03-16,2.26,"inflation expectation rate, 5-year forward"
2022-03-15,2.26,"inflation expectation rate, 5-year forward"
2022-03-14,2.36,"inflation expectation rate, 5-year forward"
2022-03-11,2.36,"inflation expectation rate, 5-year forward"
2022-03-10,2.3,"inflation expectation rate, 5-year forward"
